['989', '268', '509', '728', '977', '733', '101', '658', '838', '904', '73', '370', '598', '473', '2', '323', '846', '92', '735', '447', '698', '409', '236', '703', '417', '550', '240', '580', '468', '706', '324']
['536', '272', '749', '798', '168', '428', '803', '271', '319', '143', '546', '624', '102', '457', '332', '903', '877', '581', '498', '27', '981', '421', '558', '165', '617', '353', '579', '724', '270', '166', '860']
['492', '450', '191', '825', '302', '133', '309', '20', '252', '551', '202', '945', '845', '747', '186', '678', '985', '562', '321', '62', '639', '636', '345', '493', '926', '513', '144', '590', '306', '70', '614']
['437', '561', '135', '866', '557', '283', '196', '773', '322', '644', '415', '620', '396', '777', '966', '534', '723', '170', '262', '585', '517', '474', '17', '995', '451', '174', '337', '67', '946', '586', '429']
['256', '692', '214', '913', '964', '961', '299', '565', '595', '449', '529', '43', '360', '778', '668', '739', '41', '893', '787', '939', '443', '994', '424', '794', '796', '462', '948', '463', '924', '458', '684']
['758', '611', '206', '604', '979', '993', '837', '246', '885', '481', '371', '204', '982', '48', '33', '453', '96', '217', '489', '467', '147', '231', '315', '327', '535', '198', '496', '629', '442', '241', '776']
['153', '541', '40', '928', '687', '612', '284', '750', '518', '118', '78', '301', '630', '374', '954', '490', '354', '820', '969', '259', '126', '890', '623', '927', '76', '239', '807', '471', '987', '475', '642']
['494', '582', '667', '931', '525', '344', '124', '25', '864', '867', '290', '355', '49', '892', '402', '6', '970', '694', '285', '520', '465', '50', '187', '960', '305', '767', '172', '646', '253', '640', '69']
['711', '148', '809', '972', '130', '320', '189', '466', '79', '454', '752', '469', '103', '152', '759', '175', '792', '568', '563', '663', '522', '427', '425', '1', '871', '688', '645', '35', '577', '707', '395']
['868', '115', '751', '58', '708', '944', '821', '391', '167', '156', '774', '210', '713', '734', '975', '704', '870', '851', '423', '574', '649', '57', '833', '14', '538', '888', '314', '925', '998', '289']
['900', '834', '886', '909', '123', '835', '208', '207', '188', '264', '225', '974', '137', '941', '619', '392', '748', '477', '105', '66', '274', '487', '431', '506', '36', '849', '902', '45', '956', '788']
['539', '0', '94', '226', '857', '22', '883', '373', '375', '448', '159', '657', '445', '376', '74', '251', '263', '822', '647', '503', '330', '501', '155', '601', '53', '800', '95', '338', '889', '621']
['85', '573', '643', '783', '908', '730', '976', '480', '197', '950', '182', '607', '357', '516', '812', '592', '128', '618', '438', '854', '930', '793', '911', '5', '504', '410', '247', '129', '162', '588']
['18', '910', '831', '878', '817', '372', '973', '258', '526', '334', '660', '222', '361', '756', '313', '304', '280', '55', '978', '34', '403', '628', '68', '936', '227', '813', '179', '804', '81', '789']
['881', '884', '400', '600', '656', '307', '744', '407', '523', '818', '216', '984', '329', '873', '77', '108', '244', '737', '109', '350', '856', '213', '117', '596', '566', '764', '426', '808', '505', '917']
['716', '786', '880', '99', '638', '422', '325', '161', '853', '848', '567', '720', '16', '631', '479', '255', '544', '594', '801', '637', '943', '736', '15', '648', '710', '286', '876', '56', '160', '260']
['963', '959', '861', '949', '224', '632', '164', '7', '19', '61', '665', '279', '106', '802', '430', '4', '441', '294', '331', '659', '234', '436', '459', '722', '282', '249', '719', '276', '93', '201']
['176', '732', '610', '484', '587', '829', '44', '679', '342', '75', '248', '671', '634', '119', '10', '919', '111', '811', '434', '729', '86', '677', '104', '859', '328', '47', '990', '218', '745', '933']
['300', '502', '163', '922', '986', '532', '32', '151', '413', '230', '967', '761', '635', '669', '597', '195', '591', '59', '606', '714', '495', '775', '145', '571', '810', '662', '537', '63', '28', '891']
['362', '599', '82', '72', '780', '122', '770', '387', '125', '862', '432', '616', '339', '795', '341', '435', '907', '712', '220', '183', '683', '312', '476', '840', '957', '203', '265', '962', '121', '955']
