['989', '479', '83', '803', '827', '456', '457', '266', '747', '30', '567', '769', '217', '374', '700', '12', '554', '602', '577', '207', '75', '251', '261', '256', '517']
['55', '822', '153', '716', '557', '330', '267', '697', '687', '988', '28', '611', '272', '844', '3', '508', '979', '676', '663', '971', '516', '121', '308', '137', '656']
['74', '494', '748', '247', '135', '812', '545', '297', '91', '835', '541', '470', '659', '179', '234', '891', '104', '190', '32', '946', '50', '435', '132', '767', '162']
['777', '707', '770', '387', '601', '372', '118', '636', '164', '975', '398', '467', '288', '606', '326', '942', '528', '76', '77', '41', '754', '939', '443', '4', '791']
['97', '416', '347', '289', '763', '962', '883', '709', '139', '853', '501', '544', '18', '954', '817', '943', '89', '68', '972', '845', '698', '338', '498', '679', '576']
['361', '502', '908', '671', '629', '510', '141', '950', '191', '806', '796', '539', '125', '723', '379', '618', '932', '273', '187', '851', '571', '521', '751', '385', '678']
['506', '129', '642', '534', '745', '898', '229', '933', '345', '511', '449', '621', '423', '931', '926', '437', '574', '596', '242', '843', '703', '37', '960', '429', '196']
['40', '99', '173', '155', '842', '269', '287', '715', '452', '551', '406', '649', '681', '61', '414', '340', '407', '268', '858', '986', '612', '961', '722', '904', '239']
['396', '983', '311', '96', '524', '220', '466', '735', '92', '530', '310', '535', '451', '36', '548', '864', '623', '111', '811', '823', '936', '491', '381', '47', '546']
['529', '909', '26', '208', '952', '211', '150', '573', '840', '199', '901', '400', '500', '33', '346', '789', '54', '549', '669', '415', '147', '583', '643', '402', '309']
['764', '157', '819', '282', '896', '782', '450', '245', '919', '762', '389', '444', '507', '462', '855', '82', '22', '915', '682', '930', '328', '848', '533', '910', '493']
['588', '278', '495', '620', '332', '413', '107', '48', '471', '422', '233', '525', '42', '17', '274', '315', '440', '327', '305', '353', '538', '655', '81', '337', '956']
['405', '638', '810', '219', '685', '813', '84', '29', '776', '319', '553', '127', '780', '543', '186', '246', '889', '52', '115', '584', '786', '481', '5', '318', '784']
['881', '702', '646', '304', '617', '78', '417', '241', '925', '721', '874', '604', '254', '888', '295', '945', '180', '469', '963', '980', '203', '331', '265', '696', '772']
['968', '293', '154', '630', '523', '473', '95', '935', '951', '458', '279', '862', '237', '35', '172', '503', '134', '365', '149', '384', '863', '967', '561', '648', '119']
['45', '921', '512', '906', '386', '170', '555', '260', '928', '595', '526', '632', '977', '213', '430', '136', '532', '725', '742', '11', '117', '57', '224', '371', '568']
['194', '485', '654', '664', '876', '527', '897', '383', '665', '610', '110', '598', '753', '760', '905', '505', '120', '531', '427', '940', '871', '71', '738', '70', '644']
['658', '838', '15', '633', '116', '397', '622', '927', '362', '852', '301', '126', '388', '366', '973', '565', '599', '660', '667', '421', '591', '80', '349', '563', '63']
['614', '860', '847', '828', '704', '419', '344', '390', '756', '113', '460', '710', '255', '284', '955', '275', '303', '729', '757', '148', '879', '43', '88', '454', '226']
['175', '609', '695', '10', '425', '231', '218', '291', '264', '647', '277', '38', '497', '334', '880', '882', '569', '578', '270', '290', '314', '112', '802', '296', '322']
['624', '878', '768', '953', '401', '752', '515', '730', '299', '193', '258', '693', '432', '938', '253', '393', '151', '329', '785', '250', '653', '775', '540', '992', '872']
['283', '706', '580', '123', '645', '31', '445', '163', '982', '25', '276', '324', '262', '907', '484', '830', '607', '464', '178', '589', '184', '550', '312', '205', '592']
['850', '867', '271', '728', '378', '903', '370', '734', '575', '537', '87', '820', '212', '547', '499', '394', '24', '6', '0', '608', '1', '918', '72', '146', '570']
['259', '733', '765', '974', '619', '426', '307', '160', '651', '171', '140', '914', '198', '600', '436', '377', '252', '990', '688', '944', '103', '922', '420', '692', '59']
['766', '668', '46', '746', '559', '713', '868', '488', '947', '749', '51', '478', '978', '249', '677', '750', '585', '185', '893', '14', '917', '131', '732', '382', '670']
['804', '790', '202', '294', '227', '292', '455', '582', '8', '90', '221', '552', '597', '674', '650', '343', '959', '341', '920', '686', '998', '640', '661', '428', '684']
