['803', '885', '680', '712', '87', '489', '979', '177', '926', '207', '75', '893', '37', '361', '77', '267', '512', '623', '301', '428', '340', '322', '384', '818', '372', '53', '396', '114', '598', '619', '138', '420', '401', '923', '535', '526', '548', '13', '766', '111', '832', '823', '970', '740', '303', '213', '592', '214', '562']
['604', '199', '391', '820', '809', '805', '715', '704', '870', '403', '783', '469', '963', '698', '625', '279', '353', '872', '559', '23', '364', '289', '974', '854', '850', '31', '51', '376', '233', '88', '454', '675', '409', '673', '58', '908', '311', '356', '796', '814', '427', '915', '618', '394', '626', '871', '237', '480', '789']
['271', '143', '747', '400', '483', '903', '223', '901', '186', '831', '878', '586', '172', '277', '781', '370', '976', '537', '108', '621', '64', '727', '323', '115', '204', '230', '724', '634', '382', '290', '662', '957', '6', '802', '640', '852', '3', '61', '858', '126', '516', '167', '359', '807', '192', '560', '90', '160', '752']
['8', '894', '304', '335', '408', '771', '298', '641', '63', '857', '156', '201', '700', '81', '103', '534', '387', '145', '725', '904', '329', '888', '978', '180', '306', '495', '41', '371', '212', '508', '962', '749', '726', '132', '319', '876', '106', '107', '258', '60', '21', '595', '189', '635', '109', '42', '794', '590', '227']
['487', '902', '663', '782', '205', '723', '468', '438', '202', '862', '262', '692', '547', '65', '528', '542', '246', '540', '144', '374', '242', '316', '490', '863', '596', '577', '416', '169', '868', '808', '149', '251', '867', '975', '263', '266', '944', '822', '563', '811', '153', '830', '612', '911', '146', '568', '5', '638', '881']
['20', '551', '505', '0', '330', '845', '504', '25', '297', '410', '509', '477', '265', '272', '182', '30', '928', '770', '218', '884', '291', '733', '571', '734', '475', '600', '518', '958', '656', '866', '670', '39', '494', '500', '653', '307', '522', '647', '935', '130', '575', '389', '827', '426', '295', '91', '720', '716', '337']
['16', '883', '241', '701', '476', '762', '229', '631', '40', '599', '256', '417', '880', '541', '119', '78', '925', '309', '243', '331', '948', '343', '659', '174', '433', '24', '874', '531', '658', '579', '385', '557', '837', '300', '613', '312', '553', '898', '934', '443', '655', '125', '452', '137', '636', '355', '463', '650', '296']
['55', '33', '721', '616', '10', '29', '339', '497', '615', '795', '439', '458', '59', '95', '864', '942', '768', '524', '412', '787', '406', '203', '910', '181', '887', '791', '581', '703', '379', '12', '696', '729', '511', '17', '117', '110', '730', '308', '546', '924', '113', '163', '281', '757', '533', '711', '369', '681', '215']
['18', '100', '441', '465', '954', '817', '714', '943', '460', '906', '473', '977', '498', '582', '773', '566', '745', '9', '909', '633', '184', '373', '162', '899', '260', '661', '446', '141', '851', '208', '191', '305', '257', '131', '313', '946', '470', '104', '529', '685', '569', '780', '790', '194', '187', '758', '859', '611', '120']
['585', '877', '35', '751', '197', '825', '116', '829', '907', '506', '478', '779', '349', '92', '479', '918', '134', '283', '238', '939', '73', '98', '22', '552', '532', '839', '931', '798', '320', '966', '520', '128', '486', '425', '648', '429', '739', '471', '697', '632', '785', '652', '419', '434', '668', '84', '414', '514', '150']
['164', '407', '971', '386', '693', '737', '453', '392', '637', '515', '228', '804', '462', '444', '735', '769', '280', '190', '68', '835', '607', '761', '457', '800', '629', '786', '973', '315', '510', '449', '324', '422', '133', '7', '345', '270', '875', '381', '34', '430', '776', '679', '815', '413', '657', '350', '855', '211', '136']
