['989', '101', '841', '629', '457', '797', '334', '558']
['914', '769', '792', '423', '938', '115', '880', '767']
['415', '864', '66', '757', '557', '543', '48', '292']
['289', '24', '525', '577', '3', '197', '803', '60']
['622', '602', '902', '593', '306', '33', '271', '219']
['507', '279', '130', '220', '438', '784', '7', '758']
['819', '933', '937', '572', '945', '199', '926', '566']
['660', '99', '903', '34', '491', '817', '2', '584']
['906', '97', '186', '944', '658', '287', '497', '316']
['329', '324', '976', '891', '68', '419', '171', '887']
['495', '759', '908', '280', '519', '266', '113', '357']
['343', '351', '750', '657', '428', '586', '267', '980']
['412', '548', '827', '93', '89', '787', '158', '475']
['39', '613', '117', '692', '251', '6', '358', '265']
['649', '69', '102', '341', '966', '344', '246', '163']
['592', '170', '892', '754', '909', '293', '867', '591']
['679', '788', '374', '579', '206', '713', '921', '654']
['242', '82', '490', '134', '808', '532', '106', '820']
['733', '234', '180', '691', '736', '182', '146', '248']
['157', '319', '942', '222', '366', '537', '907', '839']
['405', '474', '78', '868', '150', '680', '533', '582']
['589', '240', '380', '77', '703', '38', '974', '555']
['207', '426', '98', '671', '569', '815', '41', '376']
['460', '138', '511', '466', '139', '694', '441', '695']
['168', '23', '331', '95', '552', '845', '263', '493']
['375', '104', '865', '990', '15', '607', '598', '822']
['221', '503', '816', '992', '890', '422', '418', '153']
['897', '388', '730', '698', '487', '243', '44', '193']
['599', '911', '882', '518', '114', '811', '5', '861']
['720', '927', '13', '481', '377', '872', '480', '149']
['183', '461', '302', '58', '332', '541', '235', '544']
['916', '0', '796', '313', '142', '137', '386', '159']
['807', '112', '46', '504', '727', '560', '270', '724']
['786', '11', '337', '881', '335', '410', '445', '272']
['501', '255', '913', '554', '371', '604', '612', '670']
['162', '837', '253', '10', '520', '57', '564', '155']
['761', '581', '524', '339', '231', '630', '342', '884']
['140', '479', '67', '8', '898', '734', '90', '486']
['962', '26', '35', '747', '321', '568', '846', '416']
['723', '828', '200', '749', '384', '188', '529', '771']
['128', '12', '719', '831', '991', '277', '765', '793']
['370', '549', '167', '969', '850', '740', '620', '147']
['918', '832', '368', '953', '485', '973', '600', '972']
['175', '833', '239', '672', '656', '639', '704', '417']
['395', '746', '643', '241', '281', '606', '619', '143']
['685', '773', '294', '304', '396', '447', '741', '611']
['429', '297', '718', '258', '494', '87', '18', '538']
['573', '406', '449', '307', '169', '299', '184', '565']
['30', '618', '85', '452', '160', '996', '728', '185']
['628', '930', '127', '56', '567', '435', '14', '216']
['563', '777', '362', '238', '348', '70', '636', '617']
['230', '858', '506', '982', '122', '131', '810', '715']
['64', '735', '899', '16', '467', '978', '459', '637']
['946', '53', '823', '476', '268', '456', '556', '818']
['210', '401', '28', '631', '553', '605', '290', '762']
['212', '873', '725', '245', '925', '888', '111', '478']
['510', '330', '354', '659', '502', '988', '284', '650']
['812', '1', '838', '561', '770', '915', '874', '385']
['961', '355', '451', '20', '32', '683', '76', '950']
['296', '632', '440', '528', '408', '776', '436', '595']
['780', '536', '431', '753', '274', '218', '74', '249']
['960', '751', '843', '83', '806', '59', '373', '129']
['336', '512', '801', '84', '187', '300', '252', '427']
['275', '531', '920', '477', '40', '152', '256', '610']
['580', '829', '226', '124', '283', '54', '975', '690']
['110', '72', '420', '652', '710', '213', '686', '404']
['387', '398', '977', '624', '145', '877', '161', '856']
['601', '400', '931', '943', '772', '125', '116', '4']
['756', '952', '164', '905', '455', '259', '663', '397']
['468', '875', '133', '432', '509', '223', '119', '904']
['444', '402', '742', '228', '61', '616', '217', '192']
['689', '860', '372', '483', '359', '929', '782', '17']
['726', '105', '941', '269', '392', '979', '673', '795']
['291', '540', '825', '317', '63', '653', '863', '985']
['739', '390', '498', '986', '469', '836', '126', '949']
['91', '191', '635', '804', '755', '453', '721', '707']
['43', '285', '862', '227', '799', '450', '434', '638']
['360', '214', '889', '448', '936', '391', '928', '454']
['641', '118', '233', '282', '551', '203', '655', '774']
['389', '615', '94', '964', '443', '852', '464', '633']
['562', '320', '760', '311', '513', '356', '661', '994']
['446', '791', '144', '470', '645', '9', '634', '353']
['934', '651', '752', '347', '696', '121', '783', '729']
['211', '545', '505', '935', '107', '794', '712', '878']
['763', '361', '508', '409', '369', '407', '323', '798']
['349', '308', '647', '775', '779', '530', '912', '968']
['49', '625', '574', '997', '109', '895', '165', '664']
['154', '75', '648', '844', '500', '840', '687', '886']
['681', '278', '676', '534', '177', '488', '96', '522']
['731', '894', '247', '542', '879', '834', '859', '31']
['166', '514', '546', '547', '998', '948', '917', '959']
['578', '19', '189', '29', '473', '999', '709', '766']
['714', '956', '80', '208', '394', '869', '414', '743']
['521', '585', '876', '640', '955', '576', '79', '22']
['550', '984', '433', '314', '626', '623', '778', '173']
['965', '381', '499', '590', '21', '318', '642', '745']
['141', '947', '526', '896', '496', '273', '108', '430']
['924', '458', '983', '471', '697', '693', '666', '932']
['55', '442', '790', '244', '814', '571', '851', '437']
['853', '123', '768', '382', '781', '848', '120', '516']
['472', '411', '706', '92', '939', '951', '789', '492']
['179', '489', '802', '315', '675', '326', '136', '842']
['303', '893', '484', '667', '588', '587', '198', '465']
['722', '971', '737', '575', '103', '621', '517', '73']
['250', '52', '813', '805', '295', '327', '204', '608']
['260', '922', '379', '215', '37', '262', '702', '309']
['202', '963', '236', '65', '312', '539', '855', '350']
['45', '674', '156', '682', '662', '857', '421', '424']
['700', '71', '748', '345', '254', '305', '174', '325']
['88', '705', '132', '800', '515', '523', '209', '338']
['301', '178', '86', '900', '668', '684', '993', '399']
['425', '830', '135', '885', '232', '47', '462', '346']
['614', '866', '36', '594', '276', '148', '809', '847']
['919', '665', '413', '190', '439', '764', '701', '957']
['570', '958', '364', '196', '627', '367', '923', '482']
['403', '310', '826', '365', '870', '352', '229', '849']
['378', '393', '224', '678', '194', '699', '738', '744']
['257', '298', '970', '669', '688', '100', '535', '954']
['363', '677', '910', '835', '383', '322', '603', '967']
['824', '527', '821', '987', '27', '50', '225', '559']
['333', '288', '463', '264', '25', '176', '261', '716']
['181', '711', '609', '286', '62', '981', '785', '732']
['172', '201', '81', '237', '340', '205', '854', '583']
['328', '42', '195', '871', '596', '51', '883', '151']
['646', '644', '708', '901', '717', '995', '597', '940']
