['271', '529', '672', '703', '186', '244']
['383', '390', '586', '172', '0', '287']
['328', '251', '692', '528', '465', '227']
['246', '188', '492', '293', '683', '238']
['650', '374', '545', '537', '125', '582']
['175', '237', '264', '570', '462', '577']
['452', '477', '643', '183', '291', '115']
['397', '651', '425', '249', '154', '131']
['207', '469', '16', '342', '376', '543']
['198', '46', '38', '549', '263', '382']
['612', '85', '153', '313', '585', '296']
['5', '323', '408', '174', '662', '440']
['118', '515', '157', '212', '697', '129']
['351', '439', '355', '44', '476', '504']
['566', '426', '316', '272', '168', '126']
['584', '520', '309', '608', '286', '27']
['167', '335', '130', '180', '187', '663']
['70', '368', '268', '567', '389', '526']
['93', '600', '267', '401', '490', '471']
['179', '656', '478', '583', '182', '610']
['619', '240', '505', '19', '304', '654']
['190', '715', '494', '523', '181', '474']
['39', '521', '71', '307', '385', '480']
['564', '645', '150', '538', '631', '64']
['358', '611', '241', '213', '595', '604']
['541', '305', '310', '279', '713', '24']
['659', '285', '170', '95', '618', '664']
['234', '321', '410', '98', '418', '11']
['593', '218', '509', '524', '696', '138']
['511', '300', '3', '332', '144', '317']
['184', '122', '561', '292', '233', '344']
['204', '387', '717', '573', '550', '353']
['50', '145', '430', '447', '303', '601']
['324', '540', '691', '347', '343', '636']
['274', '84', '660', '165', '506', '295']
['638', '197', '592', '261', '199', '273']
['123', '616', '57', '100', '621', '339']
['302', '702', '73', '105', '394', '682']
['454', '90', '32', '59', '254', '391']
['718', '668', '626', '547', '710', '579']
['496', '603', '560', '406', '62', '258']
['9', '488', '54', '49', '677', '412']
['620', '196', '712', '28', '203', '666']
['559', '491', '388', '260', '443', '711']
['245', '625', '503', '640', '12', '104']
['479', '628', '667', '676', '675', '289']
['340', '534', '257', '8', '53', '193']
['508', '140', '29', '522', '518', '148']
['308', '120', '113', '513', '18', '236']
['69', '78', '247', '630', '591', '544']
['482', '202', '269', '48', '695', '369']
['558', '678', '489', '315', '485', '42']
['112', '146', '96', '176', '350', '281']
['473', '132', '498', '200', '137', '598']
['576', '580', '475', '622', '409', '106']
['89', '361', '141', '709', '671', '589']
['415', '20', '495', '554', '225', '516']
['556', '7', '446', '266', '45', '403']
['472', '124', '487', '609', '360', '142']
['555', '58', '191', '159', '178', '56']
['68', '223', '379', '436', '280', '10']
['470', '575', '455', '194', '458', '214']
['325', '569', '578', '35', '634', '500']
['571', '336', '116', '486', '55', '669']
['438', '149', '92', '134', '65', '86']
['333', '565', '356', '219', '687', '648']
['43', '658', '581', '314', '617', '551']
['552', '714', '680', '562', '139', '329']
['384', '60', '405', '338', '652', '705']
['79', '393', '670', '327', '128', '169']
['548', '442', '539', '37', '298', '312']
['288', '563', '334', '119', '700', '6']
['453', '432', '707', '337', '77', '642']
['512', '97', '681', '256', '74', '31']
['61', '357', '435', '404', '437', '284']
['414', '597', '407', '417', '133', '349']
['684', '318', '14', '226', '386', '1']
['155', '185', '392', '163', '222', '301']
['444', '228', '352', '701', '441', '657']
['152', '243', '464', '206', '411', '265']
['605', '451', '568', '629', '2', '632']
['173', '262', '655', '708', '381', '231']
['449', '41', '114', '275', '211', '527']
['151', '21', '623', '36', '136', '75']
['542', '366', '719', '674', '532', '359']
['653', '371', '459', '161', '365', '690']
['346', '590', '400', '693', '297', '607']
['127', '377', '641', '311', '205', '363']
['467', '402', '456', '103', '330', '63']
['679', '362', '224', '250', '602', '633']
['162', '380', '81', '646', '22', '147']
['299', '33', '282', '189', '82', '716']
['689', '253', '493', '156', '694', '23']
['171', '484', '278', '230', '525', '26']
['255', '331', '413', '217', '52', '699']
['661', '434', '107', '422', '17', '209']
['624', '326', '259', '67', '364', '370']
['378', '574', '685', '615', '306', '66']
['111', '80', '427', '372', '242', '232']
['101', '499', '94', '398', '320', '483']
['457', '25', '463', '177', '276', '428']
['557', '15', '110', '102', '239', '87']
['117', '420', '599', '507', '433', '517']
['143', '399', '514', '587', '164', '192']
['229', '83', '421', '322', '649', '461']
['208', '72', '160', '34', '460', '419']
['535', '108', '533', '201', '431', '367']
['13', '195', '468', '704', '448', '91']
['135', '99', '588', '501', '429', '348']
['606', '635', '375', '637', '481', '47']
['531', '424', '270', '466', '416', '647']
['688', '210', '294', '319', '88', '706']
['109', '698', '627', '613', '502', '497']
['290', '673', '594', '221', '686', '345']
['235', '215', '4', '121', '596', '395']
['40', '510', '644', '572', '614', '530']
['166', '536', '248', '519', '546', '553']
['220', '283', '445', '51', '396', '423']
['30', '665', '639', '373', '450', '216']
['277', '76', '354', '252', '341', '158']
