['271', '181', '543', '93', '424', '2', '586', '575', '466', '246']
['192', '190', '97', '187', '212', '52', '772', '207', '251', '263']
['216', '584', '153', '716', '598', '481', '5', '752', '662', '0']
['504', '28', '457', '448', '702', '358', '646', '733', '167', '368']
['4', '600', '656', '619', '304', '494', '307', '30', '135', '183']
['617', '346', '545', '198', '431', '548', '16', '257', '417', '241']
['625', '541', '217', '195', '298', '721', '659', '234', '156', '104']
['688', '355', '476', '218', '385', '129', '300', '162', '770', '387']
['145', '693', '601', '125', '692', '254', '636', '295', '779', '432']
['122', '616', '339', '737', '360', '513', '420', '523', '766', '668']
['579', '105', '412', '353', '559', '443', '791', '331', '265', '485']
['240', '59', '347', '289', '115', '797', '644', '639', '381', '749']
['757', '630', '740', '51', '544', '369', '18', '499', '32', '794']
['750', '303', '471', '60', '95', '507', '89', '585', '189', '566']
['446', '237', '671', '236', '487', '510', '798', '141', '570', '191']
['26', '470', '194', '458', '279', '474', '317', '790', '375', '120']
['786', '35', '14', '751', '172', '116', '792', '506', '8', '134']
['745', '576', '238', '365', '142', '309', '552', '384', '674', '64']
['717', '727', '44', '650', '596', '567', '204', '313', '724', '561']
['648', '382', '202', '628', '45', '99', '787', '697', '652', '512']
['452', '773', '61', '661', '150', '407', '684', '415', '442', '386']
['73', '311', '329', '453', '138', '392', '699', '228', '85', '185']
['735', '20', '555', '260', '243', '761', '223', '526', '629', '111']
['7', '182', '301', '641', '98', '94', '734', '611', '529', '213']
['430', '131', '657', '211', '247', '136', '542', '573', '312', '459']
['199', '725', '344', '33', '742', '377', '54', '549', '565', '200']
['352', '404', '402', '679', '350', '764', '57', '603', '233', '282']
['224', '371', '568', '232', '602', '783', '799', '622', '411', '22']
['654', '328', '726', '367', '533', '534', '78', '222', '564', '488']
['332', '107', '48', '532', '383', '21', '422', '281', '666', '110']
['739', '525', '242', '593', '149', '327', '673', '591', '461', '25']
['399', '159', '741', '285', '627', '434', '398', '531', '219', '427']
['468', '106', '29', '450', '305', '127', '373', '71', '728', '594']
['70', '225', '101', '456', '658', '168', '15', '370', '429', '769']
['670', '730', '554', '503', '410', '608', '342', '547', '152', '230']
['338', '517', '34', '437', '394', '731', '363', '24', '267', '439']
['612', '1', '362', '743', '3', '72', '705', '556', '676', '708']
['259', '126', '128', '388', '400', '765', '121', '114', '137', '599']
['580', '334', '660', '587', '421', '160', '651', '171', '349', '140']
['214', '436', '82', '793', '762', '563', '345', '614', '509', '511']
['633', '664', '465', '157', '475', '597', '435', '744', '767', '103']
['155', '372', '316', '118', '244', '336', '493', '132', '732', '704']
['588', '176', '403', '606', '278', '397', '698', '390', '46', '754']
['522', '83', '76', '713', '113', '302', '460', '364', '710', '284']
['139', '343', '789', '319', '621', '169', '58', '729', '249', '148']
['337', '595', '252', '723', '581', '27', '760', '635', '79', '88']
['39', '454', '226', '675', '175', '112', '36', '609', '691', '356']
['663', '695', '539', '389', '665', '618', '425', '231', '50', '521']
['482', '678', '610', '647', '102', '38', '366', '229', '90', '221']
['286', '569', '275', '177', '467', '306', '77', '100', '557', '248']
['42', '341', '703', '290', '604', '527', '686', '40', '753', '173']
['196', '273', '669', '351', '758', '551', '406', '206', '623', '463']
['428', '340', '322', '683', '776', '447', '624', '722', '239', '396']
['291', '768', '514', '96', '505', '560', '524', '220', '361', '401']
['642', '330', '380', '535', '515', '348', '174', '13', '299', '164']
['19', '258', '491', '323', '414', '546', '677', '405', '490', '455']
['395', '208', '130', '268', '283', '253', '393', '637', '483', '62']
['500', '550', '496', '250', '408', '615', '653', '520', '269', '147']
['643', '778', '133', '495', '775', '540', '419', '245', '209', '433']
['23', '558', '738', '634', '49', '685', '86', '154', '706', '690']
['536', '682', '645', '31', '445', '188', '321', '163', '689', '65']
['333', '736', '719', '276', '324', '235', '9', '262', '484', '423']
['109', '672', '607', '197', '649', '714', '464', '178', '589', '492']
['81', '451', '184', '785', '56', '12', '638', '746', '205', '462']
['84', '69', '170', '553', '480', '780', '755', '747', '186', '374']
['577', '376', '272', '426', '720', '631', '256', '795', '469', '203']
['696', '756', '508', '117', '473', '498', '165', '68', '571', '92']
['43', '37', '119', '6', '681', '632', '75', '444', '413', '17']
['655', '67', '680', '264', '700', '440', '55', '687', '781', '701']
['63', '108', '707', '288', '578', '590', '416', '620', '310', '777']
['711', '270', '379', '613', '712', '144', '574', '296', '715', '166']
['91', '261', '562', '53', '583', '748', '123', '287', '292', '215']
['161', '479', '472', '537', '378', '516', '308', '359', '759', '210']
['709', '180', '325', '326', '318', '41', '357', '74', '293', '501']
['784', '502', '124', '10', '582', '266', '489', '640', '694', '441']
['530', '335', '518', '294', '146', '255', '391', '320', '11', '193']
['143', '409', '538', '87', '477', '80', '572', '354', '667', '66']
['158', '47', '418', '486', '771', '179', '478', '201', '227', '796']
['782', '277', '497', '449', '519', '763', '314', '788', '605', '774']
['297', '151', '280', '592', '528', '274', '315', '438', '626', '718']
