['889', '826', '272', '8', '425', '933', '456', '596', '885', '433', '883', '269', '731', '748', '948', '225', '285', '589', '290', '276', '265', '54', '532', '415', '545', '368', '84', '223', '973', '83', '129']
['193', '484', '26', '544', '994', '472', '275', '37', '922', '343', '867', '293', '15', '980', '591', '534', '640', '542', '613', '399', '396', '846', '998', '111', '888', '220', '751', '611', '540', '462', '651']
['274', '828', '430', '404', '5', '309', '709', '862', '914', '736', '200', '241', '246', '359', '44', '133', '142', '294', '949', '436', '489', '227', '990', '957', '254', '538', '344', '442', '941', '716', '803']
['923', '448', '627', '337', '678', '317', '157', '667', '288', '932', '22', '13', '620', '499', '132', '76', '389', '407', '860', '583', '927', '740', '568', '497', '513', '126', '345', '707', '176', '921', '819']
['663', '316', '492', '253', '348', '720', '424', '563', '741', '413', '643', '986', '579', '197', '768', '687', '70', '205', '844', '418', '388', '221', '725', '14', '925', '531', '409', '557', '535', '138', '452']
['955', '521', '829', '28', '222', '210', '936', '332', '507', '187', '893', '732', '87', '843', '733', '758', '541', '604', '561', '877', '474', '319', '150', '624', '34', '42', '802', '976', '845', '47', '529']
['284', '36', '364', '99', '724', '794', '80', '841', '975', '303', '498', '939', '670', '61', '141', '562', '943', '387', '743', '91', '77', '12', '533', '410', '785', '626', '487', '23', '414', '639', '892']
['69', '349', '230', '664', '723', '996', '928', '326', '832', '953', '3', '435', '495', '823', '143', '525', '352', '289', '815', '705', '765', '988', '582', '746', '593', '574', '103', '632', '625', '987', '621']
['380', '218', '690', '17', '907', '520', '66', '208', '235', '296', '619', '686', '7', '406', '204', '281', '950', '480', '372', '573', '185', '434', '105', '715', '419', '586', '519', '597', '982', '401', '783']
['485', '801', '868', '528', '698', '323', '108', '960', '260', '585', '86', '457', '969', '59', '650', '106', '287', '778', '968', '880', '689', '839', '577', '122', '517', '350', '699', '217', '112', '890']
['797', '965', '459', '67', '934', '449', '375', '864', '270', '599', '109', '726', '329', '742', '49', '896', '991', '967', '211', '554', '464', '769', '101', '386', '481', '446', '592', '719', '840', '617']
['328', '466', '21', '558', '321', '917', '866', '805', '165', '738', '482', '277', '915', '479', '701', '757', '584', '546', '226', '196', '512', '251', '444', '307', '88', '537', '443', '606', '526', '616']
['653', '340', '871', '4', '273', '682', '74', '120', '989', '256', '412', '423', '242', '339', '286', '268', '168', '163', '501', '377', '684', '796', '271', '900', '172', '257', '811', '935', '139', '878']
['194', '578', '370', '752', '313', '186', '728', '565', '52', '749', '514', '30', '240', '347', '104', '747', '305', '81', '46', '170', '656', '300', '151', '202', '804', '158', '587', '898', '771', '50']
['82', '182', '336', '458', '515', '672', '530', '590', '312', '938', '827', '362', '703', '775', '677', '1', '18', '171', '486', '791', '169', '695', '905', '588', '550', '713', '128', '608', '676', '439']
['807', '53', '789', '842', '247', '691', '872', '137', '338', '824', '995', '750', '124', '756', '330', '825', '952', '379', '634', '722', '543', '603', '110', '580', '179', '891', '861', '90', '335', '184']
['918', '85', '764', '849', '963', '10', '737', '56', '618', '886', '697', '834', '68', '310', '560', '648', '454', '527', '601', '314', '887', '63', '461', '278', '759', '615', '322', '964', '714', '468']
['605', '853', '556', '781', '518', '201', '635', '754', '383', '491', '469', '355', '685', '954', '702', '904', '983', '706', '510', '937', '502', '576', '984', '16', '64', '188', '164', '636', '149', '516']
['229', '465', '644', '89', '835', '762', '708', '642', '331', '9', '696', '903', '199', '32', '767', '304', '951', '944', '694', '658', '232', '929', '320', '385', '351', '325', '610', '95', '652', '817']
['730', '371', '135', '483', '622', '214', '421', '628', '854', '428', '369', '838', '858', '198', '161', '177', '637', '173', '476', '181', '391', '127', '660', '910', '395', '654', '985', '302', '460', '700']
