['902', '842', '679', '908', '52', '746', '686', '392', '164', '562', '441', '467', '758', '672', '824', '294', '730', '36', '698', '485', '759', '649', '974', '239', '311', '112', '801', '832', '127', '225', '359', '248', '412', '743', '627', '731', '938', '689', '712', '264', '952', '101', '400', '699', '476', '40', '599', '684', '167']
['44', '621', '726', '747', '11', '896', '419', '299', '461', '142', '927', '591', '389', '554', '270', '779', '589', '949', '539', '919', '48', '363', '849', '171', '632', '573', '180', '21', '438', '550', '123', '802', '705', '943', '564', '372', '724', '548', '315', '648', '265', '426', '839', '210', '452', '185', '681', '202', '964']
['466', '122', '427', '680', '888', '93', '629', '200', '4', '706', '298', '444', '320', '533', '665', '256', '146', '309', '669', '520', '432', '767', '396', '851', '823', '794', '486', '293', '92', '676', '636', '490', '955', '598', '505', '606', '561', '103', '861', '848', '370', '356', '871', '569', '551', '75', '535', '879', '514']
['552', '697', '831', '26', '946', '405', '280', '140', '305', '641', '571', '214', '82', '881', '765', '336', '3', '184', '137', '828', '522', '404', '703', '914', '519', '917', '587', '512', '369', '511', '852', '381', '437', '218', '784', '98', '423', '760', '431', '126', '374', '549', '138', '563', '875', '655', '735', '553', '771']
['153', '536', '580', '242', '737', '482', '725', '125', '885', '790', '546', '13', '769', '30', '429', '756', '46', '768', '446', '596', '85', '379', '492', '963', '362', '128', '302', '199', '567', '464', '145', '847', '277', '925', '179', '907', '835', '105', '899', '662', '269', '344', '854', '360', '560', '818', '850', '595', '702']
['268', '279', '708', '619', '796', '973', '227', '131', '803', '176', '23', '304', '932', '723', '333', '834', '609', '28', '136', '557', '593', '616', '741', '515', '417', '17', '87', '640', '581', '597', '51', '104', '281', '513', '84', '965', '80', '545', '718', '471', '976', '325', '465', '97', '399', '34', '376', '500', '650']
['660', '897', '813', '469', '301', '198', '186', '343', '53', '624', '217', '819', '639', '918', '729', '931', '150', '341', '65', '71', '489', '911', '243', '487', '235', '166', '329', '215', '633', '942', '837', '420', '296', '130', '933', '357', '259', '195', '340', '770', '532', '687', '827', '258', '222', '443', '588', '904', '516']
['415', '327', '170', '448', '683', '518', '722', '855', '691', '878', '196', '497', '812', '886', '840', '383', '306', '841', '667', '780', '579', '509', '808', '56', '603', '352', '129', '920', '168', '124', '523', '175', '295', '445', '926', '207', '439', '572', '317', '895', '77', '12', '387', '493', '605', '397', '18', '16', '905']
['876', '251', '228', '29', '351', '696', '318', '226', '358', '953', '339', '977', '246', '751', '134', '378', '470', '354', '120', '491', '31', '297', '657', '161', '37', '348', '219', '283', '367', '715', '331', '307', '694', '534', '287', '656', '685', '366', '583', '245', '659', '165', '38', '978', '263', '829', '496', '806', '151']
['748', '141', '156', '418', '966', '72', '592', '5', '901', '484', '386', '143', '928', '79', '330', '380', '937', '328', '121', '106', '777', '846', '527', '152', '934', '286', '763', '590', '814', '530', '744', '604', '503', '617', '76', '90', '20', '719', '89', '61', '468', '324', '43', '322', '742', '290', '853', '661', '890']
['384', '191', '459', '275', '945', '537', '668', '809', '526', '456', '403', '206', '811', '782', '182', '517', '187', '255', '825', '201', '956', '638', '422', '132', '393', '73', '521', '190', '501', '716', '903', '47', '232', '762', '892', '797', '86', '273', '162', '183', '912', '332', '615', '261', '42', '447', '576', '884', '408']
['312', '234', '118', '398', '2', '498', '66', '350', '614', '457', '833', '338', '81', '458', '647', '133', '507', '866', '172', '440', '308', '205', '620', '244', '783', '734', '230', '409', '717', '798', '240', '32', '586', '916', '368', '930', '558', '971', '473', '701', '900', '455', '786', '542', '39', '889', '958', '388', '673']
['377', '291', '209', '197', '732', '450', '727', '957', '634', '169', '135', '601', '836', '774', '203', '375', '119', '313', '940', '682', '483', '568', '74', '460', '0', '736', '528', '99', '33', '220', '941', '15', '755', '611', '709', '96', '395', '472', '541', '435', '59', '416', '211', '194', '772', '508', '285', '653', '22']
['753', '692', '349', '394', '94', '556', '223', '951', '961', '502', '972', '700', '540', '433', '434', '898', '710', '148', '506', '675', '872', '233', '858', '630', '158', '314', '391', '100', '402', '10', '637', '863', '63', '224', '570', '55', '690', '62', '975', '284', '58', '271', '278', '300', '733', '800', '625', '754', '463']
['820', '155', '749', '645', '868', '323', '462', '64', '923', '969', '157', '954', '745', '25', '14', '613', '781', '481', '608', '68', '906', '750', '173', '45', '967', '177', '149', '826', '241', '109', '236', '282', '334', '260', '212', '830', '365', '643', '474', '254', '721', '947', '582', '406', '728', '353', '221', '144', '538']
['559', '594', '321', '371', '671', '610', '478', '628', '355', '453', '364', '213', '24', '181', '477', '658', '707', '862', '430', '873', '646', '793', '529', '390', '950', '488', '791', '644', '303', '480', '880', '859', '414', '810', '807', '856', '193', '612', '108', '887', '602', '740', '618', '816', '57', '821', '865', '272', '250']
['566', '274', '154', '410', '785', '411', '160', '54', '773', '936', '253', '720', '968', '776', '757', '252', '939', '504', '913', '494', '870', '192', '27', '425', '421', '107', '83', '577', '231', '713', '115', '88', '761', '451', '651', '449', '479', '909', '342', '67', '6', '110', '78', '91', '401', '8', '838', '711', '857']
['267', '948', '817', '670', '714', '70', '654', '361', '764', '188', '257', '864', '787', '935', '407', '666', '499', '574', '319', '428', '585', '1', '921', '288', '815', '642', '693', '622', '413', '578', '789', '547', '111', '739', '970', '495', '216', '531', '41', '678', '623', '525', '635', '804', '50', '262', '238', '159', '960']
