['959', '36', '12', '279', '88', '236', '419', '233']
['359', '595', '447', '76', '399', '69', '647', '936']
['16', '870', '373', '687', '161', '341', '893', '139']
['465', '63', '152', '757', '911', '478', '955', '810']
['315', '429', '550', '670', '817', '350', '431', '457']
['272', '407', '897', '209', '137', '425', '321', '415']
['730', '73', '41', '378', '859', '782', '922', '65']
['763', '568', '823', '615', '267', '581', '497', '733']
['148', '351', '590', '420', '834', '121', '299', '179']
['34', '470', '728', '228', '331', '514', '275', '944']
['335', '449', '671', '327', '382', '297', '336', '740']
['372', '18', '2', '931', '902', '771', '676', '466']
['227', '966', '440', '384', '409', '199', '505', '998']
['111', '861', '9', '135', '788', '743', '994', '773']
['413', '645', '240', '334', '262', '362', '845', '243']
['153', '558', '38', '618', '56', '516', '808', '265']
['602', '691', '248', '513', '176', '312', '738', '160']
['800', '156', '180', '502', '748', '392', '255', '905']
['835', '301', '723', '282', '737', '896', '355', '824']
['930', '462', '393', '19', '831', '545', '186', '739']
['285', '803', '412', '103', '147', '605', '995', '58']
['722', '361', '437', '597', '890', '231', '731', '712']
['975', '604', '535', '4', '322', '783', '639', '675']
['293', '20', '792', '589', '777', '128', '617', '566']
['469', '405', '294', '246', '681', '889', '435', '636']
['177', '657', '5', '654', '662', '736', '473', '75']
['503', '999', '536', '578', '207', '191', '511', '483']
['51', '475', '684', '396', '52', '541', '569', '200']
['386', '365', '686', '828', '291', '57', '970', '500']
['844', '387', '646', '658', '1', '976', '498', '572']
['204', '883', '727', '521', '423', '356', '606', '653']
['146', '13', '237', '795', '593', '217', '21', '766']
['325', '455', '205', '218', '640', '251', '967', '460']
['145', '394', '980', '269', '454', '977', '876', '854']
['519', '259', '621', '198', '984', '856', '588', '104']
['951', '256', '388', '319', '358', '136', '518', '159']
['33', '904', '821', '946', '226', '494', '446', '705']
['487', '655', '908', '109', '157', '713', '628', '188']
['164', '674', '700', '169', '167', '968', '918', '895']
['385', '993', '234', '586', '10', '55', '695', '70']
['667', '458', '843', '729', '744', '683', '697', '716']
['789', '900', '490', '848', '213', '342', '345', '815']
['450', '324', '456', '750', '168', '689', '527', '422']
['987', '552', '919', '295', '887', '476', '292', '22']
['625', '600', '24', '596', '886', '404', '290', '985']
['364', '66', '948', '211', '988', '698', '220', '969']
['746', '920', '906', '631', '524', '765', '692', '84']
['80', '151', '764', '468', '614', '261', '587', '637']
['842', '699', '114', '565', '941', '499', '61', '612']
['249', '3', '613', '991', '346', '836', '696', '996']
['492', '380', '44', '811', '784', '81', '774', '86']
['704', '288', '685', '375', '82', '669', '316', '202']
['215', '507', '258', '547', '865', '46', '27', '517']
['534', '402', '175', '677', '759', '206', '98', '242']
['855', '59', '138', '809', '840', '599', '106', '222']
['796', '682', '934', '369', '635', '411', '96', '398']
['715', '555', '289', '214', '630', '210', '459', '649']
['921', '510', '130', '756', '926', '794', '960', '428']
['6', '826', '194', '939', '105', '480', '745', '239']
['87', '339', '693', '410', '173', '858', '978', '776']
['187', '576', '983', '652', '329', '235', '122', '434']
['979', '125', '701', '276', '110', '601', '224', '864']
['561', '141', '914', '444', '734', '851', '721', '512']
['540', '348', '907', '538', '183', '32', '551', '862']
['504', '212', '165', '822', '77', '665', '857', '702']
['990', '591', '247', '72', '917', '949', '414', '438']
['749', '403', '363', '575', '954', '48', '296', '556']
['624', '879', '881', '898', '305', '945', '924', '445']
['421', '340', '982', '302', '885', '981', '963', '253']
['989', '221', '571', '25', '439', '562', '758', '142']
['732', '452', '986', '806', '115', '760', '117', '453']
['847', '741', '330', '216', '49', '619', '964', '506']
['903', '120', '304', '929', '92', '313', '816', '787']
['802', '472', '928', '78', '71', '254', '680', '300']
['463', '181', '208', '477', '347', '74', '643', '799']
['620', '775', '827', '389', '406', '264', '874', '133']
['471', '707', '530', '53', '28', '882', '17', '332']
['286', '678', '298', '942', '570', '623', '872', '860']
['564', '195', '812', '230', '144', '735', '752', '203']
['533', '170', '608', '42', '118', '609', '634', '485']
['672', '484', '781', '786', '45', '875', '201', '391']
['441', '273', '832', '11', '64', '126', '461', '724']
['83', '891', '189', '140', '442', '270', '825', '250']
['973', '508', '47', '997', '520', '616', '489', '805']
['525', '353', '791', '284', '349', '837', '849', '659']
['762', '184', '992', '491', '232', '241', '172', '711']
['143', '866', '660', '245', '644', '90', '912', '923']
['603', '15', '868', '726', '89', '580', '648', '751']
['344', '192', '93', '814', '225', '496', '610', '326']
