['875', '353', '345', '812', '674', '567', '476', '783', '636', '126', '870', '704', '793', '752', '627', '388', '222', '732', '389', '434', '878', '315', '123', '482', '847', '563', '276', '210', '50', '407']
['586', '358', '311', '366', '506', '779', '13', '839', '339', '395', '592', '372', '220', '790', '700', '499', '129', '473', '231', '845', '98', '286', '237', '19', '287', '451', '454', '575', '234', '849']
['571', '622', '448', '35', '598', '430', '141', '711', '464', '834', '554', '246', '208', '423', '55', '176', '331', '8', '343', '46', '807', '583', '756', '511', '669', '52', '645', '64', '707']
['81', '822', '833', '799', '41', '929', '85', '903', '915', '517', '544', '843', '424', '530', '610', '138', '191', '457', '461', '900', '60', '848', '1', '479', '890', '436', '373', '125', '290']
['724', '510', '314', '786', '805', '157', '625', '271', '492', '738', '240', '91', '798', '0', '192', '791', '648', '547', '679', '810', '305', '394', '485', '131', '829', '835', '465', '144', '581']
['749', '777', '216', '470', '45', '417', '775', '83', '360', '376', '591', '651', '334', '868', '159', '806', '347', '431', '504', '722', '284', '705', '895', '114', '714', '58', '808', '392', '557']
['525', '303', '542', '782', '568', '899', '329', '196', '536', '136', '110', '685', '719', '293', '432', '399', '40', '853', '559', '463', '864', '725', '675', '603', '702', '690', '232', '553', '618']
['202', '163', '338', '269', '57', '869', '132', '565', '356', '516', '898', '548', '21', '38', '633', '680', '65', '792', '158', '225', '182', '632', '819', '896', '795', '688', '892', '241', '841']
['602', '335', '590', '278', '408', '755', '746', '416', '861', '540', '61', '921', '258', '927', '907', '667', '369', '693', '166', '134', '733', '754', '889', '117', '578', '371', '379', '593', '695']
['909', '639', '309', '626', '928', '59', '638', '543', '715', '249', '490', '142', '184', '428', '472', '393', '467', '316', '42', '650', '426', '817', '313', '260', '659', '873', '375', '691', '76']
['458', '818', '764', '758', '363', '769', '767', '717', '71', '449', '537', '532', '330', '181', '887', '505', '533', '226', '523', '480', '699', '199', '378', '569', '281', '611', '74', '195', '18']
['580', '682', '217', '262', '414', '105', '152', '317', '902', '441', '318', '522', '595', '209', '551', '385', '489', '200', '283', '462', '87', '513', '616', '43', '574', '697', '502', '672', '718']
['203', '213', '661', '289', '487', '503', '112', '785', '34', '170', '814', '729', '552', '99', '390', '252', '880', '101', '245', '851', '79', '268', '78', '681', '832', '304', '341', '709', '594']
['97', '411', '405', '56', '924', '926', '904', '558', '325', '319', '635', '642', '739', '22', '37', '760', '103', '164', '562', '883', '228', '531', '925', '823', '842', '438', '765', '183', '664']
['51', '180', '298', '9', '539', '263', '415', '456', '684', '322', '501', '599', '654', '741', '239', '546', '116', '831', '882', '735', '570', '143', '94', '496', '257', '137', '31', '720', '509']
['194', '66', '519', '297', '272', '773', '804', '154', '866', '359', '288', '576', '259', '734', '474', '227', '382', '90', '109', '26', '452', '44', '737', '863', '119', '68', '886', '443', '244']
['439', '248', '787', '573', '881', '920', '386', '809', '433', '193', '916', '747', '564', '703', '344', '712', '337', '706', '445', '653', '312', '631', '320', '579', '515', '582', '784', '413', '221']
['521', '723', '374', '254', '879', '255', '24', '797', '481', '267', '652', '825', '766', '891', '852', '215', '205', '624', '620', '189', '224', '171', '772', '323', '855', '145', '677', '477', '15']
['556', '871', '918', '803', '874', '139', '190', '906', '857', '111', '86', '493', '541', '885', '601', '802', '745', '355', '238', '512', '30', '167', '204', '242', '370', '820', '147', '427', '365']
['401', '827', '302', '419', '391', '12', '274', '165', '917', '858', '23', '5', '696', '450', '364', '280', '768', '750', '279', '713', '301', '922', '404', '285', '88', '251', '486', '641', '566']
['605', '327', '545', '185', '763', '380', '198', '10', '508', '692', '127', '446', '96', '840', '830', '351', '107', '140', '789', '821', '133', '828', '466', '655', '475', '884', '673', '910', '743']
['36', '836', '550', '670', '253', '751', '187', '660', '731', '172', '471', '444', '153', '264', '261', '291', '67', '14', '328', '39', '596', '778', '124', '572', '148', '500', '95', '597', '357']
['300', '494', '865', '668', '440', '587', '299', '658', '748', '400', '846', '354', '794', '292', '332', '666', '604', '410', '197', '776', '495', '518', '265', '826', '615', '824', '753', '247', '275']
