['459', '858']
['80', '84']
['803', '10']
['110', '439']
['250', '575']
['974', '314']
['830', '186']
['658', '743']
['780', '175']
['155', '385']
['494', '985']
['794', '569']
['679', '215']
['227', '501']
['423', '266']
['522', '114']
['506', '479']
['741', '853']
['592', '822']
['529', '128']
['455', '374']
['675', '49']
['809', '739']
['288', '790']
['209', '656']
['735', '270']
['406', '562']
['826', '223']
['777', '349']
['663', '795']
['523', '159']
['772', '925']
['292', '261']
['486', '987']
['75', '940']
['636', '862']
['33', '962']
['584', '697']
['836', '786']
['183', '457']
['377', '615']
['725', '303']
['330', '991']
['478', '484']
['277', '465']
['699', '828']
['812', '238']
['616', '473']
['246', '234']
['196', '894']
['388', '165']
['867', '955']
['755', '253']
['122', '555']
['460', '362']
['943', '180']
['222', '536']
['945', '980']
['449', '323']
['184', '990']
['407', '949']
['593', '63']
['475', '692']
['988', '182']
['799', '132']
['273', '252']
['694', '519']
['759', '850']
['724', '115']
['221', '560']
['546', '613']
['142', '550']
['193', '56']
['72', '756']
['174', '863']
['231', '910']
['728', '549']
['807', '891']
['587', '879']
['166', '603']
['823', '429']
['876', '48']
['366', '171']
['121', '813']
['280', '601']
['190', '914']
['781', '808']
['378', '816']
['508', '667']
['634', '335']
['924', '577']
['690', '44']
['733', '570']
['745', '200']
['631', '243']
['97', '640']
['528', '820']
['297', '93']
['761', '783']
['341', '322']
['702', '843']
['767', '462']
['753', '482']
['558', '38']
['9', '269']
['913', '331']
['392', '135']
['542', '244']
['226', '376']
['298', '869']
['396', '877']
['511', '17']
['621', '998']
['984', '386']
['815', '199']
['286', '90']
['65', '669']
['573', '116']
['898', '256']
['117', '600']
['336', '112']
['169', '709']
['50', '305']
['151', '34']
['488', '576']
['94', '829']
['353', '754']
['397', '651']
['751', '579']
['706', '145']
['931', '219']
['202', '982']
['16', '705']
['531', '247']
['178', '241']
['172', '28']
['451', '71']
['673', '1']
['201', '778']
['414', '757']
['676', '73']
['624', '844']
['760', '923']
['405', '424']
['107', '801']
['427', '821']
['901', '207']
['946', '768']
['470', '730']
['367', '503']
['146', '401']
['258', '291']
['139', '487']
['972', '88']
['21', '852']
['109', '290']
['92', '958']
['46', '4']
['941', '784']
['461', '884']
['994', '434']
['354', '899']
['399', '585']
['668', '856']
['635', '5']
['561', '824']
['134', '381']
['664', '42']
['371', '597']
['721', '666']
['339', '591']
['688', '289']
['485', '58']
['687', '480']
['161', '814']
['361', '661']
['384', '774']
['359', '627']
['691', '889']
['35', '671']
['47', '595']
['788', '379']
['996', '596']
['557', '979']
['400', '695']
['944', '245']
['805', '516']
['327', '300']
['464', '466']
['535', '113']
['696', '39']
['248', '156']
['956', '141']
['62', '275']
['410', '380']
['14', '428']
['332', '13']
['308', '654']
['903', '804']
['722', '604']
['928', '264']
['357', '723']
['657', '932']
['993', '36']
['251', '628']
['912', '471']
['447', '810']
['220', '340']
['868', '271']
['605', '181']
['382', '749']
['902', '195']
['37', '885']
['78', '237']
['342', '559']
['960', '54']
['497', '594']
['800', '413']
['296', '214']
['149', '328']
['373', '637']
['279', '878']
['747', '393']
['847', '598']
['617', '652']
['268', '350']
['130', '463']
['906', '510']
['602', '188']
['99', '281']
['744', '905']
['158', '641']
['929', '240']
['839', '908']
['670', '61']
['727', '22']
['953', '218']
['435', '489']
['147', '890']
['846', '740']
['491', '372']
['563', '857']
['989', '59']
['194', '588']
['848', '895']
['368', '148']
['947', '922']
['143', '153']
['43', '30']
['954', '999']
['564', '864']
['917', '206']
['860', '682']
['720', '527']
['703', '306']
['416', '965']
['545', '779']
['556', '614']
['86', '481']
['224', '518']
['534', '259']
['295', '530']
['712', '966']
['176', '334']
['162', '329']
['973', '76']
['750', '992']
['126', '355']
['775', '959']
['748', '263']
['644', '69']
['404', '31']
['365', '204']
['311', '293']
['7', '60']
['933', '210']
['904', '719']
['301', '539']
['283', '89']
['284', '983']
['217', '968']
['167', '137']
['82', '496']
['920', '582']
['239', '68']
['964', '398']
['29', '752']
['861', '541']
['638', '211']
['442', '937']
['312', '678']
['282', '276']
['948', '53']
['70', '12']
['892', '66']
['849', '977']
['681', '659']
['168', '57']
['718', '138']
['24', '272']
['580', '685']
['647', '315']
['870', '525']
['639', '2']
['608', '79']
['212', '477']
['677', '981']
['177', '835']
['363', '782']
['655', '916']
['845', '454']
['498', '607']
['880', '40']
['389', '6']
['951', '504']
['51', '734']
['356', '620']
['713', '64']
['568', '873']
['865', '526']
['432', '764']
['285', '837']
['689', '590']
['762', '819']
['771', '287']
['708', '170']
['360', '390']
['554', '859']
['674', '23']
['888', '163']
['680', '939']
['500', '136']
['911', '411']
['609', '85']
['827', '419']
['969', '737']
['942', '567']
['574', '25']
['474', '476']
['950', '100']
['440', '517']
['586', '507']
['229', '707']
['106', '623']
['120', '825']
['583', '490']
['444', '468']
['492', '18']
['257', '986']
['493', '578']
['395', '662']
['886', '233']
['127', '418']
['262', '832']
['123', '791']
['883', '320']
['173', '967']
['935', '934']
['299', '599']
['157', '430']
['347', '537']
['581', '495']
['309', '831']
['643', '265']
['103', '769']
['26', '352']
['364', '294']
['532', '872']
['732', '345']
['715', '971']
['387', '375']
['927', '333']
['81', '74']
['119', '236']
['197', '746']
['926', '540']
['514', '310']
['225', '997']
['834', '67']
['802', '957']
['417', '8']
['198', '642']
['255', '317']
['874', '995']
['412', '391']
['773', '260']
['394', '792']
['625', '866']
['101', '796']
['160', '11']
['344', '840']
['140', '520']
['278', '626']
['683', '811']
['131', '915']
['978', '742']
['854', '548']
['571', '254']
['437', '975']
['187', '509']
['572', '469']
['700', '15']
['919', '129']
['191', '566']
['3', '338']
['648', '855']
['611', '452']
['976', '896']
['95', '41']
['45', '118']
['660', '98']
['714', '909']
['267', '521']
['893', '83']
['467', '324']
['606', '936']
['426', '710']
['104', '717']
['513', '483']
['653', '629']
['446', '91']
['701', '55']
['441', '448']
