['51', '101', '44', '793', '197', '168', '205', '743', '591', '858', '423', '708', '782', '920', '301', '947', '148', '496', '436', '89']
['616', '165', '389', '263', '303', '973', '226', '732', '105', '202', '260', '317', '547', '298', '780', '246', '598', '884', '684', '475']
['860', '282', '570', '840', '56', '484', '47', '393', '520', '273', '690', '239', '397', '592', '536', '270', '715', '927', '3', '252']
['827', '156', '633', '797', '373', '729', '626', '529', '102', '236', '895', '387', '870', '277', '219', '463', '122', '257', '409', '807']
['845', '119', '99', '245', '104', '864', '612', '951', '474', '755', '242', '799', '839', '959', '480', '738', '500', '328', '672', '750']
['862', '482', '580', '54', '745', '879', '88', '736', '73', '963', '815', '538', '894', '272', '61', '756', '670', '855', '867', '368']
['949', '225', '164', '346', '249', '21', '506', '82', '428', '354', '275', '778', '773', '868', '696', '380', '395', '74', '58', '422']
['420', '46', '896', '1', '294', '334', '31', '254', '131', '424', '974', '595', '559', '271', '289', '492', '184', '603', '658', '320']
['162', '812', '613', '897', '40', '766', '108', '92', '493', '283', '988', '79', '573', '187', '680', '405', '982', '116', '53', '539']
['557', '235', '237', '853', '375', '457', '421', '779', '564', '454', '123', '50', '69', '751', '60', '7', '909', '537', '887', '866']
['2', '173', '783', '614', '814', '430', '734', '319', '456', '585', '450', '686', '442', '953', '754', '687', '688', '479', '19', '790']
['904', '16', '584', '763', '785', '679', '490', '8', '638', '304', '936', '830', '227', '817', '267', '832', '556', '852', '48', '836']
['703', '77', '86', '700', '426', '258', '364', '972', '396', '419', '234', '166', '152', '524', '477', '374', '5', '495', '488', '67']
['378', '201', '532', '151', '527', '338', '55', '641', '117', '138', '582', '637', '285', '388', '96', '45', '728', '733', '859', '549']
['216', '350', '13', '313', '230', '913', '924', '448', '137', '274', '526', '10', '0', '611', '158', '359', '618', '746', '707', '517']
['341', '390', '180', '314', '962', '357', '377', '437', '124', '149', '921', '505', '627', '293', '414', '144', '171', '522', '776', '667']
['619', '905', '232', '553', '657', '4', '130', '958', '609', '163', '485', '481', '636', '888', '127', '465', '810', '761', '449', '578']
['366', '828', '569', '43', '243', '182', '342', '32', '661', '434', '599', '912', '512', '923', '265', '406', '835', '668', '514', '266']
['297', '233', '671', '871', '114', '741', '210', '649', '998', '933', '195', '632', '207', '190', '801', '954', '250', '170', '172', '17']
['548', '664', '339', '193', '856', '203', '946', '398', '70', '994', '842', '76', '81', '511', '676', '605', '508', '694', '93', '698']
['468', '248', '804', '194', '800', '697', '813', '515', '727', '863', '199', '509', '854', '653', '94', '435', '186', '112', '882', '200']
['683', '25', '719', '264', '262', '615', '367', '415', '513', '188', '332', '995', '774', '712', '596', '150', '685', '731', '891', '42']
['523', '586', '240', '987', '183', '803', '126', '255', '111', '647', '460', '209', '87', '15', '970', '977', '349', '823', '466', '768']
['318', '382', '167', '577', '969', '325', '775', '834', '259', '643', '956', '571', '872', '518', '620', '391', '798', '280', '880', '360']
['572', '351', '689', '662', '26', '83', '363', '781', '786', '113', '80', '939', '352', '757', '333', '410', '567', '748', '555', '425']
['335', '889', '510', '28', '806', '417', '723', '238', '14', '701', '65', '990', '916', '385', '625', '704', '848', '445', '473', '737']
['347', '295', '678', '330', '41', '681', '899', '307', '181', '579', '402', '770', '925', '372', '656', '650', '244', '724', '581', '399']
['228', '381', '489', '691', '980', '155', '725', '365', '427', '964', '323', '229', '934', '462', '623', '343', '673', '590', '642', '588']
['791', '722', '540', '906', '497', '438', '443', '942', '597', '519', '645', '37', '865', '11', '991', '574', '504', '292', '989', '33']
['284', '762', '6', '795', '447', '134', '353', '215', '841', '471', '196', '551', '654', '340', '600', '85', '706', '911', '677', '106']
['145', '461', '528', '39', '30', '976', '189', '38', '362', '57', '356', '467', '299', '525', '544', '63', '483', '198', '562', '316']
['392', '100', '898', '753', '744', '726', '310', '136', '78', '886', '759', '404', '635', '241', '914', '922', '103', '952', '35', '979']
['705', '408', '192', '223', '850', '660', '49', '416', '327', '606', '175', '29', '315', '789', '849', '161', '876', '441', '147', '403']
['534', '565', '452', '601', '218', '533', '583', '881', '439', '269', '75', '961', '279', '893', '154', '811', '809', '300', '12', '831']
['760', '928', '693', '139', '503', '764', '730', '621', '413', '874', '107', '345', '631', '451', '792', '695', '918', '71', '900', '411']
['355', '674', '589', '361', '965', '943', '628', '617', '769', '433', '268', '902', '926', '788', '669', '472', '440', '62', '604', '955']
['446', '290', '713', '932', '177', '213', '507', '652', '607', '682', '142', '176', '993', '9', '646', '903', '651', '18', '476', '401']
['873', '546', '816', '157', '541', '379', '610', '822', '550', '358', '843', '109', '784', '530', '576', '735', '326', '846', '120', '966']
['322', '945', '129', '634', '721', '95', '742', '587', '247', '875', '251', '174', '217', '709', '191', '940', '24', '877', '663', '805']
['22', '431', '444', '716', '394', '125', '552', '90', '950', '593', '91', '308', '824', '498', '110', '666', '305', '986', '981', '288']
['960', '554', '132', '829', '344', '261', '140', '808', '208', '739', '971', '938', '68', '306', '141', '521', '384', '765', '348', '383']
['802', '321', '418', '369', '917', '985', '929', '818', '568', '224', '710', '771', '386', '531', '820', '502', '115', '464', '767', '20']
['487', '718', '563', '128', '648', '214', '837', '910', '720', '844', '311', '794', '857', '901', '885', '211', '659', '640', '999', '133']
['453', '432', '296', '302', '566', '787', '286', '714', '639', '281', '978', '429', '206', '869', '825', '622', '278', '692', '890', '561']
['675', '772', '847', '291', '967', '470', '740', '179', '796', '118', '34', '407', '931', '752', '212', '221', '935', '72', '997', '52']
['501', '711', '908', '143', '833', '545', '160', '376', '602', '331', '535', '253', '337', '665', '861', '222', '59', '747', '370', '883']
['930', '992', '996', '312', '412', '975', '287', '169', '64', '458', '121', '907', '983', '838', '941', '27', '851', '968', '699', '624']
['558', '543', '153', '516', '146', '542', '494', '608', '455', '915', '630', '984', '478', '957', '23', '309', '159', '97', '371', '777']
['84', '135', '655', '329', '459', '560', '324', '937', '469', '66', '948', '276', '220', '400', '821', '878', '702', '944', '717', '919']
['256', '644', '749', '629', '491', '758', '892', '336', '36', '594', '819', '575', '231', '826', '185', '204', '499', '178', '486', '98']
