['148', '955', '25', '403', '528', '112', '520', '816', '698', '615', '268', '38', '34', '280', '267', '388', '562', '550', '470', '72', '794', '196', '225', '456', '227', '67', '656', '319', '736', '626', '231']
['436', '790', '351', '35', '320', '670', '422', '274', '956', '400', '778', '768', '792', '10', '215', '641', '924', '519', '98', '236', '43', '410', '185', '801', '880', '160', '952', '772', '684', '881', '133']
['74', '415', '532', '290', '486', '469', '325', '566', '79', '31', '873', '917', '184', '172', '726', '521', '90', '694', '505', '490', '680', '819', '610', '495', '658', '287', '710', '826', '357', '573', '62']
['282', '416', '181', '159', '170', '103', '556', '311', '609', '349', '613', '78', '804', '304', '877', '442', '945', '893', '86', '660', '169', '89', '237', '30', '746', '207', '960', '68', '467', '84', '61']
['330', '63', '823', '138', '953', '451', '394', '4', '676', '928', '791', '855', '455', '307', '69', '60', '601', '666', '405', '429', '711', '863', '669', '501', '427', '500', '633', '97', '375', '808', '125']
['787', '222', '339', '485', '218', '580', '139', '771', '899', '468', '941', '675', '477', '332', '414', '815', '346', '866', '303', '327', '479', '905', '143', '900', '395', '699', '46', '210', '620', '600', '636']
['716', '723', '596', '703', '164', '954', '331', '266', '706', '853', '211', '829', '466', '117', '306', '94', '15', '471', '786', '178', '374', '748', '563', '488', '683', '895', '363', '108', '696', '916', '59']
['725', '385', '464', '378', '688', '902', '864', '128', '216', '914', '341', '860', '487', '542', '692', '92', '834', '217', '773', '77', '534', '674', '517', '55', '440', '277', '155', '407', '809', '840', '32']
['757', '76', '355', '659', '742', '767', '687', '271', '238', '151', '408', '901', '372', '664', '9', '113', '686', '213', '541', '593', '629', '752', '420', '465', '251', '627', '123', '737', '71', '612', '561']
['892', '389', '246', '848', '49', '316', '657', '127', '813', '301', '653', '88', '937', '390', '846', '362', '476', '205', '435', '188', '689', '286', '130', '343', '336', '338', '295', '221', '728', '120', '431']
['529', '135', '173', '938', '837', '913', '272', '399', '856', '250', '810', '105', '235', '441', '283', '668', '309', '484', '782', '727', '603', '19', '134', '96', '7', '798', '91', '616', '229', '581', '457']
['543', '478', '859', '137', '206', '597', '865', '858', '262', '248', '8', '161', '738', '774', '51', '744', '795', '177', '41', '572', '630', '645', '255', '822', '735', '199', '171', '23', '166', '904', '224']
['102', '175', '245', '638', '118', '417', '412', '925', '512', '621', '750', '131', '368', '812', '446', '671', '614', '911', '882', '637', '37', '765', '432', '553', '276', '157', '228', '261', '661', '256', '444']
['678', '0', '296', '739', '663', '558', '16', '903', '347', '732', '70', '219', '300', '195', '458', '753', '353', '949', '574', '886', '806', '119', '585', '818', '947', '494', '141', '36', '208', '154', '513']
['257', '142', '540', '289', '83', '883', '857', '333', '545', '584', '27', '391', '252', '817', '45', '492', '719', '66', '709', '498', '292', '241', '549', '101', '959', '705', '870', '294', '22', '697', '269']
['639', '781', '50', '701', '741', '409', '329', '158', '47', '496', '275', '352', '489', '167', '518', '380', '379', '849', '588', '345', '643', '625', '524', '640', '1', '926', '575', '793', '313', '186', '17']
['150', '758', '537', '149', '214', '384', '525', '364', '26', '447', '398', '483', '595', '662', '234', '481', '557', '174', '704', '340', '448', '560', '922', '721', '259', '619', '265', '868', '874', '462', '714']
['776', '104', '5', '482', '126', '156', '503', '526', '527', '582', '546', '197', '766', '652', '554', '590', '907', '730', '344', '565', '124', '182', '740', '769', '87', '387', '594', '535', '681', '502', '821']
['712', '82', '800', '943', '168', '805', '463', '759', '507', '122', '356', '713', '875', '361', '342', '2', '665', '57', '693', '20', '244', '691', '28', '413', '789', '425', '203', '667', '504', '348', '220']
['187', '844', '324', '354', '606', '386', '75', '631', '677', '889', '647', '223', '707', '404', '111', '830', '847', '607', '437', '249', '165', '591', '308', '515', '106', '587', '876', '263', '298', '888', '3']
['73', '312', '284', '381', '605', '646', '930', '110', '531', '679', '100', '929', '717', '233', '509', '247', '796', '611', '419', '371', '635', '191', '163', '583', '291', '777', '568', '958', '270', '58', '64']
['11', '402', '579', '393', '315', '887', '260', '910', '253', '65', '383', '232', '673', '258', '779', '480', '682', '814', '242', '449', '936', '12', '428', '530', '634', '421', '700', '360', '878', '99', '722']
['114', '871', '920', '898', '576', '359', '190', '547', '885', '279', '288', '192', '854', '570', '567', '869', '438', '369', '401', '788', '53', '506', '285', '578', '152', '6', '702', '460', '523', '93', '862']
['382', '884', '604', '472', '297', '194', '109', '832', '373', '299', '193', '335', '551', '833', '310', '14', '559', '514', '957', '811', '915', '162', '747', '33', '202', '867', '358', '198', '510', '201', '618']
['841', '453', '452', '751', '951', '599', '906', '802', '433', '536', '508', '366', '897', '461', '48', '642', '644', '56', '850', '548', '838', '836', '715', '690', '321', '672', '918', '780', '745', '376', '807']
['18', '450', '755', '734', '144', '29', '230', '934', '145', '52', '314', '81', '240', '302', '40', '785', '533', '121', '842', '337', '628', '107', '212', '950', '497', '555', '827', '183', '454', '724', '764']
['370', '891', '756', '763', '243', '443', '718', '239', '367', '147', '733', '825', '762', '608', '115', '946', '577', '273', '200', '80', '473', '406', '879', '411', '927', '632', '116', '775', '539', '783', '708']
