['148', '16', '237', '477', '362', '464', '230', '465', '373', '612', '732', '683', '30', '190', '61', '500', '431', '128', '615', '597', '79', '535', '590', '737', '587', '360', '77', '12', '578', '151', '723', '293', '559', '164', '54', '181', '140', '314', '721']
['321', '647', '276', '383', '420', '40', '555', '669', '577', '715', '709', '6', '558', '340', '323', '691', '98', '272', '508', '109', '285', '301', '338', '86', '586', '251', '516', '512', '487', '479', '81', '84', '283', '730', '403', '273', '662', '389', '584']
['381', '542', '496', '92', '299', '193', '22', '650', '214', '458', '564', '278', '210', '346', '45', '329', '158', '567', '478', '274', '21', '660', '727', '173', '518', '215', '413', '554', '576', '448', '552', '672', '196', '455', '629', '402', '231', '203', '658']
['588', '398', '1', '65', '359', '267', '557', '222', '349', '594', '165', '43', '304', '23', '722', '511', '407', '566', '34', '482', '261', '133', '712', '99', '192', '211', '355', '367', '417', '711', '186', '246', '348', '692', '271', '396', '26', '580', '220']
['343', '135', '291', '322', '461', '14', '600', '369', '574', '275', '622', '703', '364', '279', '642', '277', '227', '602', '198', '454', '269', '694', '720', '582', '502', '387', '306', '266', '581', '519', '493', '538', '390', '466', '191', '209', '611', '429', '116']
['469', '147', '112', '255', '31', '202', '52', '290', '406', '208', '716', '319', '498', '106', '666', '39', '178', '637', '161', '9', '551', '180', '549', '631', '651', '460', '415', '58', '623', '524', '665', '366', '494', '630', '726', '513', '50', '520', '309']
['693', '550', '218', '11', '706', '474', '707', '358', '48', '400', '103', '468', '224', '127', '286', '174', '446', '68', '688', '450', '225', '66', '265', '545', '553', '476', '110', '717', '336', '424', '320', '384', '166', '313', '609', '661', '47', '603', '604']
['638', '310', '626', '300', '404', '617', '330', '138', '486', '599', '83', '17', '119', '598', '628', '259', '442', '393', '284', '282', '379', '51', '708', '572', '452', '657', '216', '481', '718', '368', '244', '560', '636', '470', '614', '533', '505', '130', '18']
['176', '56', '76', '591', '544', '472', '334', '159', '440', '95', '233', '78', '189', '649', '195', '592', '697', '354', '235', '433', '32', '345', '303', '41', '501', '124', '509', '226', '395', '188', '405', '125', '640', '241', '134', '194', '426', '421', '689']
['139', '199', '607', '463', '411', '385', '489', '702', '547', '155', '575', '315', '635', '695', '654', '325', '423', '57', '529', '3', '504', '633', '699', '738', '620', '72', '674', '596', '436', '24', '376', '239', '171', '59', '75', '648', '62', '107', '240']
['719', '673', '333', '217', '714', '451', '522', '38', '263', '204', '73', '149', '444', '262', '243', '705', '252', '435', '634', '515', '317', '644', '514', '710', '228', '561', '471', '120', '238', '287', '664', '122', '485', '546', '528', '410', '353', '88', '201']
['74', '441', '556', '80', '197', '182', '328', '33', '728', '686', '311', '525', '356', '249', '129', '102', '422', '69', '684', '108', '589', '5', '63', '606', '96', '392', '445', '326', '517', '459', '667', '175', '685', '257', '70', '104', '475', '656', '374']
['687', '437', '531', '260', '605', '145', '94', '212', '663', '610', '229', '105', '248', '534', '357', '653', '618', '456', '680', '495', '739', '527', '499', '399', '332', '595', '361', '157', '391', '341', '492', '179', '163', '624', '428', '503', '608', '548', '344']
['93', '264', '725', '585', '89', '568', '160', '401', '64', '302', '49', '316', '352', '36', '20', '82', '4', '414', '457', '569', '327', '15', '375', '154', '704', '213', '85', '540', '491', '152', '425', '668', '294', '118', '676', '307', '679', '232', '123']
['170', '734', '659', '298', '565', '144', '177', '418', '117', '137', '245', '113', '168', '185', '593', '183', '270', '200', '641', '87', '532', '678', '142', '675', '397', '643', '184', '37', '258', '497', '242', '583', '292', '2', '483', '296', '539', '236', '115']
['453', '253', '473', '55', '536', '484', '42', '156', '698', '234', '268', '280', '731', '46', '205', '29', '347', '382', '480', '677', '206', '312', '126', '439', '308', '632', '150', '97', '60', '690', '250', '724', '281', '136', '254', '447', '19', '601', '434']
['351', '67', '537', '162', '53', '526', '339', '378', '507', '247', '394', '621', '613', '143', '131', '616', '7', '713', '571', '646', '543', '318', '523', '416', '187', '8', '462', '219', '696', '412', '153', '639', '570', '733', '467', '370', '438', '645', '380']
['167', '35', '562', '350', '700', '28', '371', '141', '335', '146', '670', '625', '388', '488', '530', '735', '90', '289', '377', '419', '305', '619', '681', '432', '27', '221', '506', '223', '132', '541', '701', '365', '682', '121', '652', '0', '295', '111', '573']
['172', '655', '331', '91', '169', '324', '25', '71', '114', '100', '44', '521', '736', '671', '372', '13', '101', '490', '363', '342', '256', '729', '10', '563', '430', '449', '427', '297', '408', '579', '510', '443', '386', '207', '627', '288', '409', '337']
