['148', '151', '171', '840']
['822', '881', '201', '262']
['34', '237', '813']
['851', '158', '477']
['734', '8', '464']
['319', '607', '465']
['605', '240', '612']
['581', '111', '683']
['899', '91', '993']
['994', '330', '61']
['229', '698', '834']
['223', '2', '431']
['47', '987', '615']
['537', '763', '79']
['130', '192', '590']
['258', '286', '594']
['534', '753', '587']
['660', '289', '846']
['941', '280', '958']
['9', '138', '623']
['63', '788', '901']
['86', '163', '578']
['757', '64', '723']
['393', '760', '559']
['645', '992', '802']
['29', '767', '915']
['677', '181', '70']
['430', '798', '693']
['688', '653', '210']
['314', '523', '97']
['276', '704', '552']
['82', '144', '126']
['484', '554', '367']
['669', '93', '154']
['66', '852', '268']
['637', '709', '630']
['568', '529', '717']
['785', '786', '513']
['172', '754', '165']
['824', '558', '481']
['344', '323', '971']
['968', '98', '166']
['397', '272', '173']
['383', '508', '736']
['932', '109', '903']
['228', '285', '198']
['295', '301', '820']
['140', '911', '586']
['299', '215', '512']
['618', '876', '365']
['122', '81', '793']
['697', '84', '966']
['771', '940', '418']
['957', '283', '898']
['675', '263', '782']
['835', '128', '925']
['468', '298', '741']
['108', '965', '341']
['320', '389', '781']
['978', '217', '43']
['72', '542', '805']
['496', '896', '961']
['92', '306', '922']
['200', '388', '679']
['22', '395', '963']
['927', '702', '563']
['650', '52', '179']
['77', '706', '614']
['789', '27', '347']
['541', '967', '930']
['564', '39', '521']
['727', '442', '791']
['944', '528', '948']
['862', '561', '351']
['632', '350', '524']
['340', '26', '928']
['398', '178', '65']
['890', '604', '855']
['46', '844', '267']
['628', '204', '557']
['94', '988', '531']
['488', '535', '251']
['366', '227', '996']
['863', '480', '355']
['742', '518', '507']
['376', '980', '382']
['195', '304', '211']
['134', '31', '183']
['910', '538', '774']
['206', '466', '241']
['953', '814', '923']
['191', '392', '828']
['573', '326', '254']
['511', '170', '571']
['597', '400', '599']
['748', '443', '633']
['589', '335', '731']
['291', '246', '188']
['551', '214', '10']
['942', '207', '560']
['180', '888', '549']
['357', '691', '631']
['53', '651', '924']
['917', '73', '765']
['985', '800', '904']
['311', '260', '149']
['460', '1', '269']
['80', '861', '809']
['768', '536', '514']
['900', '58', '582']
['219', '916', '162']
['452', '833', '886']
['321', '360', '356']
['884', '665', '28']
['406', '670', '977']
['847', '89', '380']
['494', '281', '619']
['639', '756', '856']
['920', '732', '343']
['545', '253', '255']
['328', '520', '51']
['707', '450', '174']
['342', '686', '446']
['427', '873', '451']
['475', '265', '225']
['837', '232', '825']
['290', '44', '746']
['216', '997', '659']
['626', '48', '15']
['642', '652', '224']
['821', '548', '663']
['517', '553', '735']
['476', '449', '153']
['110', '810', '12']
['336', '585', '658']
['826', '504', '220']
['859', '867', '463']
['593', '823', '956']
['387', '695', '38']
['555', '565', '575']
['384', '271', '848']
['532', '583', '929']
['284', '764', '313']
['16', '177', '156']
['694', '827', '99']
['759', '164', '661']
['472', '349', '161']
['566', '803', '293']
['648', '385', '726']
['353', '681', '638']
['970', '657', '104']
['300', '127', '505']
['666', '364', '885']
['934', '527', '473']
['404', '231', '168']
['951', '409', '907']
['390', '417', '135']
['346', '799', '617']
['100', '946', '680']
['766', '750', '596']
['795', '486', '725']
['112', '891', '68']
['69', '238', '797']
['721', '143', '718']
['189', '145', '989']
['649', '368', '372']
['212', '244', '461']
['644', '375', '636']
['259', '794', '424']
['843', '470', '75']
['294', '533', '415']
['226', '540', '882']
['510', '572', '981']
['176', '312', '56']
['526', '991', '76']
['806', '591', '233']
['445', '23', '544']
['668', '662', '562']
['334', '159', '202']
['428', '909', '36']
['440', '361', '801']
['758', '792', '780']
['333', '222', '419']
['78', '937', '547']
['895', '118', '812']
['983', '964', '744']
['187', '943', '839']
['592', '352', '889']
['146', '354', '751']
['433', '88', '752']
['456', '577', '769']
['489', '499', '87']
['550', '182', '969']
['116', '155', '919']
['434', '539', '931']
['71', '315', '584']
['720', '41', '287']
['410', '635', '938']
['102', '952', '479']
['90', '690', '654']
['318', '414', '975']
['423', '411', '609']
['57', '25', '6']
['266', '543', '3']
['14', '107', '447']
['641', '610', '787']
['710', '699', '877']
['807', '413', '30']
['871', '745', '850']
['620', '62', '667']
['435', '674', '804']
['236', '129', '634']
['492', '879', '377']
['908', '627', '755']
['655', '775', '672']
['515', '990', '317']
['490', '647', '242']
['203', '696', '829']
['469', '673', '836']
['936', '125', '849']
['972', '556', '402']
['103', '249', '17']
['664', '50', '274']
['506', '519', '429']
['441', '485', '13']
['363', '396', '870']
['106', '574', '602']
['866', '42', '603']
['740', '878', '250']
['74', '716', '331']
['570', '722', '194']
['921', '132', '348']
['95', '738', '678']
['622', '5', '906']
['407', '892', '743']
['853', '818', '606']
['772', '218', '408']
['773', '403', '611']
['902', '868', '643']
['121', '819', '762']
['687', '905', '478']
['811', '338', '381']
['685', '378', '845']
['196', '495', '33']
['739', '213', '646']
['796', '399', '270']
['516', '421', '714']
['893', '175', '186']
['169', '579', '401']
['221', '530', '872']
['302', '358', '49']
['954', '316', '24']
['776', '85', '20']
['4', '682', '305']
['273', '912', '275']
['959', '252', '761']
['864', '325', '307']
['737', '502', '261']
['817', '303', '436']
['123', '96', '40']
['883', '310', '567']
['83', '137', '120']
['55', '857', '887']
['432', '640', '337']
['503', '497', '362']
['808', '18', '245']
['894', '982', '113']
['391', '482', '613']
['309', '897', '625']
['185', '939', '197']
['747', '193', '719']
['730', '749', '248']
['914', '790', '59']
['860', '454', '576']
['426', '979', '950']
['373', '976', '278']
['437', '616', '522']
['816', '184', '114']
['711', '199', '167']
['37', '422', '457']
['779', '117', '880']
['689', '243', '453']
['869', '588', '838']
['7', '712', '501']
['705', '874', '703']
['684', '455', '692']
['913', '21', '359']
['509', '493', '322']
['841', '974', '416']
['438', '471', '458']
['235', '332', '147']
['234', '955', '933']
['569', '875', '131']
['815', '656', '208']
['101', '600', '831']
['264', '209', '0']
['277', '369', '598']
['580', '462', '700']
['133', '986', '865']
['339', '425', '962']
['491', '926', '142']
['439', '676', '621']
['444', '918', '947']
['257', '67', '949']
['329', '832', '601']
['995', '784', '624']
['374', '935', '715']
['308', '150', '474']
['386', '945', '124']
['371', '724', '292']
['708', '412', '467']
['487', '11', '960']
['256', '115', '35']
['830', '498', '379']
['119', '190', '701']
['296', '297', '728']
['842', '448', '608']
['160', '459', '778']
['141', '230', '324']
['105', '483', '45']
['729', '370', '54']
['854', '733', '327']
['60', '19', '770']
['136', '783', '671']
['394', '595', '973']
['288', '629', '345']
['405', '205', '247']
['858', '282', '713']
['984', '777', '239']
['32', '546', '279']
['525', '500', '157']
['152', '139', '420']
