['148', '881', '237', '477', '464', '465', '612', '61', '834', '431', '615', '138', '587', '805', '958', '623', '901', '578', '723', '559', '802', '767', '181', '798', '314', '276', '82', '669', '899', '852', '709', '133']
['529', '786', '558', '323', '98', '272', '508', '109', '285', '536', '530', '86', '586', '512', '876', '955', '84', '940', '283', '263', '273', '298', '321', '542', '496', '92', '193', '887', '691', '268', '357']
['944', '210', '340', '426', '855', '557', '362', '622', '455', '227', '602', '306', '507', '198', '459', '253', '211', '538', '466', '191', '511', '597', '39', '813', '178', '118', '291', '9', '787', '942', '799']
['549', '631', '4', '854', '917', '311', '460', '186', '861', '923', '58', '822', '665', '847', '366', '494', '630', '756', '920', '343', '255', '42', '520', '174', '446', '688', '225', '825', '746', '659', '48']
['642', '265', '545', '32', '476', '110', '336', '424', '165', '711', '320', '384', '844', '892', '929', '166', '313', '224', '609', '759', '661', '161', '358', '638', '310', '650', '300', '753', '404', '951', '907']
['251', '617', '886', '657', '486', '683', '330', '718', '368', '244', '560', '636', '383', '614', '505', '882', '130', '176', '76', '591', '544', '472', '334', '159', '909', '440', '792', '233', '222', '78', '189']
['895', '649', '812', '744', '195', '715', '592', '707', '697', '354', '111', '577', '489', '550', '547', '155', '309', '500', '315', '41', '695', '479', '112', '423', '6', '31', '187', '461', '413', '620', '791']
['72', '379', '879', '596', '377', '755', '129', '515', '689', '644', '514', '928', '710', '228', '943', '670', '238', '936', '400', '287', '103', '664', '924', '52', '485', '349', '410', '810', '266', '836', '916']
['353', '574', '806', '878', '74', '50', '393', '589', '246', '344', '839', '919', '809', '743', '606', '218', '134', '381', '938', '69', '868', '376', '762', '192', '829', '75', '785', '359', '169', '751', '94']
['663', '845', '495', '135', '739', '748', '694', '499', '516', '568', '764', '893', '795', '106', '468', '848', '673', '401', '64', '648', '316', '36', '725', '328', '403', '704', '414', '38', '232', '807', '243']
['531', '959', '170', '734', '261', '303', '643', '144', '478', '418', '117', '475', '389', '904', '503', '808', '245', '113', '553', '168', '43', '856', '454', '185', '774', '319', '593', '452', '197', '488', '941']
['270', '200', '730', '341', '567', '860', '397', '517', '540', '871', '823', '226', '668', '702', '534', '653', '645', '77', '184', '716', '93', '279', '680', '37', '667', '258', '457', '742', '884', '33', '863']
['90', '497', '391', '231', '583', '780', '173', '732', '539', '236', '421', '594', '880', '453', '307', '705', '684', '89', '820', '7', '99', '957', '493', '55', '398', '40', '156', '698', '217', '789', '727']
['900', '280', '931', '731', '937', '47', '726', '46', '831', '402', '761', '411', '29', '535', '610', '890', '598', '59', '677', '206', '312', '158', '126', '575', '865', '151', '390', '145', '339', '149', '250']
