['148', '576', '957', '493', '55', '445', '464', '465', '612', '531', '235', '61', '409', '217', '234', '789', '727', '900', '361', '594', '587', '937', '208', '358', '164', '626', '455', '30', '535', '598', '59', '82', '374', '332']
['312', '852', '490', '865', '529', '962', '349', '272', '536', '646', '796', '751', '772', '586', '599', '891', '621', '283', '870', '128', '668', '298', '389', '613', '496', '197', '193', '22', '709', '887', '306', '897', '79', '356']
['616', '24', '800', '944', '763', '910', '210', '7', '398', '284', '65', '571', '807', '566', '266', '963', '198', '874', '211', '150', '318', '518', '209', '597', '935', '813', '787', '885', '641', '551', '582', '194', '549', '591']
['651', '985', '460', '949', '153', '296', '811', '329', '147', '565', '366', '848', '756', '260', '255', '42', '322', '969', '700', '947', '190', '988', '225', '746', '659', '681', '120', '545', '27', '714', '110', '336', '826', '649']
['859', '522', '802', '966', '506', '805', '929', '986', '431', '224', '609', '759', '625', '661', '293', '310', '214', '180', '934', '875', '766', '588', '177', '617', '837', '788', '486', '327', '683', '816', '330', '481', '770', '416']
['381', '601', '14', '88', '999', '797', '196', '614', '533', '259', '425', '954', '331', '882', '629', '437', '56', '405', '160', '994', '677', '556', '544', '838', '396', '914', '159', '858', '140', '498', '525', '215', '669', '504']
['78', '474', '895', '849', '744', '101', '611', '231', '592', '491', '239', '577', '402', '71', '560', '695', '654', '325', '57', '297', '3', '187', '461', '699', '972', '676', '782', '674', '379', '911', '230', '435', '634', '122']
['515', '689', '896', '514', '685', '779', '171', '351', '627', '53', '814', '238', '400', '388', '408', '125', '438', '810', '995', '100', '990', '353', '574', '74', '207', '240', '346', '229', '246', '692', '124', '5', '287', '323']
['919', '898', '873', '606', '218', '928', '773', '721', '872', '456', '333', '407', '666', '288', '376', '658', '927', '192', '520', '326', '785', '573', '264', '20', '916', '95', '845', '337', '768', '463', '903', '748', '527', '603']
['835', '247', '70', '827', '764', '893', '795', '468', '420', '363', '841', '472', '25', '205', '781', '864', '648', '62', '49', '233', '154', '970', '977', '50', '142', '521', '959', '277', '216', '607', '203', '860', '141', '11']
['643', '790', '66', '799', '137', '492', '282', '604', '926', '471', '733', '808', '245', '998', '43', '254', '454', '185', '319', '593', '452', '930', '675', '441', '747', '189', '730', '749', '996', '179', '397', '32', '968']
['823', '226', '702', '534', '720', '90', '54', '771', '199', '736', '144', '667', '258', '462', '457', '850', '952', '348', '524', '126', '23', '992', '262', '201', '690', '732', '320', '236', '281', '390', '473', '453', '705']
['660', '419', '354', '684', '89', '881', '820', '993', '99', '484', '979', '590', '640', '280', '731', '846', '406', '723', '831', '559', '767', '181', '761', '965', '314', '610', '382', '276', '383', '219', '687', '899', '6']
['786', '145', '581', '434', '213', '250', '285', '938', '86', '876', '81', '84', '403', '143', '200', '615', '871', '894', '867', '564', '253', '974', '540', '267', '908', '622', '67', '507', '538', '466', '583', '357', '624']
['39', '430', '97', '637', '291', '9', '912', '942', '783', '0', '975', '923', '433', '960', '997', '570', '665', '847', '127', '726', '343', '513', '167', '35', '350', '446', '971', '249', '48', '642', '729', '118', '432']
['842', '476', '439', '384', '223', '892', '29', '901', '824', '650', '541', '948', '647', '370', '121', '830', '951', '886', '295', '532', '657', '828', '718', '989', '728', '368', '724', '111', '448', '922', '817', '987', '745']
['345', '365', '338', '274', '569', '956', '792', '670', '222', '932', '812', '195', '707', '902', '931', '41', '286', '693', '819', '103', '317', '737', '710', '917', '45', '943', '415', '793', '44', '16', '924', '519', '410']
['305', '806', '546', '393', '589', '784', '839', '131', '134', '769', '87', '289', '136', '339', '868', '982', '829', '459', '220', '552', '10', '347', '499', '516', '304', '18', '561', '316', '352', '973', '940', '96', '953']
['451', '4', '440', '232', '243', '299', '422', '307', '502', '825', '803', '478', '429', '418', '548', '742', '475', '656', '449', '483', '686', '503', '204', '442', '168', '765', '344', '129', '108', '92', '278', '539', '275']
['133', '123', '567', '162', '757', '653', '740', '342', '600', '671', '93', '840', '595', '981', '335', '252', '417', '964', '256', '242', '107', '292', '175', '778', '804', '290', '889', '906', '801', '880', '708', '458', '104']
['386', '237', '156', '662', '958', '623', '578', '798', '411', '602', '678', '501', '575', '754', '558', '149', '818', '955', '378', '273', '584', '212', '762', '780', '618', '855', '523', '961', '227', '480', '775', '543', '920']
['585', '967', '631', '738', '696', '925', '861', '58', '833', '360', '494', '28', '851', '596', '553', '424', '308', '105', '428', '857', '638', '321', '608', '753', '907', '47', '19', '244', '172', '505', '605', '130', '176']
['76', '12', '719', '324', '909', '372', '13', '697', '550', '309', '635', '572', '915', '639', '394', '791', '146', '644', '854', '936', '447', '664', '52', '832', '509', '722', '467', '63', '809', '743', '248', '138', '776']
['359', '495', '399', '568', '758', '862', '443', '114', '469', '38', '83', '80', '263', '414', '85', '735', '579', '883', '170', '734', '436', '311', '510', '113', '976', '713', '488', '183', '385', '450', '918', '184', '37']
['950', '984', '391', '373', '15', '563', '913', '530', '369', '672', '477', '426', '40', '834', '387', '46', '739', '98', '508', '109', '512', '303', '444', '268', '33', '300', '980', '64', '362', '31', '178', '715', '8']
['580', '26', '822', '760', '562', '165', '844', '633', '102', '978', '939', '856', '364', '725', '652', '251', '91', '186', '315', '479', '673', '112', '636', '704', '257', '377', '755', '983', '427', '777', '528', '836', '866']
['487', '703', '157', '375', '555', '106', '401', '302', '554', '173', '712', '821', '117', '698', '904', '774', '941', '270', '741', '380', '489', '716', '188', '68', '991', '752', '294', '890', '367', '271', '500', '151', '17']
['301', '139', '482', '511', '843', '630', '34', '1', '174', '711', '221', '132', '119', '73', '21', '628', '878', '794', '470', '60', '537', '423', '72', '879', '228', '371', '946', '905', '69', '863', '116', '663', '135']
['701', '269', '36', '877', '341', '691', '680', '853', '497', '115', '206', '161', '51', '517', '688', '265', '404', '921', '750', '241', '620', '182', '392', '682', '94', '694', '355', '279', '328', '261', '706', '395', '884']
['717', '421', '158', '526', '542', '557', '191', '155', '412', '166', '815', '632', '679', '334', '547', '888', '413', '2', '619', '75', '869', '152', '202', '645', '163', '313', '933', '169', '655', '485', '77', '340', '945']
