['148', '99', '489']
['402', '464', '238']
['40', '114', '166']
['409', '325', '286']
['260', '182', '343']
['255', '3', '394']
['208', '414', '360']
['583', '279', '249']
['243', '164', '181']
['254', '261', '432']
['27', '141', '468']
['82', '317', '308']
['137', '206', '506']
['384', '575', '510']
['428', '503', '266']
['349', '43', '508']
['149', '139', '300']
['108', '370', '100']
['197', '121', '404']
['512', '203', '441']
['207', '50', '346']
['310', '92', '276']
['450', '517', '357']
['134', '196', '328']
['490', '154', '345']
['459', '591', '338']
['482', '497', '53']
['163', '296', '116']
['495', '118', '60']
['525', '215', '312']
['194', '499', '537']
['568', '219', '281']
['115', '557', '535']
['153', '473', '88']
['550', '71', '329']
['41', '172', '479']
['235', '572', '127']
['22', '57', '105']
['83', '392', '451']
['562', '403', '350']
['174', '225', '559']
['216', '184', '382']
['436', '110', '336']
['424', '107', '501']
['156', '297', '102']
['526', '323', '52']
['485', '98', '546']
['109', '285', '364']
['86', '264', '332']
['81', '84', '263']
['579', '299', '589']
['389', '246', '467']
['47', '344', '143']
['275', '68', '73']
['368', '218', '87']
['576', '284', '65']
['267', '523', '455']
['407', '566', '131']
['56', '326', '417']
['169', '256', '220']
['556', '544', '94']
['511', '15', '430']
['34', '23', '178']
['463', '175', '241']
['320', '78', '516']
['327', '18', '460']
['160', '231', '89']
['477', '25', '577']
['401', '55', '205']
['367', '302', '570']
['352', '469', '147']
['74', '54', '366']
['234', '423', '400']
['513', '520', '31']
['187', '28', '578']
['449', '232', '95']
['377', '66', '48']
['456', '120', '571']
['598', '259', '351']
['230', '548', '45']
['282', '435', '427']
['500', '151', '390']
['388', '287', '558']
['584', '113', '204']
['293', '339', '185']
['129', '539', '269']
['273', '303', '376']
['486', '179', '397']
['496', '124', '5']
['19', '226', '395']
['356', '340', '478']
['533', '227', '136']
['306', '37', '112']
['258', '457', '192']
['365', '552', '186']
['35', '39', '375']
['262', '248', '10']
['150', '549', '369']
['13', '195', '101']
['106', '354', '363']
['493', '133', '239']
['16', '547', '465']
['415', '49', '565']
['406', '494', '79']
['590', '42', '416']
['518', '461', '257']
['142', '46', '146']
['307', '7', '502']
['97', '277', '514']
['291', '553', '171']
['59', '228', '569']
['484', '223', '431']
['17', '103', '245']
['125', '488', '442']
['168', '454', '519']
['586', '305', '265']
['0', '270', '378']
['330', '119', '487']
['361', '200', '152']
['481', '381', '437']
['380', '210', '111']
['398', '540', '538']
['362', '289', '69']
['318', '91', '581']
['337', '211', '76']
['405', '252', '191']
['1', '472', '212']
['585', '587', '492']
['592', '498', '14']
['201', '9', '8']
['563', '530', '399']
['247', '421', '594']
['458', '26', '412']
['233', '386', '536']
['242', '11', '155']
['309', '315', '561']
['158', '413', '61']
['217', '36', '387']
['322', '80', '20']
['90', '4', '72']
['190', '379', '596']
['422', '515', '333']
['314', '588', '32']
['144', '429', '67']
['117', '221', '271']
['331', '471', '529']
['44', '374', '145']
['122', '161', '438']
['213', '24', '319']
['29', '452', '509']
['278', '353', '599']
['251', '272', '2']
['189', '298', '341']
['444', '542', '21']
['193', '77', '268']
['301', '250', '33']
['202', '62', '426']
['359', '470', '445']
['425', '93', '199']
['198', '534', '176']
['543', '466', '573']
['274', '6', '396']
['334', '597', '440']
['372', '551', '180']
['474', '290', '580']
['188', '554', '434']
['420', '480', '527']
['75', '280', '433']
['237', '58', '64']
['355', '483', '324']
['30', '316', '165']
['96', '410', '504']
['167', '446', '85']
['38', '521', '128']
['358', '476', '531']
['170', '411', '447']
['545', '383', '418']
['439', '475', '132']
['313', '408', '224']
['229', '528', '321']
['541', '51', '347']
['183', '385', '177']
['371', '283', '240']
['123', '393', '295']
['532', '567', '462']
['63', '162', '214']
['564', '244', '253']
['342', '448', '560']
['138', '505', '593']
['507', '522', '288']
['595', '130', '157']
['335', '348', '524']
['12', '391', '373']
['126', '159', '140']
['135', '292', '173']
['555', '311', '222']
['582', '104', '70']
['236', '304', '574']
['491', '453', '419']
['443', '294', '209']
