['254', '716', '172', '291', '192', '56', '406', '502', '726', '331', '346', '263', '249', '628', '559', '126', '441', '396', '208', '66', '393', '143', '278', '681', '544', '524', '715', '95', '383', '450']
['134', '70', '633', '302', '659', '152', '569', '116', '292', '594', '523', '225', '557', '375', '567', '488', '338', '666', '327', '376', '42', '657', '200', '687', '99', '216', '257', '730', '391', '740']
['312', '82', '235', '691', '283', '533', '345', '304', '45', '293', '148', '330', '607', '108', '178', '284', '281', '275', '432', '59', '602', '334', '626', '320', '51', '62', '0', '405', '173', '505']
['600', '630', '555', '627', '453', '90', '414', '40', '506', '695', '176', '374', '516', '601', '4', '551', '649', '363', '194', '358', '309', '171', '723', '451', '497', '651', '22', '692', '236', '340']
['430', '398', '361', '617', '319', '643', '429', '147', '411', '667', '102', '161', '440', '413', '140', '422', '362', '317', '464', '297', '713', '749', '310', '261', '732', '487', '221', '117', '711', '342']
['521', '341', '543', '151', '592', '489', '272', '246', '133', '581', '130', '474', '664', '670', '472', '260', '332', '468', '621', '514', '679', '251', '481', '87', '438', '612', '326', '144', '674', '25']
['615', '585', '46', '355', '680', '556', '611', '483', '248', '407', '344', '435', '17', '401', '146', '91', '98', '75', '242', '431', '289', '566', '298', '717', '212', '268', '160', '247', '534', '156']
['164', '404', '175', '455', '525', '593', '672', '444', '539', '671', '707', '718', '409', '605', '131', '496', '629', '114', '43', '96', '196', '55', '652', '606', '348', '731', '127', '76', '369', '277']
['210', '322', '704', '122', '213', '712', '599', '470', '136', '562', '314', '290', '660', '678', '458', '31', '227', '510', '49', '427', '424', '205', '495', '460', '245', '728', '372', '501', '564', '9']
['381', '155', '724', '683', '336', '313', '211', '477', '60', '67', '708', '648', '515', '325', '73', '527', '347', '485', '738', '689', '498', '100', '276', '577', '563', '365', '457', '745', '700', '447']
['463', '30', '519', '83', '44', '624', '323', '300', '448', '469', '609', '591', '656', '494', '85', '552', '157', '490', '446', '18', '418', '568', '701', '32', '94', '299', '339', '565', '402', '408']
['380', '384', '154', '706', '101', '719', '622', '371', '328', '642', '734', '197', '61', '532', '442', '219', '684', '709', '139', '286', '356', '19', '166', '554', '377', '237', '354', '294', '74', '47']
['137', '215', '64', '287', '250', '333', '92', '710', '586', '218', '187', '368', '253', '661', '359', '526', '311', '428', '748', '10', '735', '675', '209', '445', '123', '553', '68', '595', '538', '103']
['492', '238', '270', '618', '482', '686', '258', '550', '169', '645', '180', '21', '80', '162', '125', '580', '153', '663', '182', '603', '573', '698', '473', '522', '423', '203', '285', '610', '647', '646']
['370', '625', '48', '189', '97', '335', '360', '343', '141', '138', '511', '571', '241', '165', '15', '353', '541', '508', '616', '722', '234', '480', '454', '295', '598', '703', '696', '168', '256', '86']
['329', '392', '119', '240', '111', '282', '399', '149', '461', '654', '296', '744', '518', '456', '65', '69', '623', '650', '150', '174', '337', '183', '7', '676', '28', '688', '390', '12', '357', '231']
['35', '682', '84', '574', '350', '443', '301', '545', '655', '561', '604', '637', '747', '271', '202', '186', '158', '721', '449', '587', '613', '509', '228', '199', '466', '201', '378', '584', '177', '576']
['279', '71', '400', '572', '388', '109', '349', '644', '465', '382', '542', '34', '107', '467', '14', '479', '484', '269', '72', '145', '589', '742', '741', '220', '433', '389', '665', '239', '115', '504']
['733', '207', '597', '262', '13', '2', '736', '324', '702', '53', '417', '579', '255', '639', '636', '373', '163', '415', '193', '3', '52', '57', '198', '321', '530', '641', '582', '36', '105', '421']
['662', '318', '6', '264', '244', '224', '395', '517', '640', '619', '412', '500', '436', '38', '596', '280', '475', '223', '252', '385', '77', '78', '677', '529', '420', '259', '214', '288', '110', '638']
['104', '410', '303', '89', '403', '588', '142', '669', '184', '583', '491', '743', '191', '170', '590', '499', '614', '513', '493', '560', '8', '316', '459', '685', '226', '185', '549', '135', '699', '739']
['112', '307', '737', '20', '50', '113', '528', '416', '690', '578', '705', '58', '79', '540', '437', '167', '206', '548', '41', '266', '536', '507', '305', '634', '63', '93', '243', '462', '233', '439']
['653', '537', '88', '315', '387', '188', '217', '725', '535', '81', '29', '364', '54', '547', '129', '222', '471', '265', '232', '11', '230', '486', '697', '366', '128', '620', '274', '476', '729', '308']
['673', '419', '693', '120', '204', '306', '520', '132', '39', '714', '26', '478', '720', '5', '229', '33', '379', '668', '570', '190', '159', '694', '27', '425', '434', '124', '635', '106', '512', '351']
['195', '37', '386', '23', '121', '273', '367', '24', '531', '181', '397', '16', '727', '608', '503', '558', '267', '746', '658', '546', '426', '394', '631', '1', '179', '575', '352', '632', '118', '452']
