['254', '156', '79', '16', '440', '170', '450', '405', '161', '463']
['410', '130', '177', '83', '37', '458', '162', '10', '411', '398']
['209', '241', '5', '314', '45', '431', '68', '34', '15', '243']
['123', '33', '422', '73', '168', '389', '251', '270', '418', '473']
['333', '250', '395', '387', '388', '109', '93', '336', '56', '366']
['126', '38', '496', '191', '57', '481', '217', '96', '124', '139']
['329', '332', '392', '199', '206', '106', '201', '210', '464', '296']
['297', '69', '233', '266', '213', '195', '237', '240', '310', '499']
['406', '255', '218', '341', '474', '363', '454', '172', '482', '95']
['318', '108', '107', '478', '35', '203', '180', '247', '384', '308']
['230', '152', '80', '173', '1', '158', '146', '300', '443', '397']
['132', '198', '290', '457', '279', '208', '66', '153', '2', '492']
['196', '104', '81', '12', '357', '291', '19', '304', '451', '378']
['62', '78', '155', '235', '313', '294', '340', '137', '27', '324']
['150', '328', '242', '471', '337', '301', '39', '227', '256', '278']
['288', '49', '399', '54', '192', '309', '327', '489', '99', '372']
['134', '402', '408', '154', '424', '200', '197', '249', '280', '429']
['55', '47', '100', '14', '286', '264', '339', '383', '30', '385']
['461', '373', '120', '448', '350', '421', '136', '225', '374', '184']
['435', '423', '141', '88', '386', '271', '119', '380', '344', '22']
['101', '282', '322', '142', '477', '116', '50', '143', '75', '53']
['414', '65', '351', '221', '128', '390', '427', '238', '85', '94']
['245', '479', '400', '493', '321', '444', '74', '370', '122', '91']
['246', '144', '293', '441', '275', '58', '71', '178', '490', '29']
['118', '84', '368', '239', '295', '403', '434', '495', '263', '465']
['32', '52', '497', '97', '114', '190', '236', '281', '273', '432']
['3', '334', '317', '113', '469', '470', '64', '433', '352', '176']
['298', '244', '404', '48', '112', '394', '285', '189', '283', '7']
['23', '121', '4', '485', '87', '8', '174', '223', '166', '447']
['42', '436', '323', '379', '303', '494', '159', '483', '257', '76']
['9', '331', '229', '43', '415', '234', '446', '276', '151', '148']
['382', '6', '131', '103', '316', '59', '466', '407', '72', '215']
['31', '342', '205', '253', '224', '181', '188', '425', '468', '349']
['147', '63', '377', '302', '25', '44', '129', '105', '456', '420']
['18', '194', '346', '315', '82', '430', '260', '371', '248', '219']
['360', '261', '258', '169', '77', '426', '343', '90', '487', '92']
['171', '20', '60', '265', '453', '287', '28', '163', '183', '419']
['89', '498', '26', '491', '409', '86', '364', '320', '70', '277']
['214', '179', '216', '115', '299', '46', '472', '449', '345', '452']
['347', '305', '348', '375', '417', '226', '396', '416', '362', '306']
['140', '467', '21', '111', '369', '330', '24', '61', '486', '228']
['102', '222', '36', '165', '353', '460', '391', '232', '292', '307']
['157', '212', '98', '110', '439', '231', '145', '488', '267', '445']
['262', '312', '41', '480', '164', '268', '428', '193', '484', '381']
['167', '354', '17', '204', '401', '335', '412', '138', '125', '437']
['269', '475', '40', '358', '367', '211', '476', '284', '361', '272']
['376', '413', '149', '462', '0', '326', '252', '356', '51', '182']
['393', '135', '274', '455', '67', '359', '319', '259', '160', '186']
['13', '311', '133', '338', '175', '207', '459', '11', '202', '438']
['117', '442', '127', '355', '185', '220', '289', '187', '325', '365']
