['473', '254', '522', '810']
['192', '104', '410', '542']
['767', '346', '647', '131']
['291', '370', '811', '496']
['330', '56', '97', '34']
['208', '455', '393', '367']
['143', '357', '360', '630']
['343', '681', '783', '705']
['207', '759', '11', '58']
['715', '203', '138', '413']
['511', '753', '588', '701']
['152', '571', '231', '712']
['594', '100', '225', '79']
['669', '541', '2', '606']
['262', '616', '666', '479']
['722', '494', '480', '348']
['454', '687', '786', '731']
['99', '391', '646', '127']
['740', '457', '491', '269']
['812', '782', '27', '478']
['645', '345', '191', '741']
['148', '128', '544', '145']
['178', '284', '184', '220']
['275', '620', '392', '502']
['602', '304', '210', '589']
['62', '575', '0', '742']
['341', '527', '282', '704']
['654', '788', '414', '608']
['40', '506', '499', '289']
['614', '331', '601', '599']
['4', '551', '456', '470']
['416', '624', '358', '29']
['151', '817', '723', '660']
['451', '736', '150', '540']
['24', '495', '596', '352']
['66', '340', '430', '229']
['183', '7', '361', '458']
['520', '617', '676', '49']
['319', '28', '476', '427']
['246', '688', '429', '665']
['390', '147', '763', '94']
['1', '796', '316', '239']
['729', '440', '140', '115']
['422', '362', '317', '728']
['232', '149', '35', '686']
['78', '297', '84', '564']
['713', '749', '685', '381']
['33', '308', '702', '160']
['116', '487', '301', '313']
['221', '545', '185', '668']
['655', '342', '51', '477']
['604', '803', '309', '793']
['747', '795', '758', '471']
['693', '159', '658', '337']
['524', '417', '130', '648']
['135', '664', '112', '227']
['690', '158', '472', '325']
['615', '449', '789', '96']
['248', '621', '613', '190']
['679', '509', '765', '347']
['672', '349', '721', '800']
['739', '674', '136', '597']
['748', '118', '332', '605']
['611', '483', '633', '563']
['378', '584', '302', '561']
['802', '344', '17', '792']
['120', '659', '146', '745']
['50', '75', '576', '252']
['39', '298', '459', '463']
['268', '247', '230', '548']
['534', '251', '164', '44']
['48', '714', '388', '69']
['327', '593', '181', '323']
['444', '109', '438', '385']
['539', '707', '82', '266']
['465', '382', '578', '300']
['114', '43', '467', '757']
['14', '16', '703', '656']
['484', '76', '72', '587']
['523', '277', '814', '552']
['322', '122', '213', '670']
['165', '634', '5', '446']
['562', '314', '290', '18']
['433', '678', '394', '568']
['737', '466', '31', '525']
['515', '510', '808', '32']
['389', '424', '536', '460']
['684', '89', '216', '751']
['818', '93', '372', '245']
['816', '504', '326', '461']
['9', '155', '724', '408']
['683', '649', '37', '63']
['801', '306', '60', '154']
['281', '733', '67', '706']
['698', '622', '73', '762']
['710', '260', '485', '719']
['689', '276', '577', '570']
['13', '411', '312', '642']
['206', '371', '447', '734']
['338', '30', '407', '61']
['83', '41', '790', '434']
['448', '809', '426', '163']
['497', '324', '469', '219']
['609', '591', '53', '569']
['42', '85', '157', '709']
['507', '106', '776', '558']
['639', '418', '401', '123']
['636', '498', '299', '205']
['243', '339', '565', '264']
['727', '384', '631', '19']
['442', '771', '336', '3']
['365', '425', '777', '52']
['328', '211', '764', '57']
['255', '766', '197', '141']
['503', '532', '274', '198']
['644', '415', '124', '186']
['635', '462', '321', '439']
['101', '286', '356', '653']
['386', '166', '554', '641']
['377', '530', '237', '294']
['512', '354', '778', '47']
['582', '249', '481', '508']
['36', '137', '105', '475']
['421', '215', '662', '595']
['318', '351', '6', '287']
['139', '586', '187', '250']
['195', '305', '193', '437']
['244', '661', '387', '92']
['517', '750', '619', '537']
['428', '500', '436', '218']
['445', '528', '279', '179']
['717', '217', '71', '88']
['652', '535', '805', '368']
['81', '366', '270', '253']
['223', '482', '95', '224']
['547', '804', '550', '315']
['700', '533', '632', '395']
['773', '129', '380', '359']
['162', '798', '125', '396']
['775', '222', '677', '640']
['529', '761', '167', '526']
['738', '182', '603', '807']
['288', '774', '573', '188']
['716', '172', '638', '420']
['403', '423', '406', '412']
['134', '726', '285', '10']
['610', '303', '307', '735']
['263', '625', '628', '675']
['74', '265', '781', '663']
['126', '441', '518', '23']
['236', '799', '278', '68']
['572', '350', '383', '538']
['450', '70', '794', '103']
['373', '233', '142', '280']
['292', '64', '241', '725']
['369', '720', '15', '452']
['375', '490', '353', '492']
['567', '486', '488', '238']
['329', '376', '234', '364']
['657', '273', '333', '54']
['583', '295', '784', '618']
['697', '257', '730', '752']
['598', '59', '696', '258']
['718', '235', '691', '405']
['283', '553', '743', '169']
['334', '45', '293', '519']
['409', '168', '256', '180']
['108', '86', '579', '21']
['170', '432', '626', '77']
['320', '196', '119', '80']
['760', '296', '111', '153']
['173', '505', '600', '791']
['399', '555', '627', '580']
['453', '90', '240', '785']
['117', '744', '695', '259']
['772', '557', '113', '214']
['513', '98', '65', '267']
['194', '623', '770', '755']
['629', '493', '650', '708']
['651', '560', '22', '110']
['501', '174', '692']
['581', '398', '754']
['643', '12', '8']
['559', '756', '667']
['102', '161', '107']
['121', '55', '797']
['464', '682', '574']
['261', '443', '732']
['673', '226', '310']
['711', '311', '521']
['746', '590', '769']
['637', '543', '419']
['549', '592', '489']
['272', '271', '133']
['813', '176', '204']
['474', '779', '202']
['806', '374', '468']
['189', '514', '607']
['787', '87', '612']
['144', '228', '199']
['25', '585', '46']
['355', '680', '556']
['699', '209', '201']
['694', '177', '435']
['38', '200', '20']
['91', '402', '363']
['132', '242', '431']
['566', '379', '516']
['212', '531', '400']
['780', '768', '156']
['404', '175', '335']
['171', '26', '671']
['546', '397', '815']
