['473', '716', '522', '291', '741']
['192', '852', '406', '203']
['159', '822', '610', '346']
['646', '638', '307', '811']
['74', '607', '175', '620']
['872', '518', '937', '208']
['889', '799', '393', '96']
['357', '232', '863', '343']
['681', '783', '759', '715']
['339', '107', '70', '633']
['659', '945', '794', '375']
['152', '849', '292', '231']
['629', '241', '523', '720']
['15', '939', '886', '541']
['285', '488', '508', '287']
['666', '376', '480', '687']
['786', '941', '784', '873']
['625', '598', '303', '740']
['312', '908', '491', '812']
['861', '283', '871', '366']
['533', '743', '334', '928']
['191', '148', '168', '256']
['544', '108', '178', '86']
['284', '579', '275', '170']
['851', '392', '602', '304']
['320', '890', '592', '119']
['62', '575', '149', '919']
['111', '282', '173', '600']
['630', '555', '888', '90']
['310', '744', '499', '176']
['877', '772', '31', '551']
['98', '456', '194', '69']
['358', '817', '451', '578']
['790', '859', '150', '560']
['22', '441', '174', '692']
['912', '236', '340', '430']
['183', '7', '361', '857']
['617', '265', '754', '700']
['28', '476', '688', '429']
['147', '763', '865', '585']
['756', '667', '102', '161']
['196', '121', '300', '362']
['819', '713', '749', '261']
['140', '732', '847', '921']
['221', '226', '414', '655']
['342', '521', '561', '590']
['911', '543', '747', '795']
['758', '489', '272', '246']
['658', '581', '552', '112']
['869', '424', '202', '670']
['806', '615', '332', '789']
['468', '189', '621', '613']
['830', '514', '509', '902']
['699', '87', '349', '10']
['450', '702', '739', '199']
['25', '748', '737', '897']
['186', '138', '802', '516']
['177', '953', '17', '38']
['120', '753', '20', '50']
['91', '947', '75', '165']
['823', '431', '39', '471']
['520', '717', '71', '416']
['400', '879', '534', '868']
['768', '559', '335', '401']
['672', '950', '171', '26']
['539', '718', '397', '815']
['831', '382', '810', '542']
['832', '496', '34', '497']
['705', '144', '898', '55']
['594', '16', '650', '760']
['72', '634', '814', '742']
['213', '712', '237', '314']
['290', '433', '352', '678']
['394', '229', '33', '510']
['49', '866', '808', '660']
['389', '631', '223', '665']
['205', '239', '115', '884']
['268', '501', '564', '437']
['752', '683', '649', '37']
['801', '946', '793', '733']
['708', '648', '710', '347']
['738', '498', '605', '563']
['457', '206', '169', '30']
['827', '519', '427', '396']
['83', '624', '736', '787']
['448', '266', '469', '609']
['850', '757', '656', '316']
['417', '824', '157', '944']
['776', '18', '639', '418']
['701', '636', '299', '816']
['461', '41', '379', '706']
['893', '719', '425', '910']
['371', '642', '826', '211']
['900', '766', '197', '503']
['243', '146', '415', '875']
['595', '356', '923', '935']
['386', '52', '166', '751']
['954', '313', '821', '530']
['439', '653', '512', '354']
['765', '36', '137', '105']
['905', '936', '881', '64']
['601', '576', '351', '918']
['92', '195', '323', '88']
['368', '244', '224', '315']
['661', '853', '574', '903']
['750', '188', '619', '428']
['587', '612', '3', '675']
['209', '23', '445', '528']
['68', '66', '279', '538']
['103', '217', '280', '154']
['870', '535', '933', '364']
['54', '618', '482', '95']
['547', '258', '500', '800']
['828', '780', '336', '553']
['180', '21', '77', '80']
['162', '798', '125', '775']
['580', '677', '48', '761']
['167', '663', '785', '259']
['214', '110', '603', '755']
['774', '791', '267', '254']
['172', '321', '647', '846']
['891', '527', '825', '141']
['11', '306', '407', '588']
['571', '597', '669', '0']
['904', '567', '486', '577']
['338', '722', '494', '454']
