['473', '404', '987', '134', '159']
['593', '522', '82', '56', '530']
['518', '451', '66', '278', '967']
['681', '963', '347', '606', '715']
['966', '450', '407', '145', '882']
['369', '588', '814', '322', '571']
['862', '5', '165', '290', '15']
['433', '886', '229', '541', '2']
['49', '866', '427', '666', '540']
['99', '784', '504', '730', '999']
['9', '155', '6', '885', '491']
['546', '551', '27', '793', '59']
['293', '960', '710', '256', '544']
['178', '86', '597', '579', '563']
['411', '910', '392', '837', '745']
['626', '320', '447', '855', '919']
['69', '790', '505', '448', '266']
['426', '300', '609', '654', '591']
['744', '552', '205', '507', '601']
['957', '776', '513', '18', '690']
['416', '623', '367', '751', '634']
['408', '560', '22', '762', '893']
['914', '398', '728', '255', '734']
['643', '996', '569', '896', '415']
['881', '139', '796', '264', '422']
['880', '821', '35', '297', '84']
['713', '294', '625', '137', '443']
['462', '21', '595', '847', '318']
['221', '843', '586', '218', '428']
['549', '368', '981', '250', '693']
['977', '984', '574', '81', '188']
['993', '587', '924', '10', '615']
['332', '209', '468', '412', '445']
['520', '679', '279', '787', '87']
['832', '25', '589', '770', '307']
['752', '483', '804', '378', '519']
['802', '983', '380', '200', '162']
['20', '798', '91', '363', '775']
['580', '954', '576', '374', '761']
['420', '663', '298', '259', '71']
['531', '288', '247', '887', '254']
['716', '638', '335', '410', '845']
['822', '707', '644', '815', '844']
['542', '496', '937', '994', '236']
['799', '143', '55', '350', '783']
['228', '932', '79', '485', '306']
['203', '70', '277', '502', '742']
['241', '748', '225', '669', '352']
['904', '567', '894', '376', '665']
['817', '454', '687', '878', '818']
['372', '275', '598', '834', '312']
['858', '160', '313', '283', '933']
['985', '45', '471', '249', '711']
['920', '108', '926', '284', '890']
['365', '432', '457', '304', '575']
['964', '149', '827', '736', '974']
['324', '888', '310', '854', '176']
['877', '456', '639', '358', '171']
['723', '747', '816', '651', '150']
['394', '649', '912', '889', '340']
['622', '971', '328', '676', '319']
['873', '132', '366', '390', '124']
['12', '498', '8', '992', '52']
['106', '978', '362', '317', '198']
['512', '749', '582', '765', '261']
['921', '301', '537', '521', '769']
['469', '141', '244', '596', '272']
['133', '658', '581', '554', '135']
['807', '869', '186', '449', '789']
['830', '68', '509', '470', '905']
['959', '585', '364', '169', '23']
['120', '864', '242', '823', '39']
['214', '756', '791', '172', '291']
['89', '192', '109', '646', '397']
['465', '48', '382', '781', '497']
['467', '308', '652', '479', '348']
['199', '841', '76', '220', '475']
['237', '314', '939', '508', '660']
['389', '722', '480', '786', '295']
['991', '257', '303', '696', '917']
['812', '668', '961', '874', '345']
['801', '191', '958', '96', '831']
['689', '642', '577', '334', '210']
['119', '846', '997', '282', '173']
['600', '995', '757', '487', '670']
['31', '98', '493', '339', '962']
['727', '990', '883', '197', '243']
['163', '147', '558', '923', '463']
['550', '439', '354', '943', '863']
['105', '956', '116', '333', '351']
['951', '185', '179', '125', '341']
['604', '88', '934', '315', '395']
['359', '853', '612', '731', '968']
['902', '481', '616', '739', '674']
['535', '270', '355', '618', '556']
['258', '738', '828', '60', '980']
['302', '77', '129', '80', '142']
['146', '182', '988', '529', '514']
['717', '268', '774', '403', '714']
['539', '265', '836', '97', '208']
['114', '357', '107', '572', '338']
['11', '650', '913', '421', '953']
['945', '782', '741', '720', '458']
['486', '13', '973', '326', '33']
['645', '743', '928', '67', '515']
['979', '527', '128', '605', '276']
['329', '206', '848', '44', '975']
['262', '555', '867', '157', '441']
['396', '446', '856', '909', '373']
['384', '972', '719', '246', '688']
['631', '763', '1', '316', '19']
['440', '3', '140', '709', '215']
['732', '287', '431', '655', '51']
['746', '590', '151', '271', '876']
['524', '935', '474', '184', '248']
['436', '621', '538', '438', '144']
['238', '737', '223', '884', '95']
['180', '177', '113', '75', '566']
['516', '573', '768', '852', '559']
['767', '620', '73', '705', '58']
['207', '753', '704', '608', '594']
['562', '460', '202', '941', '115']
['697', '724', '235', '861', '553']
['648', '683', '190', '607', '222']
['0', '399', '40', '944', '32']
['636', '305', '859', '379', '777']
['754', '61', '386', '166', '321']
['78', '970', '453', '311', '592']
['561', '667', '224', '387', '839']
['640', '526', '130', '903', '721']
['806', '452', '136', '610', '897']
['700', '533', '632', '677', '167']
['755', '104', '164', '175', '444']
['285', '671', '891', '629', '949']
['393', '43', '965', '895', '127']
['103', '659', '219', '402', '292']
['599', '289', '353', '808', '118']
['494', '216', '740', '37', '477']
['899', '570', '325', '989', '792']
['820', '548', '637', '90', '969']
['414', '557', '568', '327', '299']
['63', '174', '476', '857', '661']
['442', '906', '47', '819', '797']
['929', '865', '64', '673', '829']
['226', '948', '940', '795', '385']
['517', '998', '121', '930', '699']
['672', '472', '726', '54', '482']
['694', '435', '50', '840', '528']
['423', '950', '647', '986', '131']
['34', '343', '138', '510', '239']
['101', '564', '381', '437', '946']
['927', '227', '231', '273', '170']
['30', '62', '760', '111', '624']
['274', '85', '499', '695', '417']
['41', '495', '771', '860', '7']
['371', '617', '503', '532', '875']
['635', '102', '778', '545', '204']
['779', '484', '459', '349', '492']
['805', '46', '405', '785', '212']
['388', '181', '57', '811', '413']
['759', '478', '511', '72', '523']
['331', '424', '234', '870', '698']
['915', '252', '323', '809', '627']
['900', '401', '245', '336', '764']
['429', '464', '662', '187', '253']
['691', '706', '158', '251', '725']
['871', '344', '356', '938', '879']
['708', '406', '26', '370', '409']
['126', '872', '630', '196', '360']
['233', '849', '29', '377', '908']
['168', '296', '788', '565', '461']
['614', '936', '281', '342', '543']
['193', '800', '38', '780', '803']
['346', '701', '718', '628', '65']
['898', '232', '633', '122', '466']
['501', '337', '506', '824', '955']
['766', '28', '286', '161', '383']
['603', '851', '611', '907', '17']
['400', '156', '685', '810', '4']
['578', '712', '375', '488', '94']
['916', '148', '330', '100', '868']
['53', '117', '195', '419', '664']
['189', '686', '269', '547', '201']
['925', '947', '952', '892', '703']
['794', '152', '42', '684', '826']
['391', '850', '490', '455', '425']
['183', '211', '729', '74', '918']
['112', '675', '500', '584', '773']
['842', '153', '534', '825', '583']
['602', '733', '656', '772', '931']
['217', '267', '263', '838', '16']
['154', '901', '194', '24', '361']
['835', '123', '92', '418', '110']
['911', '430', '758', '36', '702']
['489', '750', '680', '536', '653']
['83', '14', '230', '213', '833']
['240', '280', '982', '942', '813']
['619', '260', '93', '657', '434']
['735', '692', '525', '613', '641']
['976', '922', '682', '309', '678']
