['473', '164', '538', '675']
['388', '410', '285', '38']
['610', '346', '671', '168']
['303', '330', '628', '655']
['265', '126', '518', '363']
['65', '66', '43', '358']
['278', '360', '343', '402']
['759', '79', '606', '398']
['751', '450', '138', '361']
['76', '659', '794', '465']
['461', '231', '782', '368']
['241', '290', '15', '467']
['669', '375', '678', '186']
['229', '33', '486', '737']
['510', '552', '109', '837']
['42', '684', '480', '609']
['273', '539', '826', '797']
['697', '564', '391', '499']
['381', '740', '353', '190']
['160', '37', '366', '230']
['793', '533', '67', '775']
['708', '148', '227', '469']
['409', '844', '284', '418']
['365', '59', '474', '649']
['123', '827', '282', '316']
['694', '769', '426', '813']
['324', '487', '269', '798']
['40', '506', '417', '228']
['557', '615', '490', '73']
['513', '568', '327', '639']
['623', '32', '816', '565']
['651', '150', '379', '264']
['777', '617', '734', '102']
['643', '569', '124', '621']
['835', '525', '8', '680']
['193', '440', '52', '357']
['140', '554', '691', '523']
['317', '821', '464', '743']
['494', '297', '713', '392']
['294', '74', '137', '95']
['443', '732', '601', '78']
['788', '724', '92', '586']
['459', '711', '311', '179']
['51', '341', '604', '280']
['187', '747', '489', '823']
['272', '271', '839', '613']
['359', '581', '614', '640']
['204', '807', '479', '165']
['619', '167', '690', '585']
['158', '421', '735', '576']
['449', '789', '412', '726']
['139', '830', '787', '352']
['103', '217', '422', '774']
['144', '805', '81', '460']
['712', '238', '307', '362']
['270', '618', '556', '155']
['752', '611', '483', '71']
['738', '700', '511', '91']
['776', '177', '380', '232']
['200', '145', '20', '213']
['132', '242', '400', '555']
['420', '298', '259', '286']
['214', '529', '603', '335']
['247', '755', '756', '658']
['768', '254', '171', '448']
['638', '559', '716', '534']
['699', '406', '650', '665']
['634', '394', '26', '492']
['762', '692', '114', '683']
['263', '622', '620', '172']
['520', '542', '131', '135']
['496', '629', '442']
['455', '497', '58']
['413', '305', '825']
['350', '339', '348']
['635', '107', '466']
['753', '761', '386']
['814', '685', '292']
['105', '599', '369']
['562', '289', '540']
['437', '364', '567']
['515', '488', '508']
['427', '637', '543']
['309', '687', '245']
['596', '693', '395']
['550', '730', '313']
['46', '612', '27']
['332', '645', '68']
['811', '698', '745']
['10', '832', '710']
['128', '199', '589']
['146', '447', '577']
['118', '482', '792']
['90', '334', '209']
['800', '201', '30']
['385', '149', '820']
['548', '111', '41']
['600', '266', '223']
['399', '113', '702']
['153', '314', '507']
['255', '31', '268']
['679', '216', '803']
['573', '251', '522']
['404', '291', '89']
['403', '116', '593']
['672', '438', '736']
['646', '546', '397']
['56', '781', '810']
['396', '630', '97']
['705', '55', '14']
['524', '484', '383']
['127', '407', '704']
['470', '720', '24']
['458', '13', '338']
['706', '411', '841']
['818', '771', '784']
['351', '647', '9']
['703', '812', '668']
['60', '804', '207']
['108', '178', '597']
['329', '275', '170']
['169', '575', '519']
['760', '389', '69']
['274', '173', '505']
['809', '300', '757']
['53', '117', '176']
['772', '83', '766']
['551', '446', '215']
['194', '624', '701']
['786', '727', '63']
['631', '93', '183']
['7', '754', '532']
['504', '1', '558']
['667', '729', '321']
['653', '641', '261']
['462', '662', '287']
['833', '301', '221']
['342', '195', '419']
['549', '244', '758']
['661', '517', '526']
['750', '19', '428']
['664', '801', '806']
['509', '279', '481']
['349', '452', '652']
['535', '25', '54']
['405', '252', '632']
['802', '842', '435']
['39', '663', '785']
['182', '378', '192']
['156', '401', '367']
['299', '181', '154']
['719', '831', '48']
['328', '477', '723']
['838', '374', '28']
['236', '390', '50']
['104', '709', '594']
['731', '166', '819']
['598', '588', '219']
['582', '36', '198']
['136', '22', '225']
['250', '226', '537']
['822', '125', '495']
['304', '94', '224']
['99', '133', '101']
['574', '174', '6']
['202', '189', '587']
['17', '206', '45']
['191', '739', '86']
['605', '579', '326']
['320', '210', '770']
['77', '80', '566']
['627', '654', '714']
['100', '85', '840']
['580', '4', '88']
['636', '423', '572']
['493', '644', '767']
['444', '439', '370']
['340', '382', '642']
['122', '319', '503']
['434', '208', '393']
['688', '608', '121']
['478', '512', '233']
['625', '408', '308']
['591', '5', '674']
['527', '829', '843']
['184', '616', '746']
['590', '205', '151']
['583', '257', '686']
['302', '429', '468']
['733', '648', '87']
['815', '347', '485']
['29', '748', '276']
['262', '355', '432']
['547', '602', '323']
['584', '180', '836']
['453', '744', '62']
['416', '159', '61']
['384', '424', '707']
['337', '239', '457']
['796', '431', '377']
['35', '682', '84']
['373', '354', '765']
['741', '64', '333']
['545', '541', '2']
['218', '696', '536']
['120', '795', '112']
['161', '718', '500']
['445', '471', '436']
['570', '595', '256']
['544', '249', '626']
['21', '790', '283']
['530', '356', '656']
['175', '799', '681']
['715', '306', '152']
['571', '220', '49']
['376', '491', '211']
['96', '281', '222']
['240', '44', '23']
['0', '157', '657']
['456', '451', '430']
['728', '764', '197']
['243', '476', '196']
['234', '315', '130']
['779', '721', '260']
['248', '607', '106']
['725', '258', '288']
['344', '129', '162']
['677', '717', '212']
['531', '780', '791']
['253', '778', '371']
['441', '34', '415']
['763', '141', '3']
['277', '742', '521']
['142', '673', '660']
['185', '592', '454']
['387', '11', '834']
['75', '553', '296']
['749', '310', '695']
['824', '267', '18']
['110', '203', '676']
['578', '817', '16']
['72', '502', '475']
['561', '722', '188']
['472', '516', '689']
['498', '312', '828']
['345', '670', '560']
['336', '425', '143']
['463', '57', '134']
['70', '528', '119']
['12', '318', '633']
['331', '563', '372']
['235', '293', '325']
['773', '514', '666']
['98', '82', '295']
['163', '147', '783']
['808', '322', '237']
['414', '47', '433']
['115', '246', '501']
