['473', '842', '572', '165', '987', '349', '182', '406', '806', '774', '254', '130', '660', '955', '487', '474', '211', '34', '281', '726', '522', '365', '732', '143', '475', '858', '718', '75', '881', '192', '951', '968']
['259', '119', '739', '387', '963', '378', '444', '28', '937', '716', '727', '690', '38', '80', '236', '801', '366', '399', '316', '104', '332', '956', '102', '257', '124', '197', '42', '511', '574', '410', '970', '883']
['115', '379', '583', '810', '990', '355', '144', '889', '767', '170', '154', '602', '942', '216', '900', '506', '930', '86', '822', '680', '247', '452', '61', '776', '838', '538', '924', '419', '346', '361', '686', '652']
['111', '131', '894', '886', '664', '203', '798', '647', '949', '78', '557', '5', '437', '188', '962', '426', '159', '638', '667', '351', '69', '427', '649', '173', '477', '448', '957', '370', '449', '96', '242', '462']
['901', '389', '709', '498', '494', '584', '811', '356', '627', '541', '922', '179', '451', '341', '279', '643', '330', '326', '661', '432', '914', '447', '768', '600', '911', '66', '56', '169', '161', '483', '814', '695']
['246', '744', '853', '748', '550', '986', '382', '554', '31', '414', '681', '512', '253', '795', '964', '891', '906', '725', '385', '196', '969', '310', '751', '612', '205', '855', '832', '44', '634', '372', '604', '820']
['828', '765', '755', '651', '97', '624', '177', '22', '125', '1', '145', '796', '531', '208', '772', '834', '752', '596', '3', '636', '804', '318', '913', '455', '599', '971', '941', '976', '55', '912', '397', '694']
['146', '526', '393', '325', '58', '591', '488', '314', '160', '43', '287', '735', '350', '567', '155', '293', '529', '528', '101', '764', '571', '221', '357', '324', '653', '740', '864', '491', '164', '759', '812', '979']
['223', '360', '275', '185', '548', '163', '369', '471', '284', '317', '998', '343', '496', '750', '392', '693', '952', '835', '598', '870', '495', '336', '783', '368', '524', '227', '45', '482', '68', '861', '18']
['10', '347', '760', '109', '319', '929', '669', '189', '585', '532', '610', '141', '705', '371', '623', '535', '186', '478', '98', '974', '961', '11', '312', '89', '771', '315', '766', '539', '339', '691', '702']
['715', '799', '546', '383', '127', '630', '47', '658', '813', '466', '777', '453', '228', '231', '134', '123', '564', '918', '753', '549', '6', '121', '338', '791', '829', '136', '909', '933', '588', '298', '920']
['935', '836', '337', '700', '639', '420', '408', '152', '843', '743', '788', '37', '662', '9', '977', '593', '877', '849', '354', '981', '429', '993', '57', '665', '677', '238', '805', '594', '789', '934', '975']
['147', '734', '916', '376', '201', '545', '642', '133', '747', '869', '619', '135', '562', '263', '844', '105', '225', '555', '459', '794', '289', '898', '673', '708', '757', '904', '701', '415', '70', '288', '865']
['873', '243', '570', '266', '285', '580', '149', '553', '489', '268', '589', '176', '931', '809', '989', '261', '756', '386', '939', '234', '943', '417', '824', '892', '13', '460', '241', '328', '256', '592', '626']
['746', '373', '566', '678', '666', '73', '171', '988', '450', '688', '611', '412', '292', '945', '782', '722', '88', '117', '140', '49', '544', '954', '656', '423', '959', '40', '480', '940', '758', '703', '52']
['839', '803', '36', '39', '454', '21', '687', '413', '910', '139', '229', '418', '51', '374', '741', '168', '706', '784', '613', '854', '433', '484', '841', '850', '608', '520', '821', '191', '946', '464', '860']
['260', '54', '826', '807', '907', '218', '64', '797', '307', '540', '377', '625', '391', '113', '515', '126', '736', '707', '840', '787', '856', '303', '398', '79', '710', '927', '762', '749', '967', '561', '439']
['908', '932', '396', '206', '671', '112', '27', '162', '114', '157', '917', '265', '781', '468', '304', '576', '712', '605', '103', '35', '486', '645', '264', '445', '720', '502', '616', '153', '405', '505', '194']
['345', '560', '867', '403', '745', '775', '819', '463', '461', '899', '334', '202', '525', '48', '99', '17', '737', '72', '249', '973', '936', '499', '255', '67', '848', '637', '997', '286', '960', '646', '786']
['132', '674', '344', '269', '504', '517', '301', '128', '209', '724', '503', '628', '107', '441', '195', '262', '90', '607', '7', '94', '327', '84', '878', '91', '698', '388', '815', '178', '24', '248', '59']
['875', '424', '965', '282', '921', '252', '926', '394', '876', '731', '485', '879', '232', '364', '302', '184', '23', '278', '222', '578', '311', '20', '76', '537', '156', '793', '925', '166', '422', '831', '431']
['699', '402', '430', '868', '742', '16', '277', '723', '654', '733', '518', '323', '199', '890', '618', '948', '235', '509', '148', '0', '577', '996', '893', '62', '300', '923', '2', '237', '508', '785', '308']
['730', '321', '575', '204', '683', '190', '887', '880', '210', '158', '425', '582', '416', '769', '761', '479', '692', '271', '714', '659', '409', '672', '214', '888', '551', '95', '972', '827', '779', '978', '966']
['442', '845', '296', '273', '717', '267', '93', '106', '25', '120', '579', '180', '614', '291', '428', '490', '4', '85', '773', '650', '434', '897', '601', '476', '239', '817', '866', '719', '29', '8', '213']
