['473', '245', '224', '342', '104', '412', '481', '254', '675', '468', '144', '535', '45', '363', '81', '18', '406', '416', '522', '556', '613', '491', '310', '252']
['50', '157', '192', '204', '683', '422', '677', '176', '338', '272', '53', '410', '216', '444', '115', '48', '206', '574', '346', '361', '470', '379', '639', '283']
['661', '647', '6', '214', '100', '691', '42', '638', '447', '453', '486', '694', '370', '172', '611', '676', '260', '314', '330', '150', '63', '380', '632', '657']
['316', '56', '306', '147', '697', '698', '420', '189', '334', '443', '116', '225', '673', '25', '235', '97', '644', '569', '403', '658', '30', '14', '208', '121']
['186', '177', '196', '455', '636', '319', '540', '587', '243', '526', '393', '686', '573', '615', '143', '601', '499', '357', '13', '323', '578', '467', '585', '65']
['308', '483', '441', '320', '343', '407', '28', '597', '388', '570', '681', '292', '460', '75', '291', '62', '347', '173', '333', '15', '141', '259', '475', '385']
['106', '327', '139', '524', '605', '132', '603', '274', '477', '695', '203', '297', '433', '546', '129', '119', '633', '299', '463', '617', '302', '188', '635', '218']
['493', '396', '659', '606', '1', '530', '304', '3', '588', '242', '233', '85', '76', '366', '152', '209', '64', '40', '159', '465', '571', '198', '93', '29']
['367', '414', '47', '462', '600', '231', '627', '498', '650', '492', '594', '358', '24', '488', '195', '523', '427', '610', '17', '92', '653', '529', '36', '95']
['579', '90', '669', '83', '315', '269', '284', '10', '541', '688', '295', '247', '133', '331', '667', '423', '142', '390', '257', '131', '660', '375', '61', '341']
['191', '616', '328', '544', '301', '8', '666', '151', '4', '117', '604', '451', '178', '494', '276', '652', '480', '599', '285', '49', '160', '551', '424']
['136', '353', '454', '88', '217', '376', '411', '469', '612', '9', '622', '223', '99', '230', '69', '344', '251', '472', '270', '377', '449', '696', '591']
['305', '538', '213', '391', '298', '241', '232', '187', '148', '303', '490', '311', '408', '637', '32', '592', '349', '457', '202', '210', '80', '561', '558']
['662', '634', '607', '549', '215', '27', '220', '174', '619', '234', '645', '395', '67', '439', '345', '181', '84', '282', '197', '593', '38', '128', '161']
['350', '266', '332', '108', '228', '154', '171', '293', '692', '238', '113', '199', '461', '184', '394', '452', '275', '572', '665', '628', '563', '620', '78']
['43', '623', '250', '118', '392', '400', '602', '163', '474', '553', '413', '670', '46', '554', '149', '96', '39', '383', '496', '162', '629', '575', '618']
['222', '584', '0', '381', '74', '66', '278', '112', '374', '211', '519', '91', '145', '226', '654', '514', '33', '649', '382', '326', '175', '337', '534']
['307', '506', '689', '586', '435', '271', '102', '313', '120', '317', '552', '682', '476', '609', '547', '288', '415', '166', '565', '501', '73', '182', '387']
['478', '456', '135', '185', '386', '267', '207', '71', '548', '318', '446', '531', '425', '398', '459', '2', '134', '359', '355', '339', '495', '244', '431']
['511', '671', '249', '621', '57', '430', '26', '352', '183', '518', '22', '7', '368', '590', '54', '179', '21', '246', '646', '567', '55', '35', '429']
['679', '167', '562', '125', '656', '440', '568', '190', '550', '466', '140', '521', '336', '201', '158', '417', '513', '221', '289', '212', '397', '510', '335']
['123', '458', '583', '542', '685', '614', '409', '77', '484', '360', '280', '598', '581', '693', '651', '555', '325', '60', '545', '354', '82', '321', '255']
['640', '655', '122', '445', '165', '258', '268', '500', '51', '576', '678', '87', '19', '426', '309', '537', '560', '219', '648', '138', '340', '11', '37']
['239', '582', '525', '130', '156', '322', '664', '566', '608', '372', '690', '442', '356', '240', '16', '261', '68', '418', '248', '41', '437', '362', '536']
['124', '505', '20', '94', '672', '596', '438', '489', '329', '674', '512', '348', '31', '34', '205', '516', '378', '517', '533', '419', '528', '559', '70']
['146', '508', '448', '624', '402', '580', '404', '127', '373', '520', '507', '273', '253', '577', '509', '164', '421', '281', '539', '287', '111', '405', '227']
['485', '126', '109', '663', '262', '450', '237', '641', '114', '296', '436', '312', '59', '72', '277', '137', '23', '98', '5', '103', '236', '557', '265']
['630', '290', '399', '595', '515', '107', '300', '294', '504', '389', '497', '625', '264', '168', '464', '401', '170', '200', '564', '155', '89', '110', '428']
['365', '194', '44', '527', '471', '79', '503', '105', '229', '642', '324', '364', '668', '543', '263', '643', '487', '626', '12', '384', '631', '371', '153']
['532', '351', '684', '101', '286', '680', '432', '369', '434', '482', '502', '58', '479', '193', '256', '169', '279', '589', '180', '86', '687', '699', '52']
