['a117', 'a112', 'a183', 'a180', 'a181', 'a189', 'a60', 'a67', 'a124', 'a127']
['a123', 'a126', 'a12', 'a19', 'a198', 'a220', 'a222', 'a242', 'a243', 'a249']
['a248', 'a122', 'a85', 'a65', 'a83', 'a174', 'a177', 'a172', 'a209', 'a203']
['a1', 'a7', 'a125', 'a129', 'a47', 'a41', 'a49', 'a44', 'a176', 'a178']
['a175', 'a9', 'a6', 'a5', 'a116', 'a115', 'a110', 'a118', 'a29', 'a25']
['a28', 'a22', 'a26', 'a42', 'a43', 'a40', 'a160', 'a164', 'a165', 'a219']
['a214', 'a246', 'a241', 'a228', 'a229', 'a63', 'a69', 'a240', 'a151', 'a156']
['a157', 'a15', 'a11', 'a185', 'a182', 'a188', 'a187', 'a0', 'a186', 'a218']
['a216', 'a210', 'a146', 'a140', 'a141', 'a195', 'a199', 'a159', 'a152', 'a62']
['a196', 'a98', 'a18', 'a92', 'a207', 'a236', 'a232', 'a34', 'a37', 'a35']
['a38', 'a139', 'a132', 'a134', 'a133', 'a36', 'a32', 'a17', 'a14', 'a86']
['a206', 'a130', 'a88', 'a194', 'a205', 'a168', 'a161', 'a169', 'a100', 'a108']
['a106', 'a109', 'a103', 'a145', 'a148', 'a158', 'a150', 'a166', 'a120', 'a155']
['a119', 'a114', 'a111', 'a75', 'a73', 'a20', 'a107', 'a193', 'a190', 'a80']
['a84', 'a87', 'a74', 'a78', 'a70', 'a95', 'a72', 'a71', 'a163', 'a50']
['a57', 'a56', 'a54', 'a2', 'a8', 'a24', 'a27', 'a204', 'a201', 'a16']
['a10', 'a13', 'a61', 'a68', 'a23', 'a93', 'a91', 'a99', 'a90', 'a66']
['a167', 'a48', 'a128', 'a94', 'a39', 'a4', 'a55', 'a51', 'a138', 'a225']
['a226', 'a224', 'a171', 'a173', 'a170', 'a149', 'a147', 'a233', 'a239', 'a135']
['a104', 'a105', 'a208', 'a144', 'a215', 'a97', 'a143', 'a200', 'a213', 'a33']
['a30', 'a231', 'a77', 'a81', 'a96', 'a202', 'a89', 'a82', 'a212', 'a52']
['a59', 'a131', 'a227', 'a211', 'a234', 'a230', 'a76', 'a191', 'a197', 'a192']
['a154', 'a64', 'a238', 'a235', 'a221', 'a247', 'a58', 'a31', 'a244', 'a245']
['a179', 'a184', 'a223', 'a3', 'a113', 'a237', 'a21', 'a162', 'a46', 'a45']
['a121', 'a137', 'a153', 'a101', 'a136', 'a102', 'a142', 'a79', 'a53', 'a217']
