['358', '254', '320', '198', '287', '335', '194', '339', '225', '35', '296']
['52', '289', '105', '366', '24', '93', '385', '232', '123', '323']
['187', '307', '318', '12', '62', '168', '279', '278', '180', '36']
['328', '390', '324', '241', '351', '124', '165', '255', '382', '210']
['81', '63', '43', '309', '3', '280', '213', '189', '22', '193']
['92', '83', '142', '353', '149', '140', '263', '342', '364', '222']
['17', '98', '375', '308', '381', '28', '175', '322', '133', '117']
['101', '115', '393', '300', '286', '249', '330', '268', '231', '294']
['304', '134', '53', '1', '64', '345', '178', '69', '212', '315']
['302', '179', '321', '167', '181', '365', '146', '311', '325', '281']
['21', '257', '219', '15', '239', '7', '271', '8', '301', '288']
['303', '26', '220', '86', '384', '284', '151', '361', '89', '171']
['264', '148', '46', '266', '387', '344', '298', '252', '245', '118']
['177', '394', '396', '285', '230', '33', '141', '49', '228', '269']
['250', '356', '99', '31', '195', '79', '355', '370', '354', '38']
['290', '55', '56', '100', '267', '201', '242', '206', '295', '23']
['319', '246', '352', '200', '341', '91', '128', '214', '383', '19']
['273', '169', '182', '197', '314', '233', '299', '221', '58', '158']
['378', '196', '343', '104', '150', '362', '350', '2', '109', '164']
['47', '40', '216', '192', '108', '27', '312', '60', '244', '85']
['95', '18', '75', '30', '248', '243', '262', '184', '13', '202']
['66', '68', '84', '94', '135', '45', '174', '218', '87', '97']
['227', '130', '190', '247', '293', '157', '176', '32', '29', '37']
['346', '102', '256', '372', '211', '44', '127', '347', '132', '272']
['235', '337', '274', '50', '253', '388', '205', '331', '96', '398']
['326', '172', '236', '260', '282', '111', '240', '332', '65', '6']
['291', '215', '357', '131', '154', '155', '349', '207', '277', '373']
['316', '395', '258', '103', '162', '292', '380', '203', '147', '317']
['57', '39', '369', '78', '170', '305', '208', '72', '54', '153']
['265', '114', '110', '163', '363', '80', '143', '144', '10', '199']
['9', '77', '42', '251', '73', '82', '112', '48', '392', '234']
['238', '119', '379', '5', '159', '183', '185', '136', '14', '333']
['41', '338', '129', '371', '160', '161', '34', '20', '4', '126']
['125', '186', '90', '76', '377', '166', '121', '270', '113', '229']
['313', '67', '217', '389', '139', '173', '276', '74', '237', '224']
['145', '327', '70', '329', '283', '16', '261', '25', '0', '137']
['51', '259', '368', '188', '374', '223', '226', '156', '386', '397']
['61', '59', '359', '107', '122', '275', '391', '297', '367', '191']
['340', '106', '360', '336', '400', '209', '376', '204', '306', '116']
['138', '348', '11', '152', '88', '71', '120', '334', '310', '399']
