['422', '426', '180']
['298', '58', '311']
['173', '115', '435']
['257', '103', '204']
['201', '105', '383']
['322', '22', '214']
['184', '246', '51']
['161', '367', '166']
['233', '469', '484']
['466', '443', '21']
['343', '155', '138']
['160', '320', '328']
['291', '117', '373']
['455', '157', '259']
['324', '72', '96']
['190', '408', '90']
['442', '477', '65']
['474', '487', '392']
['235', '282', '131']
['139', '203', '147']
['118', '349', '239']
['174', '470', '400']
['361', '141', '228']
['339', '399', '357']
['110', '186', '170']
['289', '172', '276']
['31', '358', '142']
['182', '305', '362']
['153', '283', '109']
['42', '151', '394']
['195', '250', '402']
['321', '232', '471']
['352', '143', '313']
['279', '485', '82']
['486', '13', '123']
['281', '452', '27']
['274', '420', '341']
['95', '71', '449']
['482', '93', '70']
['447', '247', '108']
['332', '331', '41']
['302', '185', '319']
['134', '171', '412']
['145', '275', '92']
['43', '74', '8']
['436', '478', '290']
['280', '80', '430']
['47', '351', '375']
['304', '238', '178']
['407', '254', '300']
['244', '106', '475']
['198', '256', '3']
['273', '54', '59']
['368', '445', '227']
['192', '286', '293']
['278', '441', '285']
['169', '299', '251']
['213', '499', '323']
['458', '49', '277']
['6', '493', '97']
['224', '11', '46']
['211', '255', '483']
['25', '369', '265']
['40', '61', '303']
['23', '263', '55']
['353', '122', '329']
['52', '424', '248']
['5', '258', '98']
['496', '28', '132']
['438', '48', '133']
['292', '314', '87']
['57', '16', '20']
['220', '243', '262']
['56', '100', '363']
['342', '396']
['234', '284']
['417', '218']
['245', '488']
['215', '196']
['410', '309']
['14', '183']
['372', '393']
['384', '427']
['125', '168']
['359', '146']
['403', '371']
['64', '60']
['62', '344']
['404', '388']
['456', '67']
['236', '24']
['4', '68']
['381', '231']
['415', '409']
['75', '187']
['495', '348']
['316', '266']
['347', '66']
['405', '346']
['223', '385']
['177', '181']
['83', '69']
['162', '413']
['38', '296']
['423', '150']
['221', '390']
['237', '433']
['107', '164']
['267', '19']
['457', '419']
['124', '459']
['128', '382']
['2', '81']
['32', '175']
['327', '188']
['411', '468']
['194', '121']
['425', '111']
['30', '77']
['207', '217']
['421', '460']
['335', '261']
['222', '104']
['154', '297']
['229', '10']
['200', '241']
['377', '370']
['130', '444']
['7', '272']
['219', '364']
['84', '498']
['450', '391']
['167', '76']
['461', '148']
['260', '159']
['85', '336']
['490', '301']
['193', '432']
['212', '439']
['149', '230']
['312', '360']
['1', '365']
['73', '345']
['165', '374']
['454', '205']
['127', '137']
['252', '414']
['86', '350']
['35', '310']
['15', '112']
['389', '140']
['116', '202']
['497', '434']
['491', '209']
['36', '318']
['99', '307']
['176', '156']
['416', '240']
['29', '216']
['376', '88']
['418', '401']
['179', '492']
['264', '135']
['446', '26']
['429', '453']
['152', '0']
['295', '39']
['472', '326']
['44', '465']
['136', '17']
['440', '119']
['79', '271']
['437', '354']
['355', '53']
['334', '306']
['476', '94']
['337', '126']
['386', '308']
['287', '431']
['398', '481']
['89', '448']
['113', '197']
['333', '78']
['489', '120']
['210', '249']
['129', '268']
['395', '101']
['330', '387']
['63', '163']
['45', '144']
['428', '114']
['325', '379']
['33', '225']
['494', '462']
['397', '158']
['294', '317']
['473', '463']
['270', '102']
['34', '467']
['191', '479']
['208', '206']
['315', '356']
['338', '226']
['366', '480']
['189', '37']
['380', '269']
['18', '378']
['340', '199']
['451', '50']
['242', '9']
['406', '464']
['288', '12']
['91', '253']
