['u10', 'e3', 'u5', 'y6', 'u6', 'n9', 'b1', 'q2', 'b2', 'u1']
['h6', 'd3', 'd10', 'u9', 'c10', 'b6', 's1', 'h9', 'd2', 'c1']
['f7', 'j8', 'd7', 'm9', 'w2', 'f10', 'o3', 'g2', 'w5', 'n2']
['y4', 'l1', 's3', 'd1', 's9', 'p1', 'j1', 'k10', 'u7', 'y10']
['t7', 'm3', 'b7', 'b10', 'k3', 'l7', 'x3', 'h2', 'u4', 'i10']
['u2', 'l3', 'r6', 'g4', 'q7', 'g6', 'r3', 'a1', 'q6', 'd4']
['e8', 'x6', 'f9', 'b9', 'e1', 'x4', 'k2', 'y9', 'j3', 'f6']
['e7', 'h3', 'n5', 'w1', 'r1', 'k4', 'h5', 'c9', 'd6', 't5']
['s2', 't8', 'g10', 'o10', 't3', 'e4', 'w10', 'q8', 'e9', 'v3']
['p8', 'n6', 'u3', 'y1', 'q9', 'e10', 'i7', 'g7', 'v9', 'j4']
['e6', 'i9', 'f1', 'x2', 'l2', 'h4', 'f2', 'y8', 'f8', 'v6']
['l4', 'b4', 'j9', 'q5', 'a5', 'b3', 'g8', 'x10', 'e5', 'o9']
['c2', 'm4', 't2', 'y3', 'c5', 'f3', 'a6', 'i1', 's8', 'i3']
['v8', 'l10', 'h8', 'i2', 's5', 'v4', 'o8', 'q4', 'g3', 'a7']
['o1', 'n7', 'h1', 'm8', 'd9', 'c6', 'y7', 't9', 'c7', 'n10']
['y2', 'k1', 'r4', 'r8', 'r2', 'v5', 'v2', 'l8', 'o2', 'n4']
['p4', 'j6', 'j2', 'i8', 'a4', 'w6', 'p6', 'f4', 'g9', 'r10']
['t4', 't6', 'c3', 'c8', 'p10', 'c4', 'a3', 'h10', 'd5', 'a8']
['t1', 'q10', 'w4', 'q3', 'p5', 'b5', 'o4', 'f5', 'j7', 'l5']
['x7', 'l9', 'm10', 'x5', 'n3', 'v10', 'k7', 'k5', 'a2', 'k8']
['r9', 'p7', 'n1', 'p3', 'r5', 'e2', 'k9', 'b8', 'm2', 'w3']
['s4', 'y5', 'm7', 'o5', 'd8', 'q1', 'x9', 'm5', 's10', 'a9']
['g1', 'w8', 'i6', 'n8', 'x8', 'x1', 'k6', 'p9', 'a10', 'u8']
['v7', 's7', 't10', 'o6', 'r7', 'i4', 'j10', 'm1', 'v1', 'p2']
['i5', 'w9', 's6', 'h7', 'w7', 'm6', 'j5', 'g5', 'o7', 'l6']
