['204', '404', '358', '378', '405']
['283', '68', '332', '476', '212']
['65', '86', '84', '306', '6']
['39', '478', '53', '225', '233']
['80', '83', '304', '238', '459']
['254', '498', '363', '194', '420']
['0', '445', '105', '213', '8']
['285', '141', '289', '118', '386']
['435', '357', '37', '481', '159']
['444', '323', '197', '71', '268']
['255', '25', '61', '299', '165']
['248', '257', '5', '160', '438']
['495', '245', '419', '87', '48']
['311', '260', '493', '350', '95']
['243', '191', '232', '469', '417']
['140', '116', '472', '319', '463']
['271', '138', '400', '382', '120']
['282', '131', '74', '27', '147']
['236', '359', '317', '103', '442']
['399', '448', '172', '208', '401']
['76', '163', '411', '45', '124']
['229', '173', '179', '321', '31']
['75', '314', '161', '43', '129']
['240', '308', '12', '210', '483']
['35', '250', '1', '315', '429']
['407', '291', '340', '157', '471']
['139', '114', '79', '242', '174']
['19', '396', '92', '207', '477']
['185', '104', '360', '24', '403']
['4', '115', '272', '288', '226']
['496', '41', '28', '244', '486']
['22', '480', '380', '16', '113']
['342', '267', '451', '143', '273']
['430', '265', '497', '135', '183']
['251', '259', '307', '393', '426']
['287', '146', '46', '202', '34']
['59', '193', '60', '441', '492']
['73', '81', '331', '409', '55']
['347', '137', '280', '51', '362']
['352', '330', '96', '189', '10']
['324', '235', '391', '132', '97']
['276', '199', '102', '376', '452']
['211', '388', '456', '468', '370']
['9', '305', '122', '200', '258']
['353', '348', '49', '397', '392']
['414', '220', '467', '177', '375']
['195', '90', '3', '263', '428']
['70', '491', '221', '209', '219']
['296', '237', '355', '384', '433']
['395', '455', '436', '494', '449']
['249', '230', '394', '133', '297']
['381', '58', '171', '145', '316']
['294', '372', '356', '293', '274']
['446', '252', '151', '465', '17']
['408', '99', '169', '349', '371']
['29', '216', '239', '11', '312']
['373', '224', '21', '52', '345']
['333', '89', '18', '56', '69']
['162', '261', '461', '241', '379']
['390', '217', '156', '341', '470']
['192', '336', '300', '14', '479']
['295', '439', '149', '322', '447']
['47', '100', '298', '158', '101']
['354', '223', '121', '246', '38']
['30', '203', '277', '15', '20']
['431', '108', '406', '489', '2']
['387', '123', '201', '415', '369']
['424', '320', '50', '327', '166']
['270', '367', '234', '284', '40']
['215', '196', '72', '150', '337']
['142', '85', '155', '418', '26']
['227', '148', '167', '154', '368']
['93', '421', '106', '427', '484']
['385', '365', '136', '222', '187']
['205', '292', '109', '432', '152']
['488', '153', '326', '36', '188']
['279', '164', '412', '374', '338']
['402', '425', '33', '7', '127']
['186', '462', '466', '443', '198']
['253', '328', '318', '91', '44']
['458', '361', '389', '437', '454']
['125', '218', '54', '168', '309']
['64', '366', '335', '63', '231']
['440', '346', '473', '343', '286']
['228', '107', '499', '98', '398']
['339', '128', '206', '460', '178']
['182', '325', '413', '450', '42']
['126', '329', '303', '23', '416']
['13', '364', '256', '281', '290']
['485', '301', '214', '82', '32']
['144', '423', '278', '344', '464']
['310', '175', '266', '410', '457']
['110', '247', '117', '190', '313']
['269', '474', '66', '57', '181']
['176', '184', '422', '302', '77']
['112', '377', '119', '453', '111']
['134', '275', '475', '78', '434']
['264', '94', '67', '351', '490']
['487', '62', '130', '88', '180']
['262', '383', '170', '334', '482']
