['422', '419', '417', '423']
['431', '358', '353', '355']
['359', '367', '93', '81']
['89', '95', '88', '62']
['57', '63', '59', '71']
['124', '121', '85', '84']
['86', '83', '335', '326']
['334', '330', '333', '381']
['383', '376', '369', '377']
['231', '229', '222', '226']
['230', '212', '209', '179']
['182', '321', '325', '324']
['26', '31', '87', '266']
['271', '227', '225', '239']
['478', '473', '487', '475']
['479', '280', '285', '489']
['494', '492', '493', '210']
['215', '354', '295', '294']
['286', '293', '290', '352']
['357', '35', '38', '233']
['238', '237', '236', '245']
['250', '255', '315', '318']
['189', '184', '191', '185']
['177', '244', '241', '30']
['27', '39', '25', '202']
['207', '263', '261', '258']
['254', '262', '130', '135']
['190', '187', '199', '408']
['413', '242', '247', '235']
['476', '44', '41', '441']
['453', '446', '445', '444']
['118', '113', '127', '119']
['115', '451', '454', '339']
['342', '450', '455', '416']
['421', '19', '22', '435']
['438', '398', '407', '399']
['395', '393', '102', '111']
['99', '97', '103', '65']
['77', '68', '70', '69']
['131', '134', '198', '205']
['206', '234', '482', '203']
['201', '211', '214', '54']
['58', '61', '170', '175']
['312', '317', '123', '126']
['403', '406', '448', '449']
['365', '360', '361', '9']
['13', '14', '12', '21']
['73', '76', '78', '257']
['260', '269', '345', '350']
['348', '349', '5', '1']
['7', '0', '437', '425']
['433', '439', '432', '53']
['46', '45', '28', '37']
['33', '32', '114', '110']
['117', '125', '120', '178']
['183', '415', '401', '166']
['161', '167', '163', '34']
['94', '90', '243', '246']
['467', '470', '100', '232']
['64', '284', '281', '3']
['6', '249', '256', '140']
['137', '474', '311', '302']
['310', '309', '306', '150']
['147', '159', '145', '151']
['323', '327', '320', '313']
['379', '382', '129', '141']
['133', '132', '174', '181']
['251', '307', '139', '142']
['156', '153', '164', '410']
['287', '282', '278', '143']
['43', '47', '55', '264']
['411', '414', '336', '341']
['105', '107', '301', '289']
['296', '303', '297', '366']
['363', '375', '208', '213']
['405', '404', '149', '144']
['300', '48', '49', '224']
['217', '283', '429', '430']
['428', '331', '440', '2']
['197', '188', '477', '472']
['465', '15', '8', '314']
['319', '50', '485', '51']
['456', '461', '372', '463']
['458', '462', '471', '457']
['459', '447', '443', '96']
['101', '351', '346', '484']
['481', '424', '305', '308']
['154', '112', '340', '337']
['10', '218', '223', '79']
['74', '277', '265', '273']
['279', '272', '98', '194']
['216', '221', '427', '292']
['66', '29', '452', '387']
['390', '389', '391', '385']
['384', '4', '370', '136']
['16', '23', '17', '374']
['373', '328', '329', '371']
['495', '486', '490', '193']
['200', '138', '11', '483']
['220', '270', '267', '18']
['397', '388', '253', '248']
['469', '464', '91', '343']
['219', '418', '128', '322']
['20', '176', '412', '409']
['460', '316', '106', '109']
['442', '155', '158', '186']
['298', '275', '204', '434']
['400', '40', '356', '332']
['466', '173', '168', '169']
['380', '291', '148', '80']
['162', '165', '402', '160']
['157', '152', '362', '386']
['368', '192', '259', '108']
['344', '364', '268', '104']
['24', '56', '196', '122']
['52', '82', '228', '488']
['252', '60', '304', '180']
['116', '491', '67', '195']
['338', '436', '36', '347']
['480', '146', '92', '394']
['396', '426', '299', '171']
['75', '240', '274', '72']
['42', '288', '276', '468']
['378', '172', '420', '392']
