['463', '82', '245', '133', '145', '181', '199', '279', '313', '86', '38', '318', '332', '109', '443', '273', '383']
['330', '441', '346', '292', '416', '57', '12', '220', '391', '354', '132', '128', '150', '260', '285', '67', '190']
['171', '289', '457', '274', '206', '44', '50', '11', '407', '16', '453', '120', '388', '53', '300', '51', '36']
['80', '327', '286', '468', '317', '310', '223', '481', '163', '487', '413', '204', '219', '242', '436', '31', '335']
['467', '208', '26', '288', '94', '188', '19', '217', '382', '448', '72', '30', '236', '298', '324', '440']
['136', '140', '212', '323', '374', '497', '198', '387', '262', '121', '356', '329', '111', '238', '71', '478']
['74', '61', '367', '226', '139', '414', '185', '182', '257', '491', '456', '221', '305', '429', '415', '100']
['55', '360', '267', '498', '91', '431', '174', '472', '445', '284', '209', '378', '87', '62', '358', '290']
['165', '114', '421', '390', '426', '294', '447', '359', '90', '480', '196', '352', '309', '177', '385', '141']
['14', '225', '178', '363', '365', '60', '398', '299', '450', '122', '155', '452', '59', '110', '499', '7']
['77', '97', '256', '193', '207', '47', '418', '227', '237', '277', '113', '405', '477', '66', '287', '430']
['342', '54', '32', '488', '455', '43', '147', '197', '142', '425', '123', '486', '130', '138', '103', '350']
['433', '45', '108', '420', '291', '264', '404', '6', '325', '462', '85', '301', '28', '281', '58', '231']
['406', '33', '189', '3', '187', '213', '98', '92', '408', '483', '437', '23', '248', '211', '96', '345']
['423', '476', '381', '200', '42', '484', '224', '156', '461', '375', '409', '304', '105', '146', '192', '27']
['419', '466', '8', '344', '319', '254', '176', '331', '334', '119', '339', '251', '265', '482', '458', '276']
['9', '321', '102', '37', '253', '202', '235', '446', '306', '39', '151', '230', '454', '89', '127', '417']
['349', '17', '241', '316', '296', '229', '469', '338', '297', '247', '384', '377', '157', '4', '49', '357']
['93', '244', '160', '18', '459', '485', '149', '475', '79', '343', '233', '401', '46', '366', '258', '373']
['144', '315', '175', '442', '81', '0', '471', '333', '24', '159', '104', '115', '320', '355', '372', '116']
['303', '341', '371', '243', '246', '328', '351', '216', '269', '195', '158', '255', '464', '168', '438', '283']
['259', '314', '1', '493', '302', '170', '35', '201', '118', '326', '263', '152', '214', '308', '368', '179']
['48', '395', '75', '69', '240', '479', '205', '29', '166', '379', '20', '228', '169', '125', '403', '143']
['411', '162', '95', '340', '397', '21', '232', '444', '268', '252', '422', '34', '134', '380', '402', '73']
['364', '88', '107', '451', '353', '78', '261', '396', '148', '410', '492', '272', '449', '173', '389', '369']
['266', '167', '2', '161', '164', '307', '394', '470', '282', '117', '63', '68', '424', '84', '434', '25']
['40', '271', '361', '496', '322', '218', '56', '293', '490', '393', '432', '376', '112', '239', '222', '180']
['186', '439', '64', '172', '234', '191', '5', '153', '83', '348', '135', '13', '250', '41', '312', '278']
['495', '154', '101', '473', '270', '295', '336', '474', '370', '183', '494', '275', '399', '131', '412', '427']
['129', '106', '124', '249', '194', '215', '137', '465', '386', '392', '362', '280', '311', '99', '460', '489']
['10', '203', '184', '126', '210', '337', '52', '76', '400', '65', '22', '435', '347', '70', '428', '15']
