['a83', 'a301', 'a258', 'a61', 'a284', 'a115', 'a239', 'a80', 'a317', 'a316', 'a234', 'a201']
['a64', 'a126', 'a343', 'a225', 'a66', 'a266', 'a468', 'a170', 'a390', 'a252', 'a209', 'a125']
['a374', 'a38', 'a282', 'a354', 'a236', 'a432', 'a275', 'a179', 'a267', 'a130', 'a204', 'a296']
['a402', 'a11', 'a459', 'a24', 'a3', 'a327', 'a147', 'a410', 'a255', 'a1', 'a95', 'a443']
['a467', 'a276', 'a90', 'a108', 'a207', 'a118', 'a81', 'a388', 'a105', 'a400', 'a338', 'a427']
['a175', 'a340', 'a70', 'a131', 'a6', 'a247', 'a307', 'a415', 'a221', 'a45', 'a469', 'a342']
['a337', 'a447', 'a295', 'a315', 'a113', 'a219', 'a22', 'a34', 'a305', 'a285', 'a279', 'a424']
['a99', 'a336', 'a228', 'a211', 'a132', 'a408', 'a240', 'a281', 'a25', 'a235', 'a418', 'a251']
['a444', 'a74', 'a139', 'a313', 'a5', 'a58', 'a178', 'a223', 'a474', 'a33', 'a164', 'a367']
['a167', 'a37', 'a384', 'a7', 'a377', 'a237', 'a333', 'a431', 'a462', 'a138', 'a397', 'a328']
['a270', 'a389', 'a122', 'a160', 'a306', 'a283', 'a224', 'a59', 'a120', 'a238', 'a79', 'a314']
['a94', 'a119', 'a464', 'a69', 'a171', 'a157', 'a96', 'a320', 'a63', 'a411', 'a48', 'a287']
['a41', 'a27', 'a455', 'a68', 'a366', 'a309', 'a76', 'a396', 'a382', 'a311', 'a449', 'a77']
['a162', 'a87', 'a241', 'a286', 'a26', 'a242', 'a159', 'a261', 'a112', 'a102', 'a91', 'a106']
['a480', 'a50', 'a460', 'a318', 'a461', 'a476', 'a368', 'a470', 'a438', 'a423', 'a407', 'a19']
['a206', 'a277', 'a203', 'a4', 'a210', 'a54', 'a391', 'a440', 'a454', 'a335', 'a220', 'a135']
['a143', 'a208', 'a165', 'a371', 'a387', 'a304', 'a155', 'a264', 'a246', 'a29', 'a190', 'a233']
['a12', 'a359', 'a100', 'a152', 'a278', 'a248', 'a148', 'a44', 'a250', 'a245', 'a186', 'a188']
['a341', 'a308', 'a129', 'a215', 'a471', 'a85', 'a456', 'a21', 'a145', 'a8', 'a463', 'a409']
['a39', 'a180', 'a379', 'a472', 'a479', 'a466', 'a232', 'a477', 'a47', 'a86', 'a453', 'a347']
['a144', 'a205', 'a104', 'a271', 'a425', 'a280', 'a321', 'a406', 'a60', 'a16', 'a348', 'a156']
['a310', 'a445', 'a227', 'a116', 'a331', 'a370', 'a103', 'a249', 'a329', 'a375', 'a436', 'a393']
['a349', 'a35', 'a49', 'a272', 'a111', 'a20', 'a93', 'a57', 'a2', 'a253', 'a174', 'a422']
['a361', 'a292', 'a158', 'a452', 'a200', 'a107', 'a362', 'a67', 'a325', 'a173', 'a183', 'a195']
['a230', 'a262', 'a133', 'a360', 'a256', 'a355', 'a163', 'a36', 'a344', 'a383', 'a448', 'a269']
['a124', 'a97', 'a257', 'a243', 'a189', 'a43', 'a137', 'a420', 'a353', 'a433', 'a71', 'a332']
['a263', 'a123', 'a268', 'a110', 'a429', 'a274', 'a196', 'a216', 'a322', 'a421', 'a378', 'a78']
['a372', 'a136', 'a9', 'a290', 'a42', 'a446', 'a98', 'a334', 'a403', 'a192', 'a88', 'a473']
['a51', 'a350', 'a18', 'a153', 'a302', 'a385', 'a84', 'a56', 'a166', 'a213', 'a142', 'a441']
['a345', 'a128', 'a75', 'a244', 'a288', 'a53', 'a177', 'a28', 'a357', 'a214', 'a297', 'a73']
['a10', 'a298', 'a405', 'a478', 'a254', 'a197', 'a319', 'a399', 'a417', 'a218', 'a149', 'a414']
['a291', 'a434', 'a92', 'a265', 'a222', 'a52', 'a376', 'a30', 'a32', 'a365', 'a229', 'a380']
['a458', 'a231', 'a82', 'a184', 'a65', 'a351', 'a212', 'a181', 'a259', 'a416', 'a437', 'a352']
['a17', 'a442', 'a323', 'a40', 'a198', 'a260', 'a140', 'a395', 'a426', 'a185', 'a475', 'a121']
['a289', 'a151', 'a150', 'a146', 'a392', 'a14', 'a451', 'a428', 'a364', 'a373', 'a101', 'a168']
['a356', 'a182', 'a31', 'a202', 'a401', 'a191', 'a450', 'a457', 'a141', 'a339', 'a72', 'a381']
['a358', 'a127', 'a187', 'a394', 'a46', 'a363', 'a398', 'a109', 'a330', 'a217', 'a226', 'a13']
['a465', 'a369', 'a176', 'a194', 'a172', 'a299', 'a430', 'a303', 'a293', 'a154', 'a199', 'a169']
['a412', 'a312', 'a413', 'a15', 'a294', 'a193', 'a55', 'a346', 'a273', 'a23', 'a161', 'a404']
['a386', 'a324', 'a62', 'a439', 'a326', 'a300', 'a89', 'a419', 'a435', 'a134', 'a117', 'a114']
