['94', '240', '40', '76']
['179', '189', '170', '193']
['195', '43', '14', '174']
['122', '72', '104', '17']
['156', '163', '92', '46']
['83', '234', '39', '129']
['69', '173', '118', '61']
['44', '211', '145', '34']
['7', '172', '112', '268']
['225', '199', '21', '3']
['180', '33', '109', '102']
['238', '148', '224', '215']
['138', '217', '132', '184']
['183', '52', '19', '237']
['182', '161', '160', '64']
['247', '134', '116', '60']
['150', '5', '71', '23']
['26', '29', '155', '241']
['51', '55', '113', '260']
['133', '48', '212', '188']
['62', '249', '208', '59']
['158', '78', '216', '251']
['75', '204', '146', '84']
['235', '131', '99', '269']
['164', '259', '108', '27']
['77', '136', '120', '36']
['264', '121', '54', '68']
['100', '67', '210']
['135', '258', '250']
['63', '153', '107']
['31', '103', '201']
['169', '149', '126']
['41', '151', '213']
['79', '209', '32']
['243', '130', '110']
['262', '117', '144']
['186', '236', '47']
['101', '0', '25']
['105', '35', '128']
['53', '166', '206']
['218', '198', '38']
['214', '226', '89']
['81', '4', '223']
['13', '207', '157']
['222', '42', '255']
['263', '162', '200']
['90', '20', '86']
['227', '256', '119']
['220', '88', '267']
['1', '24', '18']
['56', '252', '257']
['57', '192', '185']
['261', '159', '127']
['231', '106', '15']
['65', '203', '244']
['74', '168', '37']
['239', '141', '242']
['194', '139', '49']
['22', '97', '9']
['6', '197', '245']
['95', '175', '266']
['246', '96', '265']
['12', '98', '123']
['87', '196', '73']
['152', '115', '154']
['176', '221', '50']
['93', '2', '124']
['70', '11', '233']
['58', '114', '167']
['10', '229', '143']
['80', '230', '8']
['66', '248', '228']
['16', '254', '177']
['187', '171', '191']
['125', '85', '82']
['30', '45', '147']
['140', '165', '181']
['219', '190', '205']
['137', '142', '253']
['91', '178', '202']
['28', '232', '111']
