['94', '14', '21', '95', '71', '68', '88', '39', '75', '48', '43', '31', '47', '25', '53']
['52', '4', '7', '10', '54', '55', '5', '12', '57', '74', '28', '86', '83', '98', '26']
['27', '70', '9', '59', '89', '24', '97', '19', '66', '32', '67', '50', '81', '82', '79']
['16', '35', '45', '96', '61', '84', '6', '44', '46', '73', '85', '20', '56', '64', '87']
['36', '38', '49', '40', '72', '1', '58', '63', '93', '51', '69', '37', '17', '8', '42']
['77', '15', '60', '100', '23', '90', '91', '78', '33', '34', '30', '13', '2', '41', '3']
['62', '65', '80', '99', '22', '76', '92', '29', '18', '11', '211', '232', '204', '225', '242']
['201', '266', '209', '236', '238', '261', '259', '240', '252', '251', '219', '273', '248', '234', '245']
['254', '213', '223', '263', '212', '280', '249', '278', '218', '206', '253', '270', '227', '214', '226']
['279', '272', '222', '208', '255', '274', '247', '231', '265', '221', '207', '215', '210', '243', '200']
['268', '269', '220', '250', '205', '256', '275', '277', '257', '202', '260', '258', '235', '230', '267']
['228', '246', '271', '264', '216', '262', '237', '217', '233', '276', '203', '244', '224', '241', '229']
['239', '173', '136', '182', '166', '157', '141', '108', '135', '107', '196', '130', '119', '101', '117']
['114', '145', '153', '178', '124', '168', '189', '131', '140', '194', '160', '137', '110', '193', '121']
['174', '149', '112', '139', '177', '158', '186', '138', '163', '154', '190', '162', '116', '144', '171']
['191', '122', '183', '165', '142', '146', '170', '123', '184', '169', '155', '134', '179', '132', '150']
['109', '185', '103', '129', '133', '105', '111', '167', '120', '176', '197', '143', '125', '175', '199']
['156', '180', '104', '127', '151', '126', '159', '102', '148', '128', '115', '164', '161', '147', '172']
['181', '113', '195', '192', '198', '152', '118', '187', '106', '188', '294', '293', '285', '284', '286']
['300', '291', '292', '290', '287', '288', '289', '296', '283', '282', '281', '295', '297', '299', '298']
