['14', '15', '16']
['21', '13', '22']
['105', '91', '98']
['106', '173', '174']
['169', '298', '297']
['290', '51', '49']
['50', '52', '55']
['56', '240', '232']
['239', '75', '79']
['80', '74', '73']
['76', '323', '316']
['324', '108', '107']
['100', '312', '311']
['304', '392', '391']
['387', '135', '136']
['140', '133', '134']
['139', '43', '57']
['39', '44', '31']
['27', '32', '45']
['237', '223', '230']
['238', '25', '28']
['26', '29', '30']
['445', '448', '449']
['446', '447', '450']
['198', '193', '197']
['356', '351', '355']
['285', '271', '278']
['286', '54', '53']
['348', '340', '347']
['227', '228', '220']
['478', '477', '470']
['5', '6', '1']
['434', '441', '433']
['435', '442', '436']
['236', '231', '235']
['82', '81', '92']
['87', '160', '158']
['167', '157', '168']
['159', '137', '138']
['431', '432', '424']
['333', '334', '319']
['326', '336', '335']
['328', '453', '454']
['104', '103', '99']
['473', '469', '474']
['472', '471', '479']
['480', '257', '258']
['253', '19', '20']
['33', '222', '217']
['221', '394', '393']
['386', '58', '337']
['338', '339', '341']
['342', '216', '215']
['208', '122', '124']
['129', '123', '130']
['121', '93', '165']
['166', '151', '276']
['268', '275', '170']
['177', '172', '178']
['171', '35', '36']
['379', '375', '380']
['254', '262', '255']
['256', '261', '155']
['156', '148', '150']
['145', '149', '109']
['113', '110', '112']
['114', '111', '77']
['78', '186', '185']
['181', '67', '359']
['360', '352', '388']
['385', '395', '396']
['281', '282', '277']
['417', '410', '418']
['403', '306', '301']
['305', '476', '475']
['287', '280', '288']
['120', '119', '460']
['457', '458', '467']
['468', '459', '416']
['411', '415', '94']
['86', '366', '365']
['361', '344', '343']
['175', '189', '176']
['183', '187', '184']
['188', '182', '127']
['141', '128', '42']
['41', '37', '260']
['259', '247', '248']
['243', '60', '59']
['357', '350', '358']
['23', '24', '126']
['125', '291', '289']
['296', '295', '292']
['34', '463', '464']
['18', '17', '205']
['209', '207', '210']
['206', '115', '116']
['2', '3', '9']
['10', '4', '437']
['438', '364', '372']
['362', '363', '371']
['142', '61', '66']
['65', '63', '64']
['62', '146', '147']
['299', '300', '118']
['117', '327', '325']
['331', '332', '7']
['70', '69', '273']
['384', '376', '383']
['219', '224', '218']
['377', '378', '373']
['439', '440', '101']
['102', '97', '374']
['201', '202', '194']
['423', '428', '421']
['422', '427', '466']
['465', '279', '390']
['389', '190', '226']
['225', '272', '267']
['233', '234', '229']
['349', '354', '353']
['265', '266', '269']
['270', '397', '400']
['399', '398', '402']
['401', '346', '345']
['429', '430', '456']
['455', '163', '164']
['407', '408', '162']
['161', '144', '143']
['444', '443', '204']
['196', '203', '191']
['192', '293', '294']
['381', '382', '367']
['84', '83', '132']
['131', '303', '307']
['308', '302', '368']
['274', '369', '370']
['330', '329', '451']
['452', '414', '409']
['413', '245', '246']
['241', '88', '85']
['419', '420', '412']
['314', '322', '315']
['321', '313', '195']
['199', '200', '40']
['38', '47', '48']
['320', '180', '179']
['317', '318', '152']
['46', '244', '252']
['242', '251', '211']
['212', '425', '426']
['71', '72', '213']
['214', '11', '12']
['284', '283', '405']
['406', '249', '250']
['461', '462', '95']
['96', '68', '154']
['153', '90', '89']
['263', '264', '8']
['404', '310', '309']
