['420', '6', '137', '313', '423', '421', '424', '325', '422', '293']
['426', '211', '103', '133', '217', '213', '218', '216', '212', '219']
['46', '47', '402', '44', '49', '42', '43', '48', '428', '233']
['429', '425', '126', '120', '122', '128', '127', '129', '123', '124']
['125', '121', '442', '236', '341', '230', '232', '117', '70', '237']
['231', '409', '400', '405', '404', '406', '171', '408', '401', '280']
['252', '496', '285', '156', '220', '289', '281', '284', '487', '282']
['322', '323', '361', '94', '333', '183', '321', '324', '462', '77']
['340', '72', '76', '73', '71', '79', '78', '134', '188', '139']
['130', '131', '138', '257', '258', '411', '250', '253', '110', '62']
['244', '115', '118', '111', '112', '452', '119', '113', '3', '1']
['9', '4', '190', '8', '296', '5', '2', '189', '246', '186']
['187', '184', '185', '224', '477', '114', '196', '198', '192', '450']
['193', '288', '191', '194', '259', '153', '251', '254', '255', '22']
['304', '256', '386', '271', '380', '383', '388', '381', '389', '382']
['385', '74', '384', '387', '87', '82', '83', '80', '85', '89']
['86', '84', '88', '163', '169', '164', '168', '162', '160', '161']
['167', '40', '491', '342', '301', '307', '306', '300', '309', '303']
['311', '319', '310', '241', '312', '316', '415', '317', '207', '204']
['208', '200', '205', '21', '203', '209', '201', '464', '265', '269']
['57', '268', '260', '266', '264', '262', '261', '50', '52', '54']
['55', '59', '56', '58', '51', '53', '497', '347', '470', '267']
['263', '141', '149', '435', '248', '315', '144', '146', '147', '143']
['142', '305', '45', '81', '12', '11', '13', '174', '14', '19']
['10', '17', '15', '145', '90', '371', '471', '378', '373', '377']
['372', '370', '379', '376', '465', '356', '467', '463', '348', '460']
['155', '151', '154', '159', '150', '157', '158', '459', '451', '456']
['454', '457', '438', '480', '433', '439', '430', '432', '436', '197']
['353', '199', '195', '97', '493', '339', '490', '498', '494', '472']
['499', '453', '407', '403', '410', '360', '152', '363', '234', '23']
['29', '28', '26', '25', '116', '279', '473', '132', '476', '475']
['64', '416', '390', '478', '20', '24', '334', '277', '278', '270']
['274', '272', '374', '375', '394', '344', '181', '180', '202', '140']
['214', '206', '16', '33', '332', '18', '99', '91', '96', '92']
['41', '98', '93', '34', '39', '32', '95', '30', '36', '38']
['31', '37', '276', '337', '484', '302', '331', '336', '335', '287']
['286', '283', '346', '349', '343', '228', '229', '225', '223', '221']
['60', '486', '488', '182', '483', '489', '172', '481', '443', '292']
['327', '395', '364', '479', '148', '474', '170', '178', '175', '177']
['179', '173', '235', '352', '357', '355', '358', '354', '485', '434']
['482', '466', '461', '468', '469', '291', '176', '273', '275', '166']
['165', '104', '100', '109', '102', '105', '101', '107', '106', '108']
['492', '495', '362', '67', '427', '243', '245', '240', '247', '350']
['242', '328', '326', '329', '413', '414', '417', '412', '431', '368']
['320', '294', '299', '297', '295', '290', '298', '338', '330', '27']
['396', '418', '419', '66', '68', '69', '61', '63', '65', '227']
['359', '0', '7', '367', '366', '210', '215', '351', '446', '75']
['222', '226', '391', '392', '458', '455', '35', '440', '238', '239']
['136', '135', '398', '393', '345', '318', '249', '437', '441', '369']
['365', '399', '397', '448', '444', '449', '447', '308', '445', '314']
