['334', '335', '354', '333', '314', '381', '389', '179', '99', '19', '393', '361', '397', '380', '382', '259', '339', '385', '306', '406']
['326', '286', '305', '307', '357', '358', '377', '356', '337', '399', '197', '198', '196', '217', '177', '62', '82', '63', '42', '407']
['61', '239', '258', '279', '318', '319', '298', '317', '338', '253', '233', '254', '273', '252', '271', '272', '291', '270', '251']
['210', '190', '209', '211', '230', '109', '110', '129', '108', '89', '398', '378', '149', '150', '169', '148', '384', '364', '383']
['92', '72', '91', '93', '112', '372', '373', '371', '352', '392', '114', '115', '134', '113', '94', '293', '294', '313', '292']
['15', '14', '16', '35', '323', '343', '324', '322', '303', '203', '204', '202', '223', '183', '396', '97', '77', '96', '117']
['98', '11', '12', '31', '10', '162', '163', '161', '142', '182', '363', '362', '127', '128', '147', '126', '107', '103', '102']
['104', '123', '83', '302', '301', '282', '238', '218', '237', '266', '265', '246', '267', '360', '341', '249', '250', '248', '229']
['269', '300', '320', '280', '57', '76', '78', '353', '355', '374', '321', '281', '170', '130', '151', '304', '284', '316', '336']
['296', '315', '140', '160', '120', '141', '394', '174', '154', '173', '194', '175', '189', '208', '139', '138', '119', '159', '168']
['401', '400', '36', '56', '37', '84', '85', '64', '244', '243', '245', '224', '264', '278', '257', '95', '75', '216', '215']
['236', '100', '80', '101', '227', '247', '207', '226', '228', '28', '8', '27', '48', '29', '41', '21', '40', '106', '105']
['86', '9', '133', '135', '18', '38', '17', '365', '366', '345', '375', '376', '395', '176', '195', '124', '416', '417', '231']
['65', '45', '66', '4', '3', '24', '5', '263', '242', '47', '67', '46', '205', '185', '225', '206', '404', '405', '165']
['184', '186', '191', '212', '132', '131', '152', '388', '387', '368', '311', '312', '310', '331', '158', '164', '145', '166', '367']
['386', '181', '116', '58', '59', '408', '409', '297', '277', '146', '125', '187', '20', '22', '1', '287', '285', '143', '111']
['122', '121', '52', '73', '71', '260', '240', '261', '87', '222', '81', '60', '79', '39', '351', '350', '7', '347', '342']
['340', '411', '410', '199', '219', '262', '241', '192', '193', '172', '283', '268', '288', '290', '289', '43', '23', '44', '6']
['255', '235', '275', '256', '74', '54', '220', '221', '200', '171', '413', '412', '234', '214', '348', '328', '349', '274', '55']
['403', '402', '232', '213', '153', '359', '178', '157', '32', '33', '299', '332', '309', '330', '346', '155', '391', '156', '136']
['180', '201', '379', '308', '327', '369', '390', '137', '144', '188', '53', '51', '295', '276', '25', '49', '68', '325', '370']
['26', '167', '90', '418', '419', '118', '50', '88', '0', '414', '415', '344', '2', '34', '13', '69', '30', '329', '70']
