['334', '138', '374', '24', '225', '39', '53', '259', '216', '345', '227', '271', '210', '114', '279', '251', '115', '384', '400', '337', '165']
['15', '44', '178', '187', '141', '302', '383', '361', '278', '272', '189', '234', '340', '342', '295', '42', '87', '176', '209', '263']
['171', '17', '212', '54', '329', '258', '32', '43', '313', '182', '157', '368', '83', '382', '222', '9', '172', '315', '104', '256']
['133', '226', '137', '65', '283', '38', '4', '129', '81', '377', '365', '243', '198', '398', '159', '13', '324', '170', '58', '252']
['57', '206', '117', '0', '66', '335', '286', '213', '111', '298', '71', '381', '76', '101', '281', '378', '112', '260', '5', '245']
['336', '351', '60', '204', '318', '12', '253', '376', '130', '385', '184', '275', '31', '262', '59', '265', '11', '74', '99', '147']
['167', '77', '395', '290', '301', '321', '316', '116', '247', '55', '320', '250', '95', '355', '333', '72', '51', '1', '310', '29']
['292', '106', '18', '231', '26', '233', '88', '151', '175', '287', '291', '230', '235', '269', '80', '136', '224', '366', '124', '360']
['294', '236', '277', '45', '48', '98', '344', '228', '339', '317', '56', '306', '36', '215', '33', '282', '41', '273', '61', '289']
['196', '149', '37', '199', '372', '242', '92', '300', '217', '229', '75', '214', '358', '110', '297', '389', '113', '353', '183', '22']
['388', '93', '119', '270', '34', '52', '161', '393', '89', '150', '143', '64', '126', '341', '359', '244', '347', '177', '357', '264']
['3', '179', '186', '255', '25', '127', '158', '249', '2', '363', '304', '174', '190', '100', '332', '285', '288', '73', '312', '132']
['47', '69', '8', '135', '328', '254', '220', '218', '173', '392', '356', '86', '163', '85', '391', '241', '78', '197', '63', '148']
['20', '373', '370', '367', '284', '268', '168', '97', '162', '305', '94', '103', '46', '266', '107', '276', '144', '338', '237', '350']
['369', '49', '146', '70', '375', '19', '153', '299', '145', '84', '396', '23', '201', '311', '164', '90', '200', '240', '125', '62']
['160', '123', '208', '203', '280', '348', '267', '108', '202', '21', '134', '181', '169', '307', '166', '211', '188', '142', '192', '296']
['68', '352', '96', '79', '14', '195', '349', '205', '257', '221', '371', '191', '194', '207', '180', '35', '364', '102', '323', '327']
['343', '239', '67', '219', '308', '185', '131', '380', '6', '394', '390', '399', '91', '121', '140', '193', '154', '156', '293', '261']
['354', '330', '120', '28', '387', '118', '105', '238', '331', '362', '139', '314', '379', '232', '309', '248', '303', '109', '50', '40']
['322', '155', '223', '346', '10', '128', '246', '326', '122', '319', '27', '397', '386', '152', '82', '16', '325', '274', '30', '7']
