['295', '479', '21', '54', '28', '151', '10', '132', '229', '314', '444', '162', '142', '11', '58', '40', '346', '50', '447', '306', '178', '235', '367', '16', '363', '266', '112']
['252', '309', '372', '238', '454', '108', '129', '62', '244', '276', '1', '334', '6', '38', '192', '150', '411', '210', '374', '382', '193', '29', '250', '248', '432', '158', '224']
['199', '171', '45', '262', '136', '310', '264', '103', '146', '278', '140', '416', '9', '376', '420', '417', '194', '221', '65', '294', '97', '197', '138', '242', '79', '255', '341']
['159', '400', '463', '494', '172', '359', '398', '111', '371', '182', '379', '298', '277', '448', '219', '228', '124', '125', '322', '272', '259', '33', '55', '483', '489', '427', '14']
['429', '287', '86', '17', '304', '141', '303', '149', '114', '239', '118', '64', '318', '362', '127', '82', '408', '137', '83', '426', '257', '183', '195', '340', '230', '107', '414']
['99', '492', '333', '215', '473', '22', '20', '350', '247', '35', '445', '428', '490', '319', '57', '56', '453', '188', '436', '143', '15', '254', '240', '186', '200', '441', '91']
['184', '270', '102', '404', '390', '380', '413', '95', '76', '166', '241', '368', '153', '438', '389', '387', '308', '290', '144', '307', '344', '260', '360', '74', '120', '481']
['51', '268', '349', '357', '226', '116', '160', '484', '72', '53', '216', '12', '476', '449', '98', '258', '8', '487', '174', '222', '452', '93', '176', '433', '499', '397']
['3', '135', '267', '67', '421', '128', '90', '237', '71', '378', '18', '5', '164', '297', '375', '358', '92', '347', '165', '301', '409', '353', '220', '37', '471', '470']
['89', '41', '168', '36', '231', '465', '234', '392', '312', '316', '117', '281', '131', '201', '496', '73', '156', '223', '472', '434', '364', '480', '475', '169', '152', '300']
['246', '101', '331', '440', '175', '214', '49', '299', '161', '406', '173', '354', '84', '491', '282', '488', '130', '32', '113', '327', '394', '181', '263', '391', '207', '325']
['167', '4', '31', '336', '286', '233', '418', '369', '283', '385', '399', '243', '126', '94', '203', '330', '198', '435', '474', '321', '163', '121', '461', '191', '63', '388']
['311', '190', '225', '477', '338', '439', '205', '157', '212', '373', '381', '402', '13', '377', '148', '78', '296', '393', '269', '430', '497', '348', '335', '202', '443', '34']
['478', '361', '329', '370', '105', '332', '275', '384', '61', '460', '320', '122', '493', '77', '442', '154', '456', '249', '2', '315', '110', '485', '46', '227', '48', '395']
['133', '43', '468', '486', '458', '366', '431', '284', '68', '451', '305', '81', '232', '401', '437', '119', '405', '323', '293', '324', '177', '317', '187', '23', '85', '155']
['356', '236', '218', '425', '185', '206', '66', '291', '455', '407', '326', '30', '352', '495', '204', '265', '412', '245', '139', '464', '279', '383', '59', '410', '25', '109']
['292', '0', '106', '251', '52', '273', '80', '289', '145', '337', '423', '271', '302', '345', '70', '47', '365', '104', '209', '69', '467', '424', '134', '482', '88', '450']
['42', '403', '422', '96', '446', '87', '459', '7', '189', '328', '211', '213', '313', '339', '462', '457', '396', '280', '415', '170', '123', '419', '75', '24', '343', '180']
['342', '386', '274', '355', '19', '26', '261', '44', '466', '256', '39', '351', '285', '469', '179', '498', '208', '100', '196', '217', '115', '27', '147', '288', '60', '253']
