['A13', 'C15', '49']
['G47', 'A22', 'B27']
['50', 'E39', 'H19']
['H9', 'C30', 'D25']
['25', 'C3', 'E3']
['F3', 'C34', 'B17']
['A5', 'H52', 'G22']
['D12', 'G21', 'F53']
['B2', 'A39', 'B39']
['A44', 'E0', 'D52']
['C12', '24', 'C2']
['D50', 'E13', 'D39']
['B8', 'A11', 'H8']
['H47', 'A46', 'H37']
['D21', 'E52', 'B45']
['E23', 'B0', 'C7']
['D11', 'E7', 'B6']
['F30', 'F8', 'F26']
['E47', 'F54', 'F40']
['C1', 'G50', 'E49']
['F12', 'G19', 'E27']
['D19', 'A2', 'G53']
['E18', 'F25', 'C9']
['22', 'G45', '16']
['F33', 'E14', 'F18']
['G51', 'E31', 'G28']
['C32', 'C39', '54']
['G10', 'C38', 'B31']
['C45', 'D51', '52']
['H1', 'B41', 'G17']
['33', '51', 'B9']
['G23', 'F4', 'C41']
['56', 'F13', 'D20']
['H51', 'A26', 'H13']
['C48', 'A38', 'C28']
['F35', 'C16', 'C43']
['C11', 'F1', 'F9']
['H25', 'B38', 'F23']
['F34', 'D16', 'A52']
['H46', '36', 'G7']
['E1', 'C21', 'F11']
['10', 'G32', '32']
['15', 'A17', 'A40']
['G42', 'D6', 'G43']
['E53', 'A48', 'G14']
['B29', 'G25', 'C36']
['E8', 'C27', 'E34']
['14', 'A50', '26']
['A30', 'E33', 'G6']
['3', 'C10', 'H22']
['A0', '57', '40']
['E24', 'C29', 'A23']
['H41', 'F7', 'B40']
['A37', 'F44', '8']
['C0', 'E35', 'G16']
['B47', 'D49', 'D17']
['B52', 'E4', 'C53']
['C51', 'C46', 'E28']
['D35', 'H38', 'H30']
['C42', 'C5', 'H50']
['B24', 'E46', 'B37']
['5', 'F36', 'G4']
['D28', '23', '27']
['H29', 'D37', 'H49']
['D10', 'G24', '53']
['E9', 'D24', 'B4']
['E16', 'C18', '18']
['B26', 'D2', 'A1']
['G34', 'E11', 'C54']
['E30', 'C35', '45']
['D9', 'F16', 'E50']
['F10', 'D54', 'E51']
['A15', 'G54', '47']
['B51', 'H7', 'H3']
['F21', 'A45', 'F15']
['H15', 'A21', 'B28']
['C20', 'A3', 'F22']
['A7', 'A35', 'E12']
['35', 'E26', 'F20']
['E15', 'B42', 'G48']
['B43', 'B33', 'E22']
['F39', '37', 'F43']
['C17', '55', 'B19']
['48', '17', 'H33']
['H5', 'A42', 'D23']
['D33', 'D36', 'D32']
['F50', 'G39', 'E20']
['G5', 'C47', 'F41']
['G52', '46', 'F0']
['E41', 'G37', 'F49']
['G38', 'D47', 'H54']
['E29', 'F28', 'A31']
['A10', 'B1', 'F38']
['H10', 'H23', 'C14']
['B30', 'A16', 'F5']
['G20', 'G1', 'H28']
['A8', 'E32', 'H26']
['C22', 'H35', 'H11']
['41', 'F46', 'H24']
['H39', '59', 'B23']
['B3', 'G40', 'A12']
['D18', 'H0', 'A33']
['D31', 'C40', 'F14']
['D22', 'E48', 'F2']
['20', 'C33', 'B18']
['C19', 'B14', 'C49']
['G41', 'A36', 'C31']
['C23', 'A43', 'A19']
['G15', 'B48', 'H17']
['A9', 'H18', '38']
['0', 'E5', 'G18']
['19', 'E54', 'B21']
['B10', '34', 'D34']
['E19', '44', 'D0']
['A28', 'H12', 'F42']
['H44', 'F32', 'A54']
['F17', 'E38', '12']
['E45', 'A34', 'F48']
['A20', 'B49', 'G49']
['B34', 'D48', 'H45']
['B46', 'B20', 'G12']
['G3', 'H34', 'G36']
['G35', 'H42', 'H48']
['E42', 'E2', 'C37']
['A32', '7', 'D8']
['D45', 'A47', 'H31']
['E40', '42', 'H27']
['F51', '11', 'B12']
['A6', 'D42', 'F31']
['C24', 'A29', '29']
['A53', '43', 'B36']
['39', 'E25', 'H16']
['A25', 'A27', 'D1']
['4', 'A51', 'C26']
['D53', 'E21', 'G11']
['A41', 'D46', 'F27']
['D30', '30', '31']
['G29', 'D44', '13']
['A24', 'B15', 'F19']
['B32', 'G9', 'C6']
['B53', 'D4', 'G27']
['D3', 'B5', 'B11']
['A18', 'B50', 'H6']
['1', 'H43', 'E6']
['E44', 'F6', 'E10']
['D26', 'E37', 'C25']
['B25', 'G30', 'G0']
['B35', 'F45', 'H20']
['C8', 'D5', 'D14']
['G46', 'G26', 'F29']
['F37', 'G44', 'E43']
['C4', '6', 'H4']
['E36', 'H36', '28']
['B13', 'C50', 'C13']
['B16', 'C44', '58']
['B44', 'A49', '9']
['G2', 'E17', 'H14']
['D40', 'D7', 'H40']
['C52', '2', 'B54']
['D27', 'D13', 'B22']
['G8', 'H32', 'F52']
['G33', 'D38', 'H21']
['B7', 'G31', 'A4']
['H2', 'G13', 'F24']
['A14', 'D43', '21']
['H53', 'F47', 'D29']
['D41', 'D15']
