['a119', 'a127', 'a84', 'a51', 'a248', 'a120', 'a133', 'a31', 'a244', 'a37']
['a18', 'a75', 'a123', 'a210', 'a117', 'a65', 'a174', 'a57', 'a214', 'a93']
['a1', 'a198', 'a34', 'a137', 'a70', 'a64', 'a205', 'a247', 'a90', 'a179']
['a216', 'a73', 'a71', 'a152', 'a36', 'a113', 'a8', 'a189', 'a204', 'a158']
['a62', 'a164', 'a167', 'a191', 'a22', 'a25', 'a249', 'a220', 'a150', 'a183']
['a28', 'a110', 'a243', 'a122', 'a126', 'a53', 'a78', 'a155', 'a6', 'a24']
['a94', 'a82', 'a171', 'a118', 'a202', 'a139', 'a111', 'a188', 'a208', 'a226']
['a66', 'a100', 'a163', 'a46', 'a156', 'a39', 'a72', 'a17', 'a102', 'a190']
['a4', 'a230', 'a215', 'a63', 'a185', 'a186', 'a21', 'a160', 'a145', 'a217']
['a134', 'a13', 'a32', 'a151', 'a234', 'a146', 'a16', 'a221', 'a239', 'a143']
['a227', 'a106', 'a5', 'a125', 'a211', 'a212', 'a92', 'a235', 'a74', 'a114']
['a141', 'a112', 'a166', 'a128', 'a195', 'a115', 'a245', 'a48', 'a169', 'a9']
['a3', 'a138', 'a45', 'a107', 'a161', 'a77', 'a76', 'a129', 'a50', 'a86']
['a201', 'a11', 'a165', 'a136', 'a187', 'a98', 'a180', 'a81', 'a194', 'a0']
['a15', 'a83', 'a225', 'a176', 'a162', 'a7', 'a12', 'a157', 'a192', 'a200']
['a236', 'a224', 'a219', 'a19', 'a196', 'a68', 'a218', 'a43', 'a184', 'a10']
['a59', 'a144', 'a26', 'a203', 'a232', 'a44', 'a60', 'a109', 'a89', 'a105']
['a148', 'a56', 'a154', 'a40', 'a233', 'a88', 'a54', 'a52', 'a207', 'a97']
['a104', 'a213', 'a175', 'a209', 'a27', 'a30', 'a108', 'a41', 'a153', 'a193']
['a67', 'a103', 'a173', 'a14', 'a132', 'a38', 'a95', 'a116', 'a172', 'a231']
['a42', 'a91', 'a222', 'a130', 'a149', 'a147', 'a69', 'a87', 'a124', 'a79']
['a20', 'a131', 'a178', 'a49', 'a61', 'a237', 'a96', 'a55', 'a199', 'a33']
['a29', 'a228', 'a99', 'a23', 'a168', 'a159', 'a223', 'a101', 'a140', 'a241']
['a177', 'a181', 'a229', 'a170', 'a240', 'a182', 'a35', 'a206', 'a80', 'a85']
['a238', 'a246', 'a121', 'a197', 'a2', 'a58', 'a47', 'a142', 'a242', 'a135']
