['142', '71', '368', '57', '201', '7']
['332', '153', '334', '324', '92', '67']
['158', '335', '289', '444', '149', '46']
['70', '376', '82', '416', '135', '421']
['474', '339', '299', '495', '117', '379']
['338', '157', '291', '211', '358']
['85', '230', '443', '387', '248']
['122', '482', '141', '270', '369']
['245', '93', '224', '439', '352']
['213', '430', '112', '80', '170']
['161', '1', '219', '169', '251']
['147', '194', '259', '307', '304']
['467', '374', '178', '275', '25']
['63', '183', '450', '114', '256']
['377', '126', '356', '423', '479']
['276', '280', '72', '173', '345']
['32', '192', '98', '367', '362']
['309', '318', '179', '458', '68']
['233', '441', '424', '30', '395']
['54', '162', '412', '40', '252']
['469', '199', '231', '119', '13']
['143', '139', '225', '19', '353']
['123', '45', '427', '400', '322']
['350', '317', '23', '151', '105']
['28', '390', '235', '156', '109']
['494', '234', '357', '182', '297']
['176', '214', '236', '471', '104']
['301', '325', '96', '365', '327']
['491', '129', '271', '388', '188']
['215', '91', '253', '43', '302']
['16', '370', '413', '73', '94']
['238', '497', '446', '128', '69']
['155', '4', '452', '470', '288']
['56', '255', '440', '254', '372']
['5', '53', '485', '394', '48']
['64', '167', '296', '108', '433']
['154', '66', '150', '360', '435']
['61', '315', '8', '124', '203']
['244', '308', '86', '77', '483']
['44', '489', '472', '456', '262']
['414', '27', '39', '267', '6']
['34', '196', '138', '263', '371']
['463', '146', '0', '228', '159']
['132', '328', '189', '341', '397']
['258', '55', '136', '453', '74']
['384', '418', '351', '496', '3']
['47', '81', '87', '121', '76']
['277', '14', '457', '175', '407']
['144', '381', '145', '295', '50']
['174', '405', '186', '292', '100']
['58', '247', '389', '342', '51']
['184', '261', '313', '116', '363']
['134', '464', '197', '264', '210']
['2', '283', '415', '185', '265']
['286', '403', '103', '359', '348']
['282', '278', '445', '449', '284']
['84', '437', '237', '20', '99']
['337', '164', '499', '300', '242']
['208', '42', '475', '493', '221']
['333', '323', '59', '165', '336']
['249', '35', '239', '462', '137']
['18', '269', '355', '398', '216']
['305', '354', '209', '172', '347']
['409', '95', '454', '9', '226']
['232', '113', '477', '484', '428']
['447', '393', '198', '195', '29']
['152', '268', '246', '60', '434']
['21', '205', '125', '168', '340']
['404', '294', '383', '89', '346']
['293', '26', '130', '361', '217']
['422', '432', '65', '344', '41']
['101', '378', '319', '38', '88']
['207', '349', '326', '110', '420']
['200', '52', '78', '468', '97']
['177', '408', '417', '49', '285']
['455', '426', '266', '127', '290']
['218', '11', '392', '448', '171']
['223', '24', '191', '466', '490']
['311', '36', '460', '419', '476']
['498', '406', '75', '331', '227']
['386', '310', '90', '102', '202']
['148', '274', '473', '391', '343']
['272', '312', '22', '429', '373']
['212', '257', '180', '329', '316']
['481', '222', '260', '399', '241']
['401', '229', '396', '250', '79']
['243', '37', '465', '240', '190']
['166', '461', '364', '220', '436']
['193', '330', '115', '321', '438']
['62', '160', '133', '17', '385']
['15', '487', '287', '306', '380']
['303', '488', '281', '375', '486']
['181', '410', '120', '206', '107']
['204', '273', '425', '187', '320']
['106', '131', '140', '480', '478']
['10', '314', '31', '492', '111']
['33', '366', '12', '411', '163']
['402', '451', '83', '298', '442']
['279', '118', '382', '431', '459']
