['142', '109', '82', '157', '80', '219', '467', '32', '242', '54', '252', '353', '96', '211', '94', '248', '450', '53', '385', '61', '86', '453', '485']
['73', '131', '196', '170', '483', '64', '384', '267', '3', '456', '369', '315', '261', '161', '413', '433', '479', '403', '56', '357', '221', '59']
['38', '435', '35', '18', '77', '5', '398', '368', '273', '246', '9', '317', '150', '333', '284', '397', '202', '346', '119', '41', '13', '200']
['97', '271', '476', '367', '406', '90', '407', '275', '212', '89', '124', '400', '366', '293', '326', '148', '11', '434', '22', '167', '321', '232']
['272', '238', '370', '285', '88', '220', '415', '218', '331', '482', '303', '10', '40', '210', '290', '201', '388', '444', '464', '411', '340', '458']
['244', '137', '481', '361', '6', '158', '475', '51', '443', '466', '110', '104', '298', '138', '185', '473', '429', '386', '162', '92', '113', '349']
['197', '484', '280', '240', '58', '305', '62', '129', '421', '364', '299', '192', '195', '34', '405', '251', '116', '139', '472', '128', '339', '424']
['159', '345', '320', '399', '70', '118', '241', '328', '378', '140', '72', '121', '374', '49', '372', '276', '437', '39', '382', '63', '37', '27']
['84', '216', '205', '91', '68', '69', '268', '114', '389', '149', '231', '376', '178', '26', '43', '141', '7', '14', '355', '183', '428', '463']
['269', '55', '106', '356', '319', '278', '74', '134', '277', '52', '230', '168', '193', '44', '67', '294', '446', '180', '395', '174', '47', '379']
['480', '108', '412', '171', '316', '146', '127', '465', '313', '354', '440', '461', '222', '471', '206', '337', '45', '213', '425', '350', '229', '98']
['404', '25', '176', '291', '470', '177', '101', '164', '225', '377', '46', '87', '325', '102', '60', '156', '207', '343', '258', '310', '442', '8']
['394', '189', '243', '478', '215', '451', '409', '329', '289', '33', '228', '233', '287', '373', '57', '352', '175', '430', '144', '279', '166', '253']
['209', '344', '100', '85', '147', '4', '455', '447', '107', '145', '239', '208', '71', '426', '396', '83', '224', '48', '79', '16', '173', '182']
['255', '348', '408', '257', '266', '302', '76', '12', '469', '477', '245', '462', '296', '301', '123', '295', '402', '132', '93', '23', '418', '358']
['36', '338', '309', '438', '314', '1', '323', '330', '217', '263', '199', '24', '154', '342', '371', '260', '474', '254', '226', '17', '181', '410']
['452', '112', '327', '105', '31', '143', '286', '375', '103', '322', '282', '420', '151', '136', '262', '390', '468', '445', '179', '334', '264', '387']
['380', '281', '441', '324', '99', '318', '169', '449', '362', '135', '347', '117', '308', '360', '130', '78', '259', '297', '274', '448', '381', '250']
['155', '125', '188', '236', '133', '187', '351', '111', '365', '122', '95', '203', '191', '198', '300', '392', '391', '363', '29', '165', '126', '120']
['427', '184', '81', '306', '423', '227', '460', '30', '28', '50', '332', '66', '459', '190', '237', '416', '172', '311', '15', '422', '153', '292']
['304', '19', '454', '393', '270', '256', '75', '234', '383', '312', '20', '336', '288', '21', '235', '163', '160', '359', '223', '247', '401', '341']
['42', '457', '431', '436', '214', '432', '186', '265', '414', '65', '152', '283', '419', '335', '204', '2', '307', '115', '249', '417', '439', '194']
