['142', '107', '138', '470', '177', '309', '145', '450']
['146', '41', '210', '276', '8', '144', '243', '171']
['342', '140', '375', '139', '74', '437', '109', '407']
['111', '113', '404', '112', '106', '105', '82', '405']
['315', '249', '84', '476', '282', '86', '410', '351']
['80', '377', '216', '78', '150', '85', '14', '21']
['79', '443', '47', '183', '117', '157', '291', '130']
['89', '56', '155', '159', '258', '192', '225', '364']
['23', '485', '452', '122', '154', '161', '160', '358']
['153', '390', '324', '357', '214', '45', '77', '120']
['408', '115', '181', '474', '76', '247', '83', '186']
['12', '441', '313', '148', '280', '219', '52', '224']
['254', '221', '223', '386', '320', '151', '419', '87']
['217', '118', '222', '184', '287', '215', '353', '354']
['19', '467', '465', '432', '469', '172', '463', '292']
['2', '267', '7', '366', '471', '399', '333', '33']
['234', '73', '40', '300', '464', '32', '102', '462']
['459', '168', '426', '29', '34', '35', '69', '346']
['135', '201', '30', '36', '28', '393', '360', '285']
['327', '492', '242', '409', '75', '239', '174', '412']
['475', '207', '141', '246', '343', '245', '9', '119']
['238', '310', '108', '442', '277', '42', '244', '16']
['240', '376', '365', '330', '368', '4', '361', '478']
['132', '363', '367', '297', '369', '264', '362', '178']
['70', '231', '198', '433', '165', '466', '499', '305']
['37', '400', '439', '208', '373', '307', '406', '272']
['274', '438', '241', '444', '445', '340', '402', '338']
['43', '270', '303', '10', '435', '336', '204', '25']
['5', '440', '434', '237', '472', '54', '50', '496']
['415', '58', '382', '349', '57', '51', '448', '374']
['188', '481', '252', '248', '255', '250', '256', '473']
['190', '458', '124', '289', '425', '322', '321', '275']
['491', '24', '328', '91', '359', '392', '326', '308']
['414', '211', '447', '348', '179', '212', '381', '341']
['218', '96', '100', '94', '329', '230', '424', '347']
['99', '98', '263', '92', '93', '490', '61', '13']
['197', '164', '457', '131', '391', '296', '279', '46']
['11', '312', '213', '378', '345', '44', '411', '281']
['209', '143', '110', '176', '26', '195', '90', '352']
['261', '294', '389', '59', '422', '97', '455', '331']
['488', '228', '162', '129', '48', '316', '147', '288']
['15', '283', '114', '180', '81', '251', '421', '397']
['27', '60', '22', '417', '456', '418', '126', '325']
['423', '489', '53', '220', '253', '187', '480', '344']
['55', '18', '49', '121', '88', '286', '385', '278']
['383', '185', '350', '388', '486', '317', '420', '123']
['453', '387', '284', '152', '65', '63', '64', '175']
['356', '319', '103', '427', '332', '101', '167', '339']
['460', '95', '233', '299', '200', '394', '31', '156']
['493', '266', '134', '495', '497', '295', '68', '293']
['498', '262', '306', '273', '401', '38', '71', '206']
['128', '133', '127', '196', '62', '396', '193', '323']
['194', '199', '429', '479', '17', '446', '149', '290']
['116', '380', '484', '451', '379', '170', '337', '182']
['166', '271', '403', '205', '3', '370', '173', '477']
['304', '483', '487', '67', '66', '384', '302', '232']
['265', '269', '335', '500', '236', '1', '137', '227']
['468', '104', '301', '6', '268', '203', '334', '260']
['355', '454', '169', '202', '371', '235', '136', '298']
['372', '449', '20', '482', '311', '416', '318']
['314', '494', '226', '257', '395', '461', '259']
['428', '125', '189', '191', '158', '163', '229']
['413', '436', '398', '39', '430', '431', '72']
