['43', '165', '115', '73', '291', '39', '1', '61', '199', '370', '358']
['180', '302', '184', '70', '217', '181', '256', '57', '282', '18']
['240', '253', '400', '124', '356', '128', '289', '116', '312', '163']
['153', '173', '305', '315', '147', '331', '60', '170', '301', '93']
['95', '67', '129', '281', '234', '311', '158', '208', '321', '28']
['337', '236', '103', '8', '293', '218', '259', '36', '268', '136']
['360', '270', '46', '220', '68', '149', '364', '386', '90', '155']
['119', '48', '17', '45', '330', '346', '318', '244', '274', '394']
['371', '40', '390', '179', '19', '16', '31', '117', '118', '198']
['72', '152', '233', '187', '25', '263', '168', '122', '322', '144']
['20', '200', '238', '186', '131', '204', '275', '101', '262', '166']
['374', '126', '354', '137', '382', '388', '154', '123', '89', '313']
['252', '111', '326', '81', '249', '378', '383', '54', '350', '359']
['23', '110', '223', '367', '5', '194', '258', '33', '232', '224']
['178', '310', '230', '365', '162', '150', '74', '91', '37', '215']
['266', '205', '52', '317', '151', '140', '183', '366', '211', '102']
['0', '375', '157', '357', '177', '342', '27', '397', '58', '264']
['107', '219', '192', '309', '210', '395', '355', '96', '379', '29']
['361', '169', '329', '2', '139', '368', '392', '339', '83', '105']
['276', '352', '112', '133', '66', '32', '237', '38', '206', '42']
['278', '227', '297', '21', '285', '114', '174', '134', '3', '344']
['109', '138', '142', '336', '279', '245', '273', '35', '327', '287']
['97', '59', '267', '228', '10', '338', '225', '172', '41', '242']
['160', '304', '51', '308', '221', '328', '216', '26', '53', '156']
['141', '80', '121', '306', '12', '353', '56', '380', '212', '226']
['145', '62', '300', '250', '159', '393', '341', '260', '248', '125']
['50', '146', '343', '207', '399', '104', '79', '88', '286', '75']
['14', '246', '269', '373', '113', '120', '78', '381', '15', '34']
['299', '4', '197', '100', '320', '214', '294', '391', '203', '387']
['389', '86', '277', '272', '241', '135', '351', '369', '377', '385']
['99', '222', '261', '132', '319', '340', '82', '98', '161', '271']
['189', '396', '247', '231', '292', '209', '182', '254', '307', '303']
['106', '345', '191', '349', '24', '280', '290', '171', '6', '372']
['195', '71', '213', '167', '108', '348', '30', '164', '314', '130']
['284', '193', '49', '201', '77', '84', '11', '363', '333', '316']
['47', '65', '243', '323', '143', '148', '22', '202', '362', '188']
['196', '185', '257', '283', '332', '288', '64', '398', '239', '9']
['295', '7', '127', '298', '85', '87', '69', '335', '296', '44']
['175', '384', '265', '94', '176', '63', '76', '251', '13', '324']
['347', '190', '92', '55', '334', '235', '376', '255', '229', '325']
