['174', '444', '426']
['81', '6', '56']
['333', '379', '141']
['369', '277', '177']
['286', '496', '129']
['198', '306', '419']
['460', '135', '218']
['279', '269', '343']
['40', '113', '478']
['69', '227', '233']
['323', '251', '147']
['483', '420', '442']
['57', '361', '354']
['331', '3', '347']
['146', '160', '111']
['33', '447', '262']
['285', '96', '374']
['179', '214', '176']
['309', '381', '26']
['99', '207', '348']
['234', '418', '450']
['456', '494', '357']
['260', '11', '32']
['137', '465', '287']
['440', '256', '31']
['138', '428', '413']
['90', '58', '276']
['51', '102', '197']
['47', '292', '252']
['480', '452', '353']
['36', '344', '67']
['244', '458', '318']
['273', '1', '93']
['229', '329', '20']
['221', '301', '339']
['377', '290', '429']
['205', '454', '91']
['166', '83', '193']
['50', '443', '334']
['281', '335', '118']
['95', '295', '156']
['5', '263', '38']
['77', '491', '92']
['411', '178', '486']
['404', '216', '72']
['100', '76', '298']
['52', '294', '375']
['463', '448', '185']
['162', '451', '424']
['134', '22', '106']
['24', '241', '109']
['75', '188', '489']
['89', '49', '417']
['397', '268', '359']
['70', '284', '149']
['68', '275', '186']
['317', '168', '296']
['485', '170', '211']
['122', '423', '352']
['53', '94', '389']
['259', '172', '63']
['355', '190', '312']
['213', '466', '332']
['253', '203', '386']
['441', '97', '183']
['112', '34', '232']
['167', '462', '196']
['101', '130', '120']
['479', '17', '10']
['325', '199', '498']
['406', '415', '110']
['365', '455', '157']
['115', '84', '492']
['291', '402', '431']
['270', '21']
['396', '437']
['421', '195']
['432', '461']
['474', '48']
['169', '192']
['116', '153']
['453', '163']
['114', '475']
['366', '434']
['143', '469']
['123', '85']
['482', '265']
['117', '254']
['152', '43']
['7', '107']
['39', '398']
['310', '217']
['436', '74']
['54', '345']
['204', '477']
['288', '383']
['376', '364']
['98', '247']
['299', '139']
['481', '187']
['255', '395']
['488', '326']
['155', '356']
['271', '133']
['150', '184']
['148', '321']
['499', '245']
['473', '391']
['210', '220']
['367', '9']
['282', '136']
['497', '236']
['393', '16']
['164', '484']
['242', '25']
['41', '223']
['261', '314']
['433', '341']
['387', '410']
['29', '378']
['258', '248']
['457', '108']
['2', '222']
['311', '327']
['351', '159']
['425', '302']
['161', '42']
['88', '208']
['300', '322']
['4', '44']
['173', '372']
['304', '15']
['445', '468']
['430', '403']
['0', '390']
['180', '435']
['142', '140']
['416', '405']
['380', '86']
['124', '249']
['206', '283']
['19', '324']
['30', '71']
['495', '446']
['215', '289']
['373', '228']
['315', '346']
['66', '13']
['212', '14']
['12', '23']
['62', '394']
['409', '371']
['266', '132']
['250', '121']
['384', '246']
['439', '219']
['370', '472']
['338', '307']
['320', '145']
['400', '209']
['224', '487']
['337', '382']
['154', '467']
['230', '202']
['103', '471']
['385', '181']
['414', '126']
['131', '280']
['240', '427']
['297', '158']
['119', '55']
['388', '336']
['82', '238']
['144', '200']
['257', '235']
['342', '105']
['358', '493']
['8', '239']
['272', '226']
['399', '127']
['264', '319']
['340', '231']
['438', '401']
['64', '87']
['45', '449']
['28', '350']
['65', '59']
['303', '151']
['46', '191']
['470', '79']
['316', '408']
['175', '171']
['243', '27']
['349', '128']
['125', '80']
['407', '368']
['182', '476']
['78', '267']
['464', '73']
['305', '360']
['293', '362']
['104', '392']
['459', '313']
['60', '308']
['165', '330']
['37', '189']
['328', '422']
['278', '61']
['237', '194']
['225', '412']
['274', '35']
['490', '18']
['363', '201']
