['380', '185', '389', '78', '249', '257', '76', '407', '402', '309', '52', '491', '29', '136', '132', '213', '409', '17']
['125', '155', '420', '474', '279', '87', '339', '376', '480', '86', '22', '340', '199', '343', '299', '250', '46', '214']
['311', '493', '298', '228', '457', '320', '378', '153', '242', '286', '393', '43', '467', '256', '405', '243', '357', '338']
['24', '120', '346', '400', '364', '165', '361', '406', '271', '148', '447', '139', '219', '168', '432', '102', '381']
['51', '352', '371', '240', '253', '180', '229', '489', '101', '272', '50', '302', '88', '55', '113', '266', '99']
['172', '461', '45', '110', '161', '465', '385', '65', '471', '486', '169', '160', '427', '64', '220', '41', '72']
['280', '12', '469', '58', '225', '47', '178', '235', '202', '190', '176', '487', '319', '335', '452', '347', '315']
['289', '443', '375', '115', '6', '175', '359', '7', '433', '276', '460', '411', '75', '417', '458', '263', '108']
['426', '198', '200', '260', '282', '237', '303', '454', '60', '267', '117', '104', '205', '255', '77', '366', '69']
['345', '79', '36', '494', '0', '428', '478', '109', '15', '97', '94', '333', '32', '27', '360', '268', '330']
['151', '317', '304', '492', '390', '212', '425', '44', '63', '144', '239', '283', '186', '308', '358', '481', '448']
['57', '258', '301', '464', '95', '353', '262', '259', '37', '368', '453', '403', '367', '372', '89', '194', '388']
['163', '126', '300', '61', '244', '230', '444', '435', '291', '2', '451', '83', '141', '479', '363', '207', '67']
['39', '40', '28', '215', '344', '285', '370', '107', '221', '103', '189', '251', '328', '143', '337', '238', '246']
['193', '8', '422', '30', '350', '331', '158', '247', '437', '149', '278', '140', '293', '48', '329', '196', '269']
['342', '224', '404', '80', '184', '438', '277', '233', '284', '131', '71', '316', '127', '150', '16', '118', '203']
['174', '122', '296', '93', '377', '129', '106', '208', '5', '19', '421', '441', '356', '305', '449', '484', '195']
['495', '326', '275', '281', '179', '25', '197', '134', '341', '96', '11', '445', '476', '369', '312', '297', '442']
['130', '292', '314', '38', '463', '323', '154', '394', '412', '440', '70', '450', '288', '91', '354', '384', '26']
['128', '216', '254', '223', '287', '35', '226', '456', '306', '362', '334', '488', '49', '135', '85', '348', '424']
['33', '138', '462', '245', '265', '241', '252', '379', '322', '398', '234', '173', '112', '98', '232', '68', '383']
['355', '391', '211', '171', '485', '395', '73', '20', '177', '56', '408', '466', '418', '204', '274', '475', '365']
['157', '294', '192', '231', '419', '373', '66', '349', '273', '396', '201', '187', '227', '236', '123', '410', '434']
['217', '477', '146', '295', '142', '415', '100', '325', '468', '310', '21', '429', '351', '436', '121', '483', '124']
['90', '430', '166', '114', '439', '10', '210', '119', '209', '13', '218', '42', '446', '397', '156', '167', '431']
['264', '387', '401', '459', '111', '321', '416', '382', '307', '336', '18', '399', '455', '62', '206', '1', '145']
['162', '191', '53', '183', '159', '374', '82', '473', '188', '490', '84', '170', '392', '414', '482', '290', '332']
['92', '9', '222', '152', '470', '14', '261', '23', '105', '313', '164', '248', '133', '4', '413', '324', '81']
['318', '386', '74', '270', '327', '34', '182', '147', '137', '116', '423', '31', '59', '472', '3', '54', '181']
