['u4', 'b1', 'g8', 'n2', 't3', 'e7', 'o7', 'a7', 'v1', 'h5']
['k1', 'n4', 'g2', 'w10', 'j6', 'u6', 'e2', 'f9', 'x10', 'a6']
['b5', 'd9', 'e8', 'i6', 'x2', 'o5', 'r9', 'v8', 'p7', 'f2']
['d4', 'j2', 'g7', 'r10', 'd10', 'y10', 'p2', 'j3', 'l1', 's5']
['h4', 'l2', 'p1', 'u2', 'n7', 'e10', 'y9', 'd2', 'w9', 'r1']
['q10', 't7', 'l10', 'w1', 'm6', 'w5', 'r3', 'h1', 'h10', 'c8']
['x4', 'i10', 'c9', 'j10', 'v10', 'i4', 'u3', 'o10', 'q2', 'a3']
['a10', 't10', 'm9', 'q6', 'w8', 'k2', 'r5', 'k4', 'f10', 't1']
['h6', 'm5', 'c1', 'g6', 's2', 'e5', 'g5', 't4', 'u5', 'g9']
['u8', 'e9', 'b7', 'v5', 'b4', 'q4', 'k7', 'p6', 'v7', 'y3']
['o9', 'w2', 'o3', 'q8', 'y2', 'x7', 'c4', 'k8', 'y4', 'r7']
['p8', 'b8', 'i7', 'f4', 'v3', 'm4', 'y8', 'l6', 'a4', 'u9']
['l4', 's4', 'r4', 's1', 'm2', 'd6', 'x1', 'v4', 'l8', 't9']
['s6', 'j7', 'x5', 'e3', 'x9', 't5', 'n3', 'c10', 'i2', 'u7']
['x8', 'j1', 'd1', 'r2', 'w6', 'p10', 'm10', 'x3', 'h9', 'j5']
['f6', 'c2', 'n1', 'e1', 'v2', 'c7', 'p4', 'p3', 'm3', 'h8']
['s8', 'a2', 'n9', 'r8', 'n10', 'v6', 'j8', 'n5', 's10', 'q1']
['o4', 'r6', 'a8', 'g3', 'k3', 'k9', 'f7', 'd3', 'n6', 'o8']
['a5', 'j4', 'w7', 'd8', 'w3', 'g1', 'd5', 'e6', 'l9', 's9']
['o1', 'b2', 's3', 'f1', 'k10', 'a9', 'y6', 'k5', 'm1', 'b9']
['y7', 'i8', 'p5', 'l7', 't6', 'q3', 'c6', 'i9', 'b10', 'd7']
['o2', 't8', 'm7', 'h3', 'u1', 'i5', 'g10', 'j9', 'q7', 'c5']
['h2', 'a1', 'f5', 'v9', 'h7', 's7', 'f8', 'q5', 'x6', 'y5']
['o6', 't2', 'y1', 'q9', 'l5', 'm8', 'l3', 'n8', 'f3', 'c3']
['w4', 'i3', 'i1', 'e4', 'k6', 'u10', 'g4', 'b3', 'b6', 'p9']
