['82', '132', '34', '12', '60', '70', '65']
['169', '32', '108', '142', '190', '46', '181']
['45', '288', '66', '261', '121', '231', '94']
['298', '329', '292', '237', '146', '38', '347']
['242', '280', '315', '85', '201', '281', '223']
['109', '191', '167', '179', '232', '320', '209']
['331', '5', '59', '195', '148', '296', '11']
['138', '8', '1', '51', '101', '20', '124']
['151', '287', '183', '244', '134', '322', '222']
['243', '278', '133', '254', '229', '187', '257']
['180', '24', '238', '172', '239', '52', '284']
['137', '346', '200', '236', '171', '21', '107']
['251', '14', '78', '159', '178', '92', '266']
['58', '337', '63', '39', '197', '210', '272']
['47', '22', '327', '67', '264', '323', '157']
['336', '135', '212', '37', '269', '348', '143']
['294', '208', '291', '310', '343', '233', '106']
['341', '270', '218', '186', '79', '247', '199']
['43', '19', '241', '330', '72', '48', '117']
['125', '2', '139', '273', '112', '103', '128']
['224', '35', '90', '286', '297', '211', '75']
['7', '129', '36', '198', '313', '307', '282']
['140', '299', '202', '87', '98', '193', '318']
['163', '71', '312', '230', '253', '97', '26']
['55', '342', '311', '301', '136', '246', '216']
['219', '42', '309', '274', '189', '324', '4']
['23', '250', '267', '126', '277', '88', '217']
['328', '333', '152', '192', '15', '279', '227']
['99', '196', '141', '56', '144', '17', '258']
['158', '116', '226', '259', '150', '256', '206']
['122', '13', '83', '194', '340', '176', '40']
['308', '18', '164', '96', '145', '268', '316']
['111', '204', '69', '335', '91', '86', '165']
['31', '339', '290', '28', '213', '182', '30']
['326', '113', '262', '265', '345', '168', '80']
['68', '62', '175', '184', '344', '228', '285']
['149', '252', '53', '73', '44', '160', '155']
['205', '130', '118', '221', '255', '249', '185']
['260', '334', '156', '102', '162', '154', '61']
['131', '170', '95', '161', '173', '293', '64']
['25', '338', '350', '245', '248', '325', '332']
['305', '275', '203', '147', '120', '54', '6']
['100', '289', '104', '89', '27', '276', '177']
['127', '215', '49', '10', '319', '74', '306']
['174', '93', '114', '33', '349', '303', '188']
['235', '166', '77', '9', '220', '119', '123']
['29', '295', '283', '41', '153', '3', '50']
['317', '57', '105', '314', '321', '300', '263']
['207', '16', '84', '110', '302', '76', '271']
['225', '240', '234', '304', '81', '115', '214']
