['186', '148', '215', '221', '25']
['178', '60', '41', '51', '167']
['35', '29', '125', '213', '24']
['74', '84', '159', '199', '241']
['122', '15', '173', '218', '118']
['193', '32', '23', '111', '70']
['112', '1', '114', '56', '86']
['132', '96', '141', '65', '39']
['235', '134', '138', '11', '202']
['31', '207', '214', '48', '80']
['47', '40', '45', '14', '170']
['87', '169', '208', '126', '101']
['85', '224', '231', '63', '88']
['27', '229', '99', '58', '79']
['203', '123', '187', '147', '162']
['168', '71', '209', '243', '53']
['140', '72', '192', '67', '245']
['107', '211', '5', '194', '43']
['12', '30', '198', '37', '166']
['105', '116', '22', '196', '92']
['165', '161', '7', '180', '17']
['50', '149', '33', '3', '246']
['93', '73', '57', '77', '16']
['90', '109', '226', '55', '222']
['216', '230', '144', '156', '131']
['38', '205', '106', '91', '8']
['223', '127', '68', '239', '210']
['142', '150', '103', '206', '62']
['172', '155', '89', '240', '82']
['181', '95', '94', '42', '233']
['177', '163', '81', '97', '145']
['61', '13', '136', '220', '185']
['153', '28', '189', '238', '69']
['34', '219', '19', '182', '191']
['188', '119', '104', '36', '121']
['143', '64', '10', '154', '217']
['184', '78', '54', '75', '115']
['197', '49', '18', '98', '76']
['183', '201', '128', '124', '171']
['52', '137', '102', '66', '247']
['249', '21', '139', '130', '152']
['234', '151', '2', '228', '110']
['232', '244', '157', '113', '108']
['212', '20', '242', '237', '44']
['0', '9', '117', '200', '174']
['227', '204', '190', '26', '129']
['179', '120', '175', '146', '59']
['160', '133', '164', '46', '225']
['236', '158', '100', '195', '176']
['248', '6', '4', '83', '135']
