['98', '397', '124', '93', '189', '39', '367', '224', '400', '334', '446', '192', '471', '132', '444', '280', '344']
['245', '492', '171', '199', '184', '342', '161', '335', '481', '60', '403', '260', '74', '175', '12', '156', '482']
['180', '365', '438', '495', '37', '241', '202', '361', '47', '188', '347', '396', '300', '196', '297', '238', '225']
['21', '418', '152', '65', '82', '426', '362', '15', '155', '273', '411', '487', '73', '77', '279', '131', '30']
['31', '115', '135', '292', '364', '128', '91', '452', '479', '141', '457', '399', '285', '209', '157', '470']
['382', '423', '272', '433', '130', '230', '369', '447', '123', '441', '345', '337', '331', '212', '193', '140']
['252', '358', '179', '174', '229', '129', '111', '329', '378', '393', '50', '110', '371', '408', '207', '417']
['302', '287', '240', '122', '434', '99', '206', '346', '383', '34', '220', '105', '181', '0', '107', '87']
['429', '222', '217', '83', '284', '381', '353', '255', '498', '219', '228', '187', '2', '159', '261', '9']
['104', '385', '178', '29', '456', '249', '493', '321', '269', '94', '265', '167', '298', '116', '268', '405']
['197', '275', '264', '100', '466', '299', '401', '25', '440', '368', '496', '315', '310', '79', '476', '203']
['431', '213', '388', '339', '286', '81', '11', '430', '485', '69', '349', '227', '306', '488', '5', '250']
['136', '149', '483', '413', '191', '51', '341', '303', '267', '278', '38', '201', '168', '71', '49', '165']
['276', '450', '137', '92', '160', '10', '458', '317', '148', '314', '301', '389', '205', '57', '309', '454']
['86', '120', '176', '283', '186', '150', '24', '289', '254', '235', '172', '395', '166', '53', '204', '23']
['428', '52', '145', '58', '460', '85', '462', '134', '461', '194', '4', '103', '318', '162', '48', '308']
['72', '478', '392', '3', '13', '326', '270', '95', '311', '465', '237', '143', '133', '70', '443', '366']
['17', '177', '425', '404', '390', '406', '282', '340', '409', '330', '247', '333', '61', '472', '451', '356']
['142', '386', '112', '312', '379', '45', '295', '494', '332', '291', '343', '46', '257', '391', '375', '372']
['214', '42', '76', '271', '420', '173', '169', '323', '151', '412', '125', '490', '89', '355', '338', '350']
['480', '394', '96', '119', '164', '211', '293', '415', '226', '477', '421', '263', '154', '468', '54', '414']
['373', '497', '195', '63', '108', '281', '19', '360', '231', '28', '66', '290', '185', '253', '41', '442']
['348', '234', '322', '325', '182', '320', '18', '35', '246', '262', '218', '101', '370', '316', '118', '474']
['387', '464', '117', '416', '319', '16', '67', '106', '147', '499', '277', '208', '88', '376', '491', '126']
['463', '32', '453', '75', '448', '296', '436', '153', '8', '251', '384', '146', '258', '33', '138', '374']
['359', '351', '336', '26', '97', '56', '62', '475', '14', '113', '215', '80', '489', '352', '139', '90']
['327', '469', '357', '377', '236', '221', '36', '354', '127', '163', '170', '223', '244', '445', '59', '40']
['380', '459', '419', '439', '266', '274', '427', '467', '44', '55', '158', '484', '307', '6', '232', '7']
['259', '455', '248', '198', '239', '102', '27', '1', '20', '210', '183', '256', '144', '435', '324', '407']
['473', '22', '114', '216', '398', '288', '424', '84', '410', '243', '422', '313', '402', '200', '242', '109']
['43', '305', '64', '328', '190', '304', '121', '363', '78', '68', '437', '449', '233', '294', '486', '432']
