['a74', 'a112', 'a412', 'a149', 'a15', 'a233', 'a405', 'a357', 'a150', 'a448', 'a105', 'a57']
['a16', 'a206', 'a173', 'a142', 'a346', 'a473', 'a124', 'a392', 'a274', 'a161', 'a102', 'a318']
['a332', 'a76', 'a404', 'a33', 'a474', 'a310', 'a90', 'a72', 'a286', 'a24', 'a211', 'a163']
['a37', 'a294', 'a429', 'a345', 'a307', 'a260', 'a333', 'a13', 'a313', 'a45', 'a123', 'a190']
['a160', 'a251', 'a23', 'a368', 'a337', 'a359', 'a56', 'a9', 'a171', 'a388', 'a225', 'a381']
['a108', 'a353', 'a435', 'a96', 'a315', 'a71', 'a275', 'a403', 'a222', 'a348', 'a462', 'a77']
['a79', 'a471', 'a391', 'a463', 'a238', 'a40', 'a290', 'a323', 'a63', 'a209', 'a219', 'a469']
['a456', 'a386', 'a411', 'a55', 'a48', 'a227', 'a218', 'a407', 'a277', 'a154', 'a252', 'a393']
['a454', 'a445', 'a330', 'a461', 'a475', 'a115', 'a165', 'a401', 'a460', 'a114', 'a144', 'a425']
['a271', 'a94', 'a39', 'a365', 'a137', 'a338', 'a312', 'a316', 'a256', 'a126', 'a130', 'a410']
['a66', 'a152', 'a20', 'a3', 'a414', 'a180', 'a162', 'a240', 'a424', 'a101', 'a80', 'a215']
['a170', 'a135', 'a335', 'a207', 'a147', 'a157', 'a306', 'a27', 'a351', 'a280', 'a223', 'a431']
['a32', 'a327', 'a193', 'a185', 'a195', 'a373', 'a194', 'a279', 'a350', 'a129', 'a145', 'a253']
['a362', 'a153', 'a179', 'a85', 'a472', 'a441', 'a336', 'a409', 'a477', 'a36', 'a319', 'a125']
['a302', 'a234', 'a54', 'a288', 'a51', 'a46', 'a340', 'a25', 'a356', 'a287', 'a140', 'a84']
['a285', 'a326', 'a467', 'a317', 'a192', 'a257', 'a379', 'a196', 'a174', 'a203', 'a198', 'a265']
['a273', 'a400', 'a344', 'a450', 'a458', 'a118', 'a204', 'a159', 'a390', 'a44', 'a103', 'a276']
['a17', 'a289', 'a466', 'a465', 'a65', 'a421', 'a239', 'a399', 'a398', 'a12', 'a199', 'a262']
['a376', 'a270', 'a220', 'a186', 'a369', 'a420', 'a156', 'a11', 'a320', 'a191', 'a62', 'a322']
['a50', 'a428', 'a329', 'a178', 'a343', 'a132', 'a281', 'a169', 'a446', 'a418', 'a82', 'a213']
['a208', 'a377', 'a413', 'a28', 'a397', 'a389', 'a113', 'a158', 'a68', 'a352', 'a189', 'a47']
['a31', 'a201', 'a70', 'a49', 'a184', 'a226', 'a452', 'a305', 'a396', 'a314', 'a449', 'a328']
['a121', 'a116', 'a470', 'a89', 'a437', 'a255', 'a241', 'a4', 'a370', 'a358', 'a380', 'a120']
['a237', 'a146', 'a416', 'a292', 'a261', 'a480', 'a347', 'a200', 'a216', 'a205', 'a14', 'a341']
['a419', 'a299', 'a254', 'a109', 'a122', 'a127', 'a34', 'a83', 'a182', 'a432', 'a52', 'a451']
['a224', 'a42', 'a291', 'a136', 'a231', 'a64', 'a264', 'a478', 'a168', 'a378', 'a107', 'a98']
['a394', 'a104', 'a459', 'a442', 'a176', 'a417', 'a304', 'a268', 'a243', 'a131', 'a269', 'a453']
['a81', 'a282', 'a202', 'a301', 'a95', 'a324', 'a354', 'a311', 'a141', 'a172', 'a35', 'a272']
['a468', 'a443', 'a117', 'a296', 'a366', 'a7', 'a8', 'a177', 'a436', 'a248', 'a183', 'a93']
['a30', 'a374', 'a167', 'a325', 'a427', 'a364', 'a187', 'a6', 'a383', 'a21', 'a259', 'a321']
['a78', 'a188', 'a464', 'a283', 'a97', 'a87', 'a228', 'a298', 'a133', 'a339', 'a284', 'a148']
['a430', 'a455', 'a119', 'a242', 'a164', 'a440', 'a406', 'a175', 'a232', 'a423', 'a457', 'a212']
['a155', 'a217', 'a73', 'a99', 'a415', 'a363', 'a236', 'a26', 'a41', 'a438', 'a361', 'a92']
['a303', 'a360', 'a210', 'a278', 'a258', 'a372', 'a60', 'a331', 'a69', 'a61', 'a134', 'a447']
['a308', 'a59', 'a86', 'a229', 'a422', 'a300', 'a138', 'a295', 'a371', 'a426', 'a439', 'a5']
['a263', 'a444', 'a110', 'a395', 'a100', 'a221', 'a297', 'a402', 'a408', 'a355', 'a385', 'a29']
['a106', 'a19', 'a38', 'a230', 'a111', 'a166', 'a53', 'a75', 'a214', 'a266', 'a267', 'a67']
['a309', 'a244', 'a10', 'a249', 'a247', 'a143', 'a22', 'a88', 'a151', 'a2', 'a349', 'a479']
['a139', 'a293', 'a18', 'a181', 'a334', 'a367', 'a245', 'a342', 'a58', 'a128', 'a197', 'a246']
['a434', 'a384', 'a1', 'a43', 'a250', 'a235', 'a91', 'a387', 'a382', 'a375', 'a476', 'a433']
