['a144', 'a124', 'a195', 'a51', 'a173', 'a6', 'a134', 'a91', 'a147', 'a149']
['a37', 'a75', 'a174', 'a22', 'a177', 'a4', 'a102', 'a38', 'a54', 'a92']
['a154', 'a70', 'a110', 'a214', 'a245', 'a241', 'a247', 'a73', 'a210', 'a199']
['a105', 'a86', 'a217', 'a33', 'a230', 'a184', 'a79', 'a80', 'a192', 'a34']
['a35', 'a126', 'a248', 'a178', 'a183', 'a146', 'a16', 'a98', 'a208', 'a61']
['a219', 'a53', 'a158', 'a106', 'a223', 'a187', 'a139', 'a82', 'a215', 'a176']
['a50', 'a77', 'a48', 'a21', 'a56', 'a119', 'a236', 'a155', 'a216', 'a114']
['a162', 'a163', 'a117', 'a29', 'a211', 'a198', 'a81', 'a3', 'a141', 'a55']
['a148', 'a157', 'a188', 'a201', 'a233', 'a135', 'a172', 'a113', 'a239', 'a18']
['a108', 'a197', 'a83', 'a196', 'a84', 'a74', 'a107', 'a167', 'a190', 'a200']
['a26', 'a59', 'a175', 'a24', 'a130', 'a228', 'a242', 'a15', 'a116', 'a123']
['a7', 'a207', 'a145', 'a66', 'a221', 'a103', 'a156', 'a125', 'a13', 'a43']
['a151', 'a226', 'a45', 'a168', 'a101', 'a170', 'a166', 'a39', 'a143', 'a237']
['a85', 'a182', 'a100', 'a169', 'a165', 'a185', 'a181', 'a153', 'a63', 'a234']
['a159', 'a194', 'a202', 'a150', 'a17', 'a129', 'a218', 'a140', 'a90', 'a249']
['a44', 'a111', 'a131', 'a49', 'a212', 'a193', 'a232', 'a78', 'a68', 'a11']
['a137', 'a142', 'a58', 'a133', 'a23', 'a8', 'a180', 'a64', 'a31', 'a97']
['a238', 'a227', 'a235', 'a41', 'a0', 'a25', 'a76', 'a243', 'a240', 'a60']
['a28', 'a138', 'a128', 'a52', 'a222', 'a225', 'a72', 'a229', 'a136', 'a121']
['a67', 'a224', 'a104', 'a204', 'a179', 'a127', 'a95', 'a94', 'a87', 'a57']
['a30', 'a203', 'a88', 'a36', 'a209', 'a62', 'a9', 'a42', 'a20', 'a186']
['a118', 'a5', 'a160', 'a244', 'a189', 'a65', 'a205', 'a10', 'a12', 'a47']
['a32', 'a14', 'a206', 'a93', 'a1', 'a132', 'a2', 'a171', 'a69', 'a122']
['a246', 'a161', 'a96', 'a213', 'a220', 'a89', 'a231', 'a109', 'a112', 'a115']
['a99', 'a27', 'a191', 'a71', 'a152', 'a120', 'a46', 'a19', 'a164', 'a40']
