['135', '277', '467', '231', '458', '422', '248', '145', '327', '114']
['236', '11', '386', '219', '336', '382', '291', '150', '438', '169']
['225', '461', '89', '233', '190', '356', '178', '105', '367', '286']
['125', '48', '355', '347', '58', '83', '194', '256', '449', '426']
['93', '172', '28', '72', '113', '24', '368', '246', '244', '362']
['119', '333', '201', '466', '20', '469', '209', '44', '118', '106']
['285', '212', '26', '100', '40', '129', '473', '149', '383', '425']
['323', '218', '254', '131', '171', '284', '316', '90', '472', '144']
['251', '399', '71', '380', '403', '153', '312', '161', '465', '101']
['13', '479', '7', '462', '337', '137', '192', '14', '334', '314']
['365', '175', '123', '16', '138', '348', '384', '148', '191', '299']
['61', '460', '398', '378', '9', '196', '447', '340', '363', '167']
['73', '305', '253', '78', '136', '257', '156', '37', '455', '310']
['134', '12', '329', '445', '202', '315', '498', '147', '353', '345']
['376', '255', '264', '456', '154', '459', '117', '241', '42', '350']
['276', '27', '261', '81', '296', '183', '332', '379', '76', '140']
['475', '499', '69', '221', '152', '393', '290', '424', '215', '112']
['49', '413', '489', '29', '34', '22', '124', '307', '492', '210']
['33', '19', '292', '237', '328', '5', '107', '159', '108', '281']
['412', '480', '263', '317', '275', '247', '443', '121', '59', '250']
['63', '371', '311', '227', '351', '4', '51', '259', '177', '46']
['260', '288', '338', '208', '491', '126', '419', '133', '452', '85']
['262', '446', '444', '120', '389', '204', '306', '313', '366', '302']
['409', '23', '75', '273', '457', '139', '32', '373', '364', '411']
['184', '258', '197', '415', '41', '1', '474', '163', '427', '486']
['490', '476', '478', '182', '487', '99', '318', '91', '433', '15']
['17', '319', '321', '242', '213', '385', '66', '436', '252', '64']
['160', '180', '54', '198', '80', '450', '228', '270', '331', '0']
['289', '274', '421', '151', '18', '158', '388', '164', '468', '230']
['157', '358', '269', '493', '3', '68', '115', '442', '432', '128']
['47', '397', '352', '484', '39', '381', '249', '55', '214', '30']
['88', '205', '185', '330', '471', '60', '287', '2', '222', '293']
['109', '303', '141', '186', '206', '199', '53', '130', '396', '168']
['320', '170', '404', '56', '234', '271', '278', '324', '132', '326']
['304', '354', '477', '482', '430', '435', '439', '243', '92', '176']
['6', '370', '94', '232', '375', '122', '223', '423', '265', '146']
['102', '387', '280', '395', '394', '495', '25', '360', '216', '143']
['309', '295', '179', '266', '322', '346', '417', '267', '155', '279']
['406', '420', '238', '282', '341', '434', '229', '481', '82', '21']
['453', '127', '301', '226', '162', '497', '189', '193', '392', '343']
['470', '70', '166', '52', '361', '35', '195', '220', '103', '335']
['339', '95', '36', '142', '451', '369', '391', '181', '463', '77']
['10', '45', '408', '441', '57', '245', '67', '224', '207', '357']
['165', '38', '485', '188', '116', '402', '410', '416', '496', '96']
['401', '300', '437', '62', '400', '297', '239', '344', '390', '483']
['372', '65', '308', '440', '235', '217', '298', '240', '294', '464']
['431', '283', '111', '84', '31', '74', '342', '203', '272', '377']
['268', '349', '405', '448', '104', '211', '110', '429', '86', '407']
['98', '43', '79', '414', '200', '8', '359', '454', '428', '494']
['50', '374', '174', '325', '488', '87', '173', '97', '187', '418']
