['352', '64', '261', '395', '365']
['228', '308', '102', '31', '279']
['0', '342', '270', '399', '176']
['177', '171', '460', '252', '32']
['361', '9', '310', '288', '387']
['493', '358', '199', '386', '191']
['18', '299', '283', '75', '242']
['340', '97', '8', '46', '255']
['169', '254', '253', '94', '100']
['277', '1', '159', '208', '113']
['330', '192', '484', '237', '432']
['487', '125', '179', '281', '265']
['303', '20', '362', '260', '156']
['30', '142', '77', '356', '153']
['477', '187', '485', '71', '463']
['55', '275', '418', '329', '201']
['43', '3', '429', '58', '355']
['150', '309', '160', '285', '34']
['116', '368', '202', '118', '63']
['419', '98', '274', '101', '141']
['120', '219', '461', '85', '416']
['400', '92', '452', '290', '425']
['161', '431', '495', '273', '391']
['53', '147', '320', '448', '128']
['458', '48', '313', '298', '250']
['351', '317', '334', '136', '236']
['158', '7', '213', '108', '83']
['325', '104', '218', '337', '25']
['204', '268', '162', '472', '174']
['439', '307', '427', '15', '38']
['93', '430', '124', '207', '180']
['127', '433', '269', '238', '257']
['243', '126', '206', '130', '256']
['470', '222', '465', '103', '54']
['278', '412', '247', '411', '79']
['437', '398', '377', '203', '50']
['312', '327', '69', '121', '374']
['61', '198', '172', '443', '401']
['360', '40', '52', '233', '41']
['405', '402', '318', '230', '249']
['231', '294', '300', '88', '234']
['469', '68', '157', '457', '390']
['409', '14', '381', '408', '190']
['359', '225', '216', '12', '205']
['363', '428', '436', '209', '331']
['446', '244', '442', '262', '145']
['117', '382', '471', '480', '321']
['467', '379', '424', '229', '343']
['26', '221', '220', '81', '364']
['271', '316', '227', '232', '420']
['483', '413', '264', '5', '91']
['51', '369', '37', '22', '295']
['10', '284', '2', '497', '272']
['241', '371', '324', '139', '60']
['240', '444', '129', '152', '373']
['59', '267', '314', '486', '410']
['346', '482', '367', '166', '138']
['332', '263', '33', '476', '392']
['384', '323', '170', '451', '438']
['57', '475', '151', '338', '47']
['235', '462', '80', '434', '215']
['165', '383', '195', '163', '164']
['149', '258', '66', '496', '291']
['353', '417', '181', '211', '197']
['73', '223', '115', '276', '370']
['44', '148', '154', '333', '155']
['490', '489', '494', '105', '394']
['326', '335', '328', '114', '217']
['65', '380', '248', '133', '21']
['84', '315', '349', '86', '311']
['106', '175', '372', '453', '49']
['11', '13', '468', '407', '56']
['239', '426', '345', '421', '302']
['19', '456', '251', '440', '99']
['282', '62', '357', '301', '144']
['246', '135', '200', '210', '473']
['76', '354', '173', '347', '306']
['42', '287', '297', '110', '245']
['143', '67', '146', '6', '72']
['182', '28', '498', '339', '119']
['292', '194', '388', '95', '397']
['226', '375', '74', '385', '479']
['184', '109', '23', '185', '403']
['464', '96', '16', '186', '393']
['27', '36', '78', '441', '293']
['376', '35', '183', '266', '305']
['389', '224', '87', '406', '122']
['491', '322', '140', '450', '286']
['422', '396', '289', '492', '82']
['112', '137', '341', '178', '466']
['212', '435', '107', '474', '259']
['488', '17', '131', '344', '304']
['45', '193', '280', '454', '414']
['481', '350', '188', '189', '455']
['319', '90', '378', '423', '459']
['447', '167', '348', '4', '70']
['296', '168', '134', '449', '123']
['89', '132', '336', '111', '39']
['29', '366', '415', '196', '499']
['24', '214', '445', '404', '478']
