['199', '388', '179', '417', '334', '14', '191', '138', '440', '61', '433', '126', '130', '476', '269', '30']
['277', '221', '309', '137', '316', '186', '468', '315', '165', '25', '103', '295', '398', '327', '71', '155']
['33', '230', '474', '168', '222', '306', '446', '373', '369', '297', '272', '313', '43', '495', '447', '36']
['209', '278', '52', '247', '471', '225', '402', '144', '11', '374', '212', '101', '1', '284', '195', '220']
['12', '328', '62', '19', '142', '451', '232', '496', '457', '243', '18', '449', '40', '154', '493', '279']
['201', '28', '22', '462', '10', '459', '251', '208', '467', '44', '254', '56', '434', '63', '196', '271']
['263', '409', '42', '370', '452', '218', '355', '193', '410', '298', '325', '415', '114', '38', '166', '6']
['45', '430', '169', '141', '147', '260', '127', '314', '425', '421', '258', '338', '87', '345', '185', '456']
['173', '357', '367', '354', '473', '244', '492', '346', '436', '450', '288', '465', '204', '150', '7', '2']
['460', '302', '356', '330', '257', '31', '349', '187', '238', '203', '397', '285', '387', '246', '455', '291']
['35', '160', '58', '375', '143', '100', '237', '140', '117', '431', '312', '391', '149', '463', '110', '392']
['426', '485', '151', '214', '217', '365', '381', '441', '482', '424', '311', '207', '396', '125', '454', '189']
['323', '401', '362', '94', '162', '9', '73', '347', '340', '479', '229', '337', '233', '128', '182', '403']
['249', '83', '81', '210', '413', '135', '97', '308', '121', '366', '106', '109', '326', '190', '324', '164']
['386', '363', '145', '181', '411', '122', '198', '163', '348', '170', '443', '293', '427', '205', '133', '329']
['236', '380', '494', '13', '104', '300', '353', '75', '85', '360', '167', '368', '481', '111', '253', '490']
['423', '89', '108', '131', '46', '136', '152', '439', '120', '469', '53', '184', '241', '318', '82', '70']
['21', '359', '399', '351', '286', '480', '264', '372', '281', '129', '371', '74', '67', '420', '175', '55']
['307', '115', '383', '266', '259', '458', '256', '76', '262', '477', '213', '32', '102', '51', '491', '358']
['116', '429', '223', '27', '336', '418', '406', '341', '65', '69', '118', '26', '248', '174', '119', '319']
['290', '335', '270', '93', '445', '23', '72', '48', '107', '200', '301', '24', '3', '54', '261', '416']
['361', '158', '180', '385', '91', '282', '292', '342', '350', '113', '146', '112', '224', '171', '41', '289']
['394', '408', '78', '442', '435', '216', '153', '320', '287', '88', '16', '20', '437', '332', '377', '183']
['489', '231', '310', '475', '124', '50', '453', '393', '90', '252', '404', '60', '79', '17', '228', '275']
['280', '407', '303', '29', '234', '194', '99', '382', '276', '322', '80', '159', '331', '412', '178', '344']
['156', '206', '255', '215', '176', '267', '400', '294', '321', '488', '299', '274', '211', '478', '239', '461']
['188', '157', '486', '448', '49', '235', '161', '5', '333', '177', '8', '15', '376', '339', '265', '389']
['139', '77', '132', '438', '422', '432', '34', '96', '240', '197', '59', '245', '148', '172', '227', '84']
['219', '86', '47', '64', '37', '483', '378', '283', '379', '296', '202', '123', '226', '304', '95', '250']
['105', '305', '472', '395', '98', '92', '66', '4', '57', '466', '242', '464', '352', '414', '484', '343']
['428', '39', '470', '384', '317', '364', '192', '405', '390', '134', '444', '273', '487', '419', '268', '68']
