['317', '388', '305', '125', '59', '335', '5', '288', '198', '290', '29']
['51', '270', '67', '380', '397', '209', '340', '336', '372', '174']
['9', '127', '189', '396', '196', '126', '201', '377', '191', '49']
['366', '374', '43', '4', '303', '353', '328', '118', '266', '81']
['183', '176', '68', '354', '314', '268', '159', '178', '235', '324']
['19', '121', '57', '251', '212', '285', '65', '89', '101', '234']
['349', '169', '138', '359', '342', '214', '364', '331', '114', '120']
['398', '272', '150', '334', '140', '227', '333', '337', '391', '50']
['326', '277', '171', '296', '153', '379', '17', '142', '75', '146']
['107', '131', '222', '322', '386', '108', '362', '255', '66', '170']
['231', '243', '250', '69', '62', '184', '238', '302', '35', '141']
['316', '237', '215', '147', '378', '400', '280', '1', '221', '52']
['315', '167', '294', '99', '276', '73', '158', '76', '45', '265']
['375', '297', '136', '18', '46', '383', '20', '123', '36', '348']
['192', '90', '194', '287', '384', '278', '24', '143', '185', '91']
['358', '254', '22', '208', '213', '134', '181', '180', '257', '327']
['187', '282', '164', '117', '224', '84', '133', '370', '218', '3']
['21', '87', '289', '64', '31', '343', '329', '106', '188', '365']
['13', '47', '115', '293', '41', '157', '139', '394', '54', '124']
['95', '323', '376', '345', '151', '82', '166', '281', '371', '307']
['338', '78', '382', '129', '132', '247', '172', '240', '330', '211']
['11', '392', '220', '219', '2', '263', '34', '60', '79', '244']
['232', '283', '320', '390', '48', '149', '55', '56', '279', '284']
['318', '98', '119', '96', '105', '173', '260', '15', '190', '160']
['128', '10', '226', '113', '97', '182', '86', '311', '309', '72']
['261', '0', '350', '298', '94', '332', '295', '6', '199', '308']
['27', '193', '88', '299', '304', '23', '236', '165', '319', '233']
['186', '144', '122', '239', '8', '77', '14', '258', '245', '102']
['109', '112', '306', '154', '355', '26', '339', '12', '253', '74']
['30', '252', '152', '249', '269', '42', '103', '168', '292', '399']
['300', '37', '206', '344', '200', '264', '203', '301', '61', '163']
['53', '216', '367', '92', '223', '110', '228', '230', '313', '248']
['360', '369', '104', '246', '381', '145', '321', '346', '202', '207']
['286', '291', '85', '310', '341', '225', '273', '40', '361', '39']
['63', '274', '351', '93', '137', '217', '356', '70', '111', '25']
['357', '162', '83', '156', '32', '259', '352', '262', '387', '312']
['80', '16', '210', '229', '33', '135', '385', '205', '7', '395']
['155', '271', '275', '38', '161', '256', '368', '241', '58', '393']
['373', '116', '204', '177', '197', '363', '175', '267', '28', '179']
['148', '347', '389', '44', '71', '130', '242', '325', '195', '100']
