['99', '211', '233']
['110', '224', '481']
['490', '113', '364']
['344', '108', '69']
['100', '467', '231']
['247', '161', '107']
['125', '230', '182']
['148', '75', '422']
['456', '303', '347']
['401', '140', '279']
['147', '186', '411']
['50', '54', '45']
['352', '49', '207']
['442', '282', '388']
['238', '152', '376']
['299', '460', '385']
['444', '146', '323']
['165', '135', '130']
['34', '98', '439']
['195', '368', '301']
['250', '473', '300']
['170', '365', '278']
['228', '373', '115']
['242', '28', '86']
['394', '239', '400']
['19', '96', '183']
['103', '21', '447']
['56', '446', '423']
['48', '466', '236']
['127', '491', '2']
['81', '59', '314']
['114', '333', '215']
['288', '126', '257']
['358', '134', '91']
['372', '328', '82']
['459', '453', '105']
['188', '487', '157']
['44', '10', '331']
['102', '197', '42']
['492', '5', '65']
['455', '359', '451']
['232', '121', '396']
['498', '212', '283']
['29', '427', '496']
['51', '381', '83']
['122', '261', '16']
['285', '349', '119']
['470', '84', '383']
['37', '0', '270']
['290', '471', '15']
['67', '41', '391']
['173', '85', '190']
['139', '309', '145']
['234', '204', '488']
['409', '26', '402']
['214', '463', '70']
['253', '311', '97']
['413', '289', '39']
['326', '176', '334']
['397', '227', '225']
['304', '160', '313']
['256', '94', '493']
['393', '11', '6']
['415', '251', '217']
['392', '374', '483']
['329', '112', '464']
['68', '166', '273']
['465', '426', '142']
['410', '312', '198']
['360', '292', '438']
['469', '131', '144']
['162', '425', '178']
['489', '203', '335']
['480', '226', '361']
['223', '136']
['495', '445']
['341', '177']
['222', '150']
['308', '104']
['407', '43']
['149', '277']
['307', '141']
['408', '454']
['36', '206']
['457', '187']
['362', '128']
['220', '20']
['151', '357']
['181', '73']
['475', '430']
['340', '363']
['434', '92']
['315', '137']
['302', '80']
['9', '30']
['339', '287']
['436', '25']
['458', '276']
['343', '377']
['258', '267']
['404', '255']
['305', '244']
['40', '286']
['133', '8']
['154', '216']
['138', '172']
['337', '229']
['306', '159']
['395', '189']
['398', '243']
['497', '27']
['414', '406']
['184', '12']
['60', '174']
['332', '87']
['33', '79']
['202', '46']
['418', '416']
['93', '387']
['235', '199']
['350', '389']
['31', '428']
['293', '342']
['450', '76']
['268', '191']
['55', '320']
['35', '88']
['185', '180']
['179', '452']
['443', '281']
['431', '106']
['280', '476']
['260', '245']
['63', '325']
['298', '367']
['275', '213']
['248', '111']
['316', '472']
['375', '386']
['330', '219']
['89', '14']
['384', '61']
['101', '24']
['163', '272']
['169', '338']
['196', '354']
['449', '192']
['353', '240']
['295', '345']
['319', '420']
['494', '74']
['58', '477']
['482', '435']
['194', '294']
['296', '175']
['274', '484']
['164', '129']
['336', '419']
['64', '479']
['209', '77']
['117', '271']
['424', '23']
['390', '421']
['262', '90']
['366', '249']
['441', '18']
['324', '17']
['263', '499']
['291', '327']
['485', '210']
['321', '382']
['47', '322']
['57', '259']
['109', '468']
['269', '317']
['246', '440']
['448', '208']
['66', '266']
['32', '429']
['168', '205']
['478', '132']
['200', '62']
['153', '252']
['380', '351']
['7', '22']
['218', '462']
['417', '4']
['433', '171']
['13', '78']
['379', '346']
['72', '399']
['71', '124']
['95', '254']
['310', '403']
['193', '355']
['486', '156']
['221', '52']
['437', '167']
['461', '123']
['369', '143']
['201', '265']
['370', '155']
['297', '432']
['38', '1']
['118', '405']
['318', '237']
['474', '158']
['378', '3']
['116', '371']
['120', '53']
['264', '241']
['284', '356']
['412', '348']
