['300', '382', '63', '167', '258', '218', '396', '189', '397', '284', '21', '121', '265', '108']
['280', '239', '375', '127', '40', '184', '58', '336', '61', '38', '131', '74', '1', '240']
['59', '194', '113', '249', '48', '350', '138', '4', '324', '308', '325', '204', '318', '84']
['82', '269', '149', '294', '155', '117', '275', '8', '259', '16', '307', '313', '256', '346']
['157', '165', '369', '314', '359', '54', '371', '151', '329', '333', '376', '321', '292', '79']
['56', '254', '326', '50', '140', '289', '103', '266', '303', '205', '144', '183', '0', '387']
['128', '34', '13', '393', '229', '66', '283', '86', '142', '22', '366', '28', '252', '206']
['226', '362', '37', '2', '262', '395', '301', '245', '383', '176', '299', '191', '137', '118']
['87', '199', '55', '126', '14', '217', '147', '92', '312', '230', '340', '124', '223']
['320', '260', '27', '310', '212', '139', '390', '344', '330', '232', '365', '282', '285']
['187', '114', '316', '337', '345', '9', '35', '85', '188', '291', '190', '60', '46']
['278', '148', '116', '125', '248', '237', '93', '306', '115', '277', '44', '120', '57']
['347', '177', '19', '42', '367', '315', '290', '244', '30', '335', '186', '132', '7']
['354', '368', '51', '95', '69', '24', '225', '328', '389', '263', '351', '234', '338']
['253', '247', '62', '5', '388', '193', '173', '154', '380', '317', '378', '227', '76']
['246', '166', '143', '353', '179', '332', '276', '267', '145', '231', '18', '293', '52']
['97', '228', '349', '20', '236', '88', '6', '39', '99', '171', '178', '200', '370']
['89', '94', '41', '172', '106', '208', '356', '134', '111', '158', '251', '98', '268']
['341', '64', '101', '352', '386', '65', '261', '90', '180', '295', '281', '174', '150']
['163', '152', '32', '181', '374', '102', '311', '170', '384', '182', '270', '372', '110']
['364', '327', '17', '394', '207', '11', '391', '221', '135', '309', '107', '203', '3']
['361', '49', '274', '319', '104', '339', '130', '322', '211', '297', '91', '215', '53']
['392', '286', '210', '10', '68', '15', '162', '75', '47', '175', '377', '192', '224']
['264', '33', '96', '141', '159', '271', '288', '100', '105', '242', '119', '201', '77']
['72', '216', '168', '164', '36', '45', '29', '363', '123', '197', '243', '385', '209']
['287', '213', '379', '272', '373', '146', '198', '222', '78', '195', '23', '334', '160']
['348', '235', '331', '296', '220', '255', '381', '26', '67', '156', '279', '302', '109']
['323', '80', '73', '161', '169', '153', '360', '250', '31', '25', '214', '129', '357']
['273', '358', '185', '122', '43', '70', '343', '12', '241', '71', '304', '112', '133']
['81', '298', '305', '136', '355', '233', '83', '196', '202', '257', '342', '238', '219']
