['11', '30', '19', '166', '270', '281', '350']
['208', '287', '88', '91', '47', '117', '182']
['66', '40', '75', '190', '348', '163', '192']
['96', '305', '152', '210', '173', '194', '316']
['318', '68', '155', '120', '27', '51', '222']
['14', '286', '56', '274', '189', '21', '148']
['309', '82', '211', '333', '202', '53', '242']
['86', '238', '45', '216', '7', '39', '58']
['225', '153', '199', '122', '161', '168', '50']
['113', '200', '114', '106', '63', '24', '124']
['28', '26', '31', '17', '123', '178', '324']
['278', '71', '49', '55', '110', '43', '228']
['296', '25', '213', '64', '69', '295', '97']
['84', '187', '308', '255', '231', '244', '227']
['100', '181', '89', '157', '207', '90', '279']
['256', '346', '229', '268', '164', '162', '304']
['198', '67', '317', '38', '127', '235', '20']
['329', '183', '134', '44', '83', '103', '184']
['204', '5', '140', '9', '99', '313', '62']
['336', '301', '292', '48', '22', '176', '79']
['215', '132', '42', '111', '60', '102', '32']
['188', '206', '219', '243', '220', '74', '349']
['180', '133', '331', '245', '282', '128', '154']
['345', '138', '175', '297', '156', '277', '167']
['52', '314', '203', '118', '332', '232', '285']
['246', '34', '115', '23', '149', '112', '294']
['136', '254', '81', '271', '4', '160', '262']
['3', '315', '321', '12', '70', '209', '335']
['92', '98', '288', '339', '319', '135', '93']
['137', '8', '78', '258', '186', '2', '307']
['344', '343', '224', '326', '41', '46', '131']
['201', '221', '290', '141', '340', '252', '334']
['323', '72', '283', '312', '18', '171', '196']
['226', '108', '250', '257', '73', '33', '1']
['57', '101', '185', '195', '293', '223', '251']
['85', '248', '320', '241', '253', '261', '303']
['240', '325', '267', '247', '259', '107', '174']
['109', '143', '119', '299', '150', '272', '260']
['266', '273', '165', '6', '130', '121', '126']
['214', '269', '177', '197', '76', '87', '158']
['125', '212', '193', '159', '341', '37', '61']
['233', '15', '95', '77', '289', '13', '291']
['80', '347', '147', '10', '337', '310', '145']
['59', '16', '144', '151', '327', '239', '179']
['280', '234', '328', '330', '205', '142', '65']
['342', '249', '300', '264', '172', '265', '29']
['139', '275', '298', '217', '306', '302', '276']
['94', '191', '146', '236', '237', '104', '105']
['54', '230', '169', '170', '311', '35', '129']
['284', '116', '36', '218', '263', '338', '322']
