['358', '114', '203', '341', '132', '312', '53', '4', '153', '241', '86', '146', '365', '299', '350', '345', '310', '57', '259', '176']
['93', '204', '50', '222', '162', '154', '383', '63', '27', '373', '13', '311', '29', '161', '136', '352', '115', '91', '71', '343']
['62', '182', '32', '121', '305', '254', '116', '388', '240', '389', '98', '381', '168', '334', '138', '285', '181', '201', '228', '60']
['124', '75', '139', '226', '48', '186', '137', '215', '22', '368', '70', '166', '326', '165', '327', '272', '332', '266', '59', '354']
['303', '81', '315', '82', '119', '188', '45', '147', '1', '313', '217', '216', '89', '209', '21', '95', '304', '250', '287', '169']
['185', '83', '175', '247', '198', '229', '273', '151', '370', '142', '179', '329', '382', '308', '135', '178', '331', '85', '336', '253']
['167', '267', '46', '268', '335', '284', '110', '298', '144', '30', '184', '61', '317', '37', '16', '221', '243', '271', '300', '131']
['396', '393', '163', '342', '231', '238', '44', '152', '6', '133', '38', '130', '283', '10', '236', '36', '78', '174', '102', '369']
['177', '384', '112', '348', '212', '143', '106', '316', '125', '197', '340', '66', '180', '359', '103', '325', '159', '156', '224', '307']
['289', '97', '31', '337', '280', '134', '90', '321', '28', '324', '140', '295', '363', '12', '362', '173', '302', '58', '52', '191']
['309', '288', '41', '187', '333', '26', '172', '290', '68', '318', '99', '17', '275', '87', '74', '94', '242', '230', '282', '193']
['385', '349', '277', '194', '297', '150', '55', '108', '92', '109', '42', '390', '15', '374', '84', '40', '261', '19', '129', '395']
['227', '265', '199', '346', '248', '35', '88', '281', '2', '210', '235', '214', '356', '123', '211', '223', '65', '278', '155', '270']
['33', '330', '319', '353', '127', '170', '118', '394', '145', '196', '76', '9', '338', '195', '141', '387', '397', '379', '73', '67']
['328', '274', '113', '375', '233', '3', '296', '377', '158', '360', '51', '200', '220', '101', '376', '100', '378', '292', '218', '77']
['208', '237', '164', '20', '69', '244', '107', '8', '219', '264', '314', '225', '286', '128', '246', '301', '64', '202', '276', '43']
['47', '291', '117', '252', '39', '54', '11', '205', '263', '23', '104', '255', '190', '149', '364', '380', '213', '256', '160', '206']
['239', '122', '257', '293', '72', '258', '398', '105', '344', '279', '294', '157', '386', '391', '148', '372', '351', '306', '192', '355']
['269', '34', '371', '126', '56', '171', '79', '339', '245', '322', '24', '357', '251', '18', '262', '367', '183', '96', '347', '5']
['49', '189', '207', '249', '111', '366', '120', '25', '361', '260', '80', '232', '399', '392', '0', '320', '14', '7', '234', '323']
