['Carissa', 'Amaya', 'Sara', 'Kelly', 'Trinity', 'Barbara', 'Maggie', 'Adriana', 'Madelyn', 'Lacey']
['Meghan', 'Angelica', 'Camille', 'Cora', 'Kira', 'Cristal', 'Viviana', 'Fiona', 'Esperanza', 'Carla']
['Kendra', 'Kierra', 'Janet', 'Fatima', 'Paulina', 'Anastasia', 'Zaria', 'Cecilia', 'Hope', 'Kelli']
['Lilly', 'Krista', 'Alayna', 'Kali', 'Lydia', 'Angel', 'Rylee', 'Kyla', 'Tania', 'Kirsten']
['Paola', 'Arielle', 'Carmen', 'Nora', 'Ayanna', 'Adrianna', 'Jillian', 'Brooklynn', 'Julianne', 'Melissa']
['Kimberly', 'Isabel', 'Kyra', 'Caitlin', 'Leah', 'Alexia', 'Alondra', 'Kenya', 'Abby', 'Eva']
['Cynthia', 'Cierra', 'Bethany', 'Kaila', 'Reagan', 'Jacquelyn', 'Eliana', 'Lillian', 'Esmeralda', 'Avery']
['Melina', 'Makenna', 'Natasha', 'Lucy', 'Lizbeth', 'Daisy', 'Anahi', 'Laura', 'Tia', 'Georgia']
['Zoey', 'Monica', 'Natalia', 'Tianna', 'Eve', 'Jordyn', 'Katie', 'Savanna', 'Rosa', 'Deborah']
['Lesley', 'Adrienne', 'Bailey', 'Bianca', 'Eden', 'Chyna', 'Miracle', 'Elise', 'Julie', 'Isabelle']
['Tatyana', 'Annie', 'Ella', 'Janelle', 'Tabitha', 'Maddison', 'Jazmin', 'Clara', 'Emilie', 'Bridget']
['Kaylie', 'Alyson', 'Brenna', 'Tiara', 'Serenity', 'Priscilla', 'Caroline', 'Melody', 'Wendy', 'Amber']
['Clare', 'Michelle', 'Alicia', 'Tierra', 'Hanna', 'Macy', 'Madelynn', 'Joy', 'Theresa', 'Kassandra']
['Sabrina', 'Taryn', 'Naomi', 'Kailee', 'Kylie', 'Dominique', 'Katelynn', 'Cameron', 'Ashleigh', 'Gabriela']
['Kayleigh', 'Kaitlin', 'Julissa', 'Tiana', 'Cindy', 'Ann', 'Kristin', 'Christina', 'Rachael', 'Jamie']
